Episode,Average Reward
1,36.1
2,24.4
3,28.2
4,25.7
5,20.8
6,18.3
7,23.7
8,25.4
9,22.3
10,18.9
11,23.6
12,19.9
13,24.7
14,22.9
15,26.0
16,27.9
17,22.2
18,20.5
19,24.6
20,16.5
21,22.0
22,25.2
23,34.6
24,34.1
25,32.8
26,25.6
27,36.4
28,32.2
29,27.3
30,22.5
31,20.6
32,22.0
33,21.7
34,30.3
35,27.5
36,30.1
37,26.3
38,25.7
39,27.4
40,31.3
41,32.5
42,25.3
43,40.5
44,24.1
45,26.4
46,44.7
47,39.8
48,32.4
49,35.2
50,36.4
51,51.3
52,35.4
53,37.0
54,56.6
55,48.4
56,57.2
57,53.7
58,44.6
59,43.7
60,47.6
61,49.7
62,31.0
63,57.3
64,38.2
65,50.9
66,43.3
67,53.0
68,41.8
69,39.6
70,39.7
71,38.7
72,49.3
73,58.0
74,53.0
75,34.0
76,45.0
77,38.0
78,45.1
79,49.9
80,50.2
81,45.4
82,72.1
83,50.9
84,32.6
85,49.8
86,42.6
87,45.4
88,51.6
89,44.3
90,47.1
91,58.5
92,67.3
93,51.2
94,79.9
95,48.6
96,74.4
97,64.7
98,66.5
99,63.3
100,55.6
101,53.8
102,50.4
103,56.0
104,59.3
105,64.0
106,64.5
107,73.8
108,78.4
109,75.3
110,77.8
111,83.5
112,83.7
113,74.8
114,89.2
115,82.0
116,91.6
117,78.0
118,79.1
119,48.1
120,72.2
121,89.1
122,95.4
123,52.9
124,89.8
125,98.8
126,42.1
127,80.6
128,70.2
129,93.1
130,89.3
131,86.3
132,87.9
133,105.6
134,87.5
135,59.2
136,99.7
137,86.7
138,104.4
139,96.9
140,97.8
141,93.0
142,95.4
143,105.0
144,105.6
145,93.3
146,104.8
147,103.6
148,122.4
149,128.5
150,110.3
151,112.5
152,108.8
153,108.9
154,102.2
155,96.8
156,128.5
157,95.5
158,97.0
159,113.4
160,91.1
161,130.2
162,110.2
163,109.5
164,109.6
165,100.8
166,127.0
167,105.9
168,102.4
169,95.3
170,89.2
171,93.8
172,119.7
173,92.8
174,96.4
175,101.3
176,122.2
177,116.0
178,106.1
179,105.8
180,114.4
181,99.1
182,107.9
183,95.3
184,102.5
185,102.4
186,105.6
187,103.2
188,99.3
189,111.5
190,102.8
191,99.4
192,97.1
193,104.7
194,97.5
195,110.4
196,92.1
197,107.4
198,98.2
199,106.6
200,106.2
201,101.4
202,91.2
203,111.3
204,112.1
205,95.8
206,111.8
207,92.2
208,98.1
209,116.5
210,89.4
211,112.7
212,106.7
213,126.8
214,116.6
215,81.4
216,96.9
217,62.9
218,116.4
219,127.4
220,144.0
221,104.8
222,132.0
223,92.9
224,130.4
225,146.7
226,85.8
227,101.5
228,111.7
229,80.8
230,92.8
231,93.2
232,125.8
233,91.2
234,126.0
235,80.5
236,65.9
237,119.0
238,75.5
239,114.3
240,111.5
241,130.2
242,112.5
243,105.7
244,123.8
245,132.7
246,106.5
247,130.3
248,118.8
249,150.6
250,129.3
251,142.3
252,135.1
253,165.8
254,140.7
255,146.9
256,170.6
257,149.5
258,145.7
259,196.5
260,209.9
261,173.2
262,168.0
263,165.7
264,177.1
265,95.3
266,112.4
267,120.1
268,126.0
269,101.7
270,129.3
271,127.3
272,134.8
273,75.8
274,168.5
275,115.6
276,109.4
277,151.7
278,88.7
279,90.5
280,110.2
281,151.6
282,91.6
283,142.5
284,68.3
285,90.9
286,166.8
287,147.0
288,141.7
289,144.0
290,150.0
291,147.9
292,137.3
293,120.9
294,117.5
295,146.3
296,139.5
297,153.2
298,137.1
299,113.4
300,171.1
301,136.5
302,113.7
303,160.1
304,146.1
305,159.4
306,126.1
307,146.6
308,143.7
309,124.7
310,121.4
311,159.2
312,151.3
313,129.9
314,141.5
315,164.3
316,137.5
317,159.2
318,145.5
319,146.0
320,161.3
321,108.7
322,133.2
323,135.7
324,117.0
325,153.7
326,140.7
327,145.2
328,140.3
329,147.4
330,163.5
331,142.9
332,151.0
333,157.5
334,176.9
335,176.8
336,159.8
337,146.9
338,150.9
339,154.0
340,173.7
341,188.8
342,170.3
343,183.0
344,179.6
345,183.3
346,168.8
347,183.4
348,200.9
349,188.2
350,192.2
351,183.1
352,196.7
353,208.2
354,201.2
355,234.3
356,179.5
357,211.1
358,189.2
359,187.5
360,211.4
361,196.1
362,190.9
363,216.0
364,212.6
365,223.0
366,205.2
367,144.3
368,196.2
369,157.4
370,154.9
371,197.6
372,165.9
373,139.3
374,141.2
375,189.1
376,132.5
377,177.4
378,154.6
379,157.4
380,146.7
381,168.6
382,143.3
383,151.9
384,207.5
385,132.8
386,221.6
387,138.8
388,208.9
389,143.0
390,171.4
391,148.9
392,182.8
393,171.2
394,145.7
395,148.2
396,160.2
397,144.0
398,133.8
399,161.6
400,146.2
401,171.2
402,176.4
403,146.4
404,150.9
405,165.5
406,186.6
407,178.7
408,244.3
409,169.4
410,150.2
411,193.2
412,177.6
413,136.9
414,170.5
415,195.9
416,211.6
417,193.6
418,228.6
419,200.9
420,180.4
421,201.0
422,196.1
423,208.3
424,190.0
425,190.5
426,165.5
427,149.4
428,184.1
429,200.4
430,222.3
431,190.2
432,230.3
433,207.6
434,202.0
435,219.2
436,209.3
437,215.1
438,203.1
439,186.1
440,198.7
441,256.0
442,213.3
443,207.6
444,219.4
445,245.6
446,235.6
447,196.2
448,174.1
449,199.4
450,165.5
451,169.8
452,232.0
453,202.1
454,199.4
455,179.3
456,214.4
457,191.5
458,174.5
459,205.8
460,179.1
461,172.3
462,175.8
463,165.4
464,144.5
465,194.2
466,187.9
467,149.1
468,141.5
469,153.4
470,136.5
471,143.0
472,129.3
473,161.5
474,213.8
475,133.5
476,134.4
477,147.2
478,144.3
479,151.8
480,216.6
481,248.5
482,160.7
483,164.9
484,210.2
485,165.2
486,253.7
487,161.8
488,235.3
489,204.4
490,185.5
491,247.4
492,181.6
493,197.6
494,248.1
495,233.1
496,201.4
497,250.7
498,222.4
499,188.3
500,227.0
501,157.1
502,165.5
503,184.9
504,213.4
505,226.9
506,220.6
507,157.1
508,255.3
509,208.2
510,208.1
511,204.9
512,206.2
513,189.8
514,193.6
515,227.3
516,224.2
517,227.7
518,187.9
519,202.7
520,242.7
521,223.1
522,191.1
523,193.8
524,200.2
525,235.3
526,185.3
527,216.1
528,201.6
529,184.1
530,200.4
531,188.9
532,242.2
533,232.5
534,238.7
535,234.2
536,216.1
537,240.1
538,223.8
539,221.6
540,228.0
541,196.2
542,194.4
543,213.5
544,214.2
545,212.0
546,208.8
547,245.8
548,176.1
549,217.4
550,119.3
551,192.8
552,176.8
553,186.1
554,169.8
555,198.8
556,173.8
557,162.6
558,199.5
559,213.8
560,124.6
561,181.8
562,219.1
563,172.1
564,172.7
565,132.2
566,161.8
567,128.6
568,139.1
569,133.7
570,157.5
571,137.7
572,130.6
573,121.6
574,134.4
575,109.3
576,142.6
577,137.2
578,195.1
579,137.6
580,143.8
581,122.3
582,117.2
583,138.9
584,171.3
585,125.6
586,146.9
587,204.7
588,119.8
589,112.9
590,109.8
591,183.3
592,150.4
593,145.0
594,110.9
595,129.1
596,117.7
597,147.9
598,134.5
599,164.2
600,136.3
601,116.9
602,109.5
603,174.2
604,165.5
605,160.5
606,124.7
607,134.8
608,205.0
609,192.1
610,189.8
611,119.8
612,207.7
613,187.0
614,189.8
615,200.0
616,219.9
617,209.2
618,159.8
619,206.2
620,194.1
621,194.3
622,190.7
623,202.2
624,181.8
625,216.3
626,199.2
627,165.2
628,209.3
629,209.3
630,236.2
631,228.2
632,228.8
633,223.8
634,195.3
635,218.8
636,178.5
637,204.9
638,228.8
639,213.8
640,216.2
641,231.3
642,179.9
643,238.0
644,219.0
645,205.1
646,187.3
647,268.6
648,253.4
649,167.0
650,222.5
651,245.3
652,182.8
653,231.9
654,278.2
655,261.7
656,244.9
657,279.3
658,235.2
659,272.9
660,252.9
661,269.7
662,283.6
663,233.1
664,277.5
665,281.3
666,265.5
667,198.0
668,218.0
669,232.4
670,232.3
671,246.5
672,185.8
673,234.4
674,225.6
675,244.5
676,222.3
677,215.9
678,240.5
679,252.7
680,240.8
681,238.2
682,233.9
683,246.5
684,230.6
685,216.5
686,267.1
687,223.1
688,267.9
689,208.1
690,238.9
691,272.1
692,257.7
693,256.7
694,254.0
695,259.4
696,266.7
697,271.9
698,253.0
699,291.3
700,298.4
701,278.5
702,238.7
703,275.1
704,237.8
705,222.5
706,217.1
707,233.4
708,252.2
709,249.8
710,241.8
711,227.3
712,210.1
713,270.0
714,256.0
715,247.9
716,260.9
717,260.7
718,215.3
719,253.6
720,266.1
721,282.4
722,249.5
723,300.5
724,272.4
725,275.8
726,276.9
727,282.7
728,264.7
729,234.9
730,270.1
731,284.3
732,265.6
733,295.5
734,241.5
735,285.7
736,268.3
737,277.6
738,281.8
739,246.7
740,273.2
741,269.7
742,277.2
743,263.9
744,303.5
745,292.0
746,293.0
747,288.1
748,276.6
749,288.8
750,267.5
751,258.3
752,299.2
753,307.2
754,278.1
755,308.5
756,284.2
757,290.5
758,300.4
759,282.7
760,262.8
761,282.6
762,283.9
763,285.5
764,279.7
765,292.3
766,280.8
767,313.7
768,297.8
769,305.2
770,300.7
771,262.6
772,304.4
773,255.2
774,317.4
775,300.2
776,309.8
777,309.0
778,299.0
779,307.0
780,311.8
781,334.2
782,310.7
783,305.6
784,299.3
785,326.3
786,306.9
787,230.2
788,306.9
789,298.3
790,275.6
791,333.7
792,334.6
793,313.9
794,259.7
795,301.9
796,315.8
797,333.9
798,295.0
799,324.7
800,321.2
801,301.8
802,302.0
803,318.5
804,306.3
805,299.2
806,317.0
807,303.5
808,293.3
809,282.3
810,325.8
811,310.1
812,294.6
813,297.5
814,277.3
815,316.6
816,306.8
817,301.4
818,306.3
819,304.3
820,297.5
821,279.6
822,318.3
823,300.0
824,314.7
825,281.8
826,285.2
827,297.1
828,298.7
829,268.2
830,274.9
831,260.7
832,281.2
833,276.2
834,290.2
835,299.0
836,269.2
837,229.5
838,269.1
839,282.3
840,240.5
841,287.5
842,278.8
843,259.9
844,275.4
845,232.6
846,282.1
847,302.8
848,286.5
849,301.2
850,295.9
851,263.2
852,284.7
853,277.9
854,292.7
855,298.0
856,287.6
857,282.6
858,269.7
859,279.6
860,285.5
861,282.9
862,288.2
863,292.3
864,309.7
865,294.4
866,289.9
867,305.4
868,293.9
869,286.7
870,277.9
871,285.5
872,296.0
873,290.4
874,278.6
875,286.0
876,286.4
877,269.9
878,293.3
879,263.2
880,258.0
881,274.0
882,244.4
883,256.3
884,245.7
885,267.4
886,278.1
887,269.3
888,235.6
889,275.8
890,267.7
891,272.2
892,248.7
893,269.8
894,274.3
895,272.1
896,267.7
897,280.1
898,250.1
899,270.1
900,251.7
901,238.8
902,260.1
903,250.3
904,271.7
905,258.6
906,262.0
907,268.7
908,257.1
909,253.4
910,244.2
911,292.9
912,259.3
913,256.6
914,300.2
915,261.4
916,236.4
917,241.0
918,274.8
919,307.7
920,266.4
921,277.6
922,289.5
923,277.0
924,299.0
925,293.3
926,286.9
927,287.8
928,276.6
929,263.9
930,290.9
931,274.1
932,296.8
933,269.8
934,261.5
935,269.8
936,279.2
937,281.7
938,299.4
939,284.0
940,300.0
941,317.9
942,301.3
943,298.5
944,283.3
945,279.6
946,297.7
947,301.9
948,295.0
949,306.4
950,293.0
951,297.4
952,312.7
953,305.0
954,311.0
955,301.1
956,301.7
957,286.7
958,299.8
959,302.8
960,290.7
961,305.8
962,301.7
963,272.4
964,291.9
965,274.1
966,275.8
967,293.5
968,305.8
969,284.0
970,277.8
971,274.5
972,291.9
973,279.2
974,302.3
975,320.6
976,298.4
977,285.0
978,311.1
979,286.2
980,293.0
981,266.9
982,293.4
983,301.6
984,312.5
985,302.4
