Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
20.0,21.0,8.0,23.0,11.0,13.0,14.0,13.0,13.0,14.0
13.0,17.0,20.0,20.0,27.0,19.0,48.0,16.0,20.0,46.0
39.0,10.0,15.0,21.0,22.0,20.0,11.0,45.0,13.0,15.0
17.0,13.0,12.0,92.0,28.0,12.0,12.0,14.0,13.0,12.0
29.0,33.0,16.0,13.0,16.0,30.0,18.0,17.0,13.0,11.0
36.0,12.0,21.0,13.0,24.0,20.0,16.0,57.0,23.0,21.0
32.0,13.0,11.0,13.0,14.0,12.0,26.0,35.0,15.0,22.0
11.0,48.0,16.0,20.0,15.0,14.0,14.0,10.0,37.0,15.0
13.0,15.0,19.0,19.0,12.0,20.0,25.0,24.0,20.0,10.0
17.0,28.0,10.0,30.0,19.0,14.0,14.0,39.0,18.0,12.0
51.0,18.0,15.0,15.0,20.0,18.0,24.0,10.0,10.0,14.0
43.0,22.0,35.0,9.0,61.0,27.0,17.0,23.0,13.0,19.0
51.0,35.0,28.0,15.0,18.0,12.0,27.0,11.0,13.0,23.0
10.0,16.0,20.0,14.0,26.0,10.0,53.0,15.0,15.0,20.0
16.0,16.0,15.0,18.0,26.0,17.0,67.0,14.0,12.0,26.0
27.0,10.0,12.0,27.0,36.0,10.0,48.0,26.0,22.0,16.0
13.0,76.0,13.0,21.0,16.0,25.0,49.0,23.0,14.0,55.0
32.0,27.0,30.0,16.0,29.0,12.0,18.0,29.0,20.0,11.0
19.0,13.0,13.0,12.0,56.0,43.0,34.0,26.0,14.0,22.0
36.0,28.0,22.0,16.0,17.0,9.0,13.0,17.0,17.0,17.0
32.0,15.0,42.0,21.0,9.0,20.0,25.0,26.0,26.0,11.0
16.0,22.0,23.0,52.0,42.0,25.0,41.0,24.0,15.0,27.0
20.0,14.0,23.0,12.0,17.0,23.0,11.0,42.0,20.0,28.0
18.0,14.0,15.0,38.0,74.0,58.0,24.0,11.0,20.0,11.0
21.0,19.0,52.0,15.0,42.0,15.0,61.0,15.0,18.0,12.0
19.0,13.0,21.0,13.0,141.0,13.0,49.0,11.0,26.0,15.0
26.0,12.0,24.0,48.0,45.0,13.0,38.0,23.0,14.0,10.0
