Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-63.091946379918994,-42.74733030901514,-75.85580499272648,-91.4820738794822,-343.7094812568844,-74.167615603792,-62.16071352690151,-98.02897714614667,-89.81632972189153,-75.41821629217007
-137.725702518841,-278.5128291159779,-147.74554552953333,-219.78535089107496,-362.963520669597,-232.40085730763812,-111.8063645492014,-437.4359394491965,-140.76024249692443,-336.21414769633094
-184.33249603179158,-226.39291852474315,-111.57942878343673,-321.7523978527107,-266.4421283709837,-350.11108892134985,-464.0385603765069,-81.69924172635598,-109.14227486422753,-462.7529953452989
-137.76849050317713,-201.43551216724094,-154.20652736133403,-94.88303044716749,-76.8042163712663,-336.3533220302911,-39.24566996707125,-96.79517694417561,-193.6909316392405,-91.56016079155597
-54.70274649060477,-433.3536017225105,-273.3674704643729,-196.6092000527911,-156.07632271346927,-228.31361192667464,-96.07695234550795,-231.61377707049743,-80.81098136187006,-505.15761265908793
-411.4971759206013,-225.08324691604125,-405.0520148694348,-166.52431963302655,-9.222654581411462,-148.04477949163328,-294.34860483453997,-66.69122859188009,-89.4940333149347,-67.62234759684301
-50.032441302259556,-94.32891512154818,-91.08657930872651,-427.9334859721424,-92.82963546445421,-176.07586926348543,-113.7776322918646,-81.25976910542715,-351.8906657490717,-222.2531539666962
-431.1103680030738,-117.63822074575594,-434.2821179207545,-344.04226769431284,-134.11471471596616,-35.364861269288184,-148.6676395762376,-428.8486414336943,-131.87688180942726,-86.45824729466011
-192.83719749247075,-289.2020360170307,-383.97176920768936,-280.7498433083214,-405.1732199788549,-130.31810594516517,-93.70778087788123,-337.31416599135423,-74.35245226013572,-453.069409952358
-284.4073584261493,-128.62998204550186,-23.279160344915226,-498.58571398080545,-201.84937326231596,-122.79066949660887,-141.31908370624723,-342.9494574289117,-287.8325909424003,-123.34561828514414
-421.9492789597176,-150.97975572186726,-287.841352914572,-152.7890954184567,-226.6806770080856,-138.74366090853695,-315.6780823209242,-130.31131256750078,-128.6465975425439,-222.1774444019348
-182.87830514272144,-130.9470840490685,-97.60604151420844,-98.34058075311906,-180.2187658332018,-156.1906850249083,-374.25977158341647,-125.25209859872446,-223.55521504518975,-438.324935627375
-120.1488603219907,-132.17244833972313,-284.40531570003566,-250.40104156448854,-135.94335085771016,-100.9708624437774,-111.69202404232227,-121.6540409989592,-118.11195571850104,-342.1455783744559
-96.26928957967718,-109.69083915907852,-336.19724837293825,-241.18779127351814,-130.0390523307594,-123.20877099390187,-357.95919873907445,-381.78461629878626,-123.57148312402124,-189.8285400740562
-52.36359229551669,-113.22283837708372,-55.68838206623372,-243.76520916514863,-345.06235907574046,-220.81074963369775,-66.46265711127742,-84.34917488191675,-129.5320359852281,-367.6408909224008
-107.4900688851453,-304.921582082511,-185.2856126622498,-166.21725686295892,-243.98221511344465,-201.48884492464325,-137.8829069128157,-163.18291360805455,-88.3609353883948,-401.9174369522603
-148.50756337848105,-123.76857137375146,-245.62017022066743,-51.98318642139148,-172.04876966442734,-29.32130007796843,-316.0703082389616,-210.4087045293967,-119.40400094086243,-143.78336972269798
