Episode,Agent 7
1.0,6.2
2.0,11.4
3.0,5.8
4.0,8.0
5.0,11.0
6.0,8.6
7.0,7.8
8.0,6.6
9.0,8.2
10.0,7.0
11.0,4.6
12.0,10.0
13.0,8.4
14.0,13.4
15.0,9.2
16.0,9.2
17.0,6.4
18.0,6.0
19.0,10.4
20.0,7.4
21.0,7.4
22.0,8.4
23.0,13.2
24.0,11.0
25.0,10.6
26.0,12.6
27.0,9.4
28.0,9.2
29.0,6.4
30.0,6.0
31.0,6.8
32.0,9.2
33.0,8.0
34.0,8.8
35.0,9.0
36.0,10.8
37.0,8.2
38.0,8.6
39.0,10.0
40.0,5.6
41.0,6.4
42.0,6.2
43.0,13.6
44.0,12.2
45.0,9.4
46.0,8.0
47.0,9.8
48.0,7.6
49.0,8.2
50.0,14.6
51.0,8.6
52.0,8.6
53.0,7.8
54.0,6.8
55.0,5.0
56.0,6.0
57.0,11.6
58.0,9.0
59.0,8.4
60.0,9.0
61.0,6.0
62.0,14.0
63.0,8.0
64.0,11.6
65.0,12.8
66.0,5.6
67.0,6.4
68.0,9.6
69.0,7.4
70.0,12.4
71.0,11.6
72.0,10.8
73.0,9.2
74.0,6.0
75.0,11.2
76.0,15.6
77.0,13.2
78.0,9.6
79.0,7.4
80.0,6.4
81.0,9.0
82.0,7.8
83.0,12.0
84.0,8.4
85.0,10.2
86.0,8.4
87.0,8.0
88.0,10.0
89.0,11.2
90.0,9.0
91.0,8.2
92.0,10.4
93.0,7.8
94.0,8.0
95.0,10.2
96.0,5.0
97.0,11.0
98.0,14.8
99.0,8.0
100.0,7.8
101.0,6.6
102.0,11.4
103.0,7.4
104.0,8.0
105.0,11.6
106.0,8.0
107.0,7.6
108.0,14.8
109.0,9.8
110.0,12.0
111.0,11.2
112.0,11.2
113.0,6.0
114.0,7.6
115.0,13.6
116.0,11.4
117.0,7.0
118.0,8.8
119.0,12.6
120.0,13.8
121.0,11.8
122.0,8.4
123.0,16.2
124.0,8.2
125.0,6.4
126.0,14.0
127.0,8.0
128.0,7.6
129.0,5.8
130.0,15.6
131.0,6.2
132.0,6.6
133.0,10.6
134.0,7.6
135.0,11.0
136.0,8.6
137.0,9.8
138.0,8.8
139.0,6.4
140.0,9.0
141.0,7.4
142.0,9.4
143.0,6.4
144.0,6.4
145.0,10.2
146.0,9.0
147.0,10.2
148.0,6.8
149.0,7.6
150.0,7.2
151.0,6.6
152.0,10.4
153.0,9.4
154.0,5.8
155.0,10.2
156.0,8.2
157.0,10.4
158.0,17.8
159.0,6.0
160.0,14.4
161.0,12.8
162.0,5.6
163.0,9.8
164.0,5.4
165.0,11.0
166.0,10.6
167.0,11.0
168.0,9.4
169.0,8.8
170.0,12.2
171.0,5.6
172.0,17.0
173.0,5.2
174.0,11.0
175.0,12.8
176.0,13.4
177.0,9.8
178.0,6.8
