Episode,Agent 2
1.0,8.0
2.0,9.2
3.0,7.4
4.0,9.2
5.0,9.0
6.0,10.8
7.0,11.4
8.0,7.0
9.0,6.0
10.0,9.4
11.0,11.2
12.0,7.0
13.0,6.6
14.0,9.6
15.0,5.6
16.0,7.0
17.0,11.2
18.0,9.2
19.0,8.2
20.0,6.0
21.0,11.0
22.0,4.4
23.0,9.0
24.0,9.0
25.0,6.2
26.0,6.8
27.0,9.0
28.0,7.4
29.0,9.6
30.0,7.0
31.0,6.2
32.0,7.6
33.0,5.2
34.0,10.2
35.0,8.2
36.0,9.2
37.0,9.2
38.0,8.8
39.0,6.6
40.0,6.0
41.0,6.6
42.0,6.2
43.0,5.2
44.0,7.8
45.0,12.4
46.0,5.8
47.0,10.4
48.0,9.4
49.0,6.2
50.0,7.2
51.0,7.2
52.0,10.0
53.0,8.0
54.0,4.4
55.0,6.4
56.0,7.6
57.0,5.2
58.0,8.0
59.0,5.4
60.0,9.0
61.0,7.2
62.0,13.0
63.0,8.2
64.0,9.4
65.0,9.0
66.0,8.4
67.0,6.4
68.0,5.4
69.0,9.4
70.0,7.2
71.0,6.8
72.0,11.4
73.0,6.4
74.0,10.2
75.0,9.4
76.0,7.0
77.0,6.2
78.0,10.2
79.0,8.0
80.0,9.2
81.0,5.8
82.0,7.0
83.0,8.8
84.0,10.0
85.0,7.0
86.0,7.4
87.0,6.6
88.0,12.0
89.0,13.6
90.0,7.0
91.0,10.2
92.0,6.4
93.0,9.8
94.0,7.2
95.0,15.2
96.0,8.0
97.0,9.6
98.0,12.0
99.0,6.8
100.0,5.2
101.0,8.6
102.0,6.4
103.0,9.0
104.0,7.4
105.0,8.0
106.0,12.2
107.0,9.8
108.0,10.6
109.0,7.6
110.0,12.8
111.0,9.6
112.0,6.6
113.0,6.4
114.0,8.0
115.0,9.6
116.0,11.4
117.0,11.0
118.0,13.0
119.0,6.0
120.0,7.6
121.0,7.0
122.0,5.8
123.0,9.2
124.0,6.2
125.0,5.6
126.0,10.0
127.0,8.4
128.0,8.8
129.0,7.4
130.0,11.0
131.0,7.6
132.0,5.8
133.0,12.6
134.0,11.8
135.0,11.0
136.0,10.2
137.0,5.2
138.0,10.6
139.0,8.4
140.0,7.8
141.0,6.8
142.0,5.4
143.0,8.6
144.0,11.4
145.0,7.8
146.0,10.8
147.0,9.2
148.0,8.4
149.0,7.6
150.0,11.2
151.0,5.8
152.0,10.2
153.0,8.0
154.0,6.0
155.0,8.2
156.0,8.4
157.0,5.8
158.0,6.6
159.0,9.8
160.0,10.6
161.0,5.6
162.0,9.0
163.0,12.0
164.0,8.8
165.0,11.4
166.0,7.0
167.0,5.0
168.0,12.6
169.0,10.4
170.0,7.6
171.0,7.4
172.0,9.6
173.0,10.2
174.0,8.8
175.0,12.4
176.0,9.6
177.0,8.0
178.0,13.2
179.0,9.2
180.0,9.0
181.0,8.6
182.0,9.2
183.0,7.2
184.0,10.0
185.0,9.8
186.0,7.4
187.0,7.6
188.0,9.8
189.0,6.8
190.0,5.4
191.0,12.6
192.0,10.0
193.0,11.0
194.0,5.6
195.0,12.0
196.0,9.8
197.0,9.8
198.0,9.2
199.0,8.0
200.0,9.4
201.0,6.8
202.0,8.4
203.0,5.4
204.0,6.4
205.0,10.8
206.0,7.4
207.0,12.4
208.0,10.8
209.0,11.6
210.0,9.2
211.0,9.8
212.0,8.2
213.0,6.8
214.0,9.6
215.0,8.6
216.0,9.4
217.0,6.0
218.0,9.6
219.0,8.0
220.0,12.8
221.0,6.8
222.0,8.4
223.0,9.4
224.0,10.2
225.0,7.2
226.0,10.2
227.0,7.2
228.0,7.0
229.0,7.0
230.0,9.8
231.0,12.2
232.0,6.6
233.0,9.4
234.0,9.2
235.0,13.8
236.0,9.8
237.0,8.8
238.0,12.2
239.0,8.2
240.0,12.0
241.0,9.0
242.0,17.0
243.0,7.8
244.0,9.8
245.0,9.2
246.0,10.4
247.0,13.6
248.0,11.0
249.0,9.2
250.0,8.8
251.0,16.4
252.0,9.0
253.0,6.4
254.0,6.8
255.0,8.6
256.0,11.6
