Episode,Average Reward
1,17.3
2,17.8
3,24.1
4,20.9
5,17.6
6,25.0
7,20.7
8,21.4
9,26.7
10,20.3
11,24.2
12,26.6
13,17.7
14,21.8
15,24.9
16,18.6
17,23.8
18,30.6
19,27.5
20,25.3
21,19.4
22,20.9
23,38.8
24,25.3
25,22.4
26,37.0
27,20.9
28,26.5
29,27.0
30,23.1
31,21.6
32,39.2
33,25.4
34,21.1
35,18.4
36,21.5
37,31.3
38,24.9
39,34.0
40,21.5
41,27.0
42,26.8
43,23.5
44,35.8
45,25.0
46,41.2
47,33.3
48,22.2
49,34.9
50,22.1
51,29.0
52,34.1
53,51.0
54,36.0
55,32.2
56,38.2
57,25.1
58,38.6
59,25.4
60,33.1
61,37.5
62,31.3
63,41.5
64,40.3
65,45.5
66,38.6
67,39.8
68,25.8
69,35.6
70,47.4
71,37.1
72,44.4
73,58.7
74,86.9
75,82.0
76,73.5
77,59.8
78,31.8
79,50.0
80,41.5
81,52.7
82,42.6
83,32.5
84,65.2
85,36.3
86,49.3
87,47.9
88,40.4
89,47.7
90,76.8
91,38.0
92,61.3
93,49.2
94,54.5
95,41.0
96,43.4
97,39.5
98,45.4
99,43.7
100,55.2
101,46.1
102,50.1
103,64.5
104,72.7
105,70.1
106,78.0
107,84.3
108,74.1
109,68.6
110,92.5
111,109.5
112,90.8
113,111.1
114,113.4
115,100.8
116,89.8
117,87.1
118,81.6
119,74.3
120,68.7
121,94.9
122,70.7
123,82.5
124,94.1
125,83.9
126,94.5
127,83.3
128,81.0
129,79.9
130,88.4
131,91.3
132,69.8
133,69.9
134,78.3
135,81.8
136,83.8
137,92.1
138,91.7
139,86.7
140,98.8
141,99.9
142,93.2
143,116.7
144,98.7
145,83.4
146,84.5
147,108.3
148,93.0
149,72.0
150,97.3
151,91.1
152,64.8
153,94.6
154,85.9
155,85.2
156,78.5
157,92.4
158,87.9
159,79.2
160,85.4
161,95.4
162,57.1
163,85.4
164,78.7
165,94.8
166,58.0
167,70.7
168,81.2
169,68.7
170,69.3
171,131.9
172,78.6
173,61.3
174,101.7
175,72.8
176,79.1
177,60.9
178,73.7
179,76.5
180,85.5
181,64.6
182,96.0
183,98.6
184,98.1
185,88.6
186,72.5
187,106.2
188,74.9
189,84.0
190,71.6
191,68.8
192,64.4
193,61.0
194,72.3
195,69.1
196,65.3
197,92.6
198,86.7
199,103.1
200,86.6
201,77.2
202,84.0
203,69.9
204,85.8
205,99.2
206,74.2
207,89.8
208,83.7
209,89.1
210,108.5
211,103.0
212,147.8
213,91.9
214,108.9
215,93.9
216,118.5
217,122.2
218,132.4
219,86.1
220,111.6
221,76.1
222,102.0
223,84.4
224,93.7
225,96.2
226,96.9
227,93.2
228,83.8
229,85.7
230,113.0
231,108.7
232,121.6
233,126.9
234,101.7
235,126.9
236,143.3
237,136.7
238,148.2
239,135.0
240,126.1
241,124.6
242,144.4
243,143.6
244,144.8
245,122.5
246,159.5
247,142.6
