Episode,Average Reward
1,28.2
2,18.4
3,23.5
4,16.9
5,18.8
6,19.9
7,23.1
8,18.7
9,22.8
10,27.3
11,26.5
12,21.0
13,23.2
14,19.3
15,17.6
16,23.1
17,16.8
18,19.6
19,23.9
20,15.4
21,22.2
22,21.7
23,32.3
24,20.5
25,25.6
26,20.4
27,26.4
28,43.5
29,24.4
30,25.5
31,23.1
32,24.3
33,26.8
34,23.1
35,24.8
36,26.2
37,19.4
38,25.9
39,24.1
40,30.4
41,24.0
42,28.2
43,30.4
44,22.4
45,22.7
46,37.3
47,26.8
48,28.5
49,31.7
50,39.2
51,31.1
52,41.8
53,27.5
54,71.4
55,28.9
56,57.7
57,35.7
58,53.3
59,41.3
60,45.9
61,41.5
62,45.0
63,53.5
64,41.6
65,32.1
66,29.3
67,41.8
68,37.0
69,25.8
70,25.8
71,39.3
72,45.0
73,31.1
74,39.1
75,36.7
76,53.6
77,59.6
78,65.7
79,78.2
80,54.8
81,71.6
82,66.2
83,64.2
84,65.2
85,88.0
86,78.3
87,68.9
88,75.1
89,86.1
90,74.1
91,88.0
92,76.4
93,78.9
94,96.3
95,89.1
96,64.5
97,68.2
98,70.0
99,56.1
100,54.7
101,60.1
102,44.9
103,71.0
104,66.7
105,68.2
106,64.0
107,64.1
108,57.5
109,41.7
110,55.1
111,71.0
112,55.5
113,66.0
114,97.5
115,86.7
116,46.4
117,73.6
118,52.0
119,60.7
120,88.0
121,89.5
122,88.3
123,86.8
124,109.2
125,83.0
126,85.2
127,106.0
128,92.1
129,59.9
130,76.4
131,66.5
132,75.9
133,64.2
134,55.5
135,52.5
136,59.5
137,71.3
138,74.9
139,63.4
140,86.0
141,108.5
142,65.2
143,99.5
144,94.4
145,130.9
146,108.0
147,119.2
148,105.5
149,126.1
150,115.7
151,116.3
152,119.1
153,115.9
154,129.9
155,81.6
156,122.3
157,113.5
158,115.1
159,123.7
160,113.6
161,177.1
162,130.3
163,149.0
164,149.1
165,123.4
166,145.4
167,105.7
168,136.1
169,135.5
170,143.0
171,118.9
172,125.0
173,113.7
174,122.4
175,121.0
176,145.4
177,144.1
178,176.1
179,144.7
180,143.1
181,100.6
182,128.9
183,116.2
184,123.3
185,100.7
186,90.8
187,73.4
188,110.8
189,106.3
190,115.1
191,137.2
192,117.5
193,123.6
194,115.9
195,121.1
196,146.4
197,144.3
198,162.3
199,121.2
200,123.8
201,110.8
202,166.1
203,126.0
204,117.5
205,124.6
206,101.4
207,82.9
208,96.5
209,127.4
210,115.7
211,128.5
212,137.6
213,159.2
214,122.9
215,128.0
216,153.5
217,149.4
218,133.8
219,135.4
220,137.9
221,130.6
222,138.8
223,141.3
224,130.7
225,142.2
226,162.5
227,131.9
228,119.1
229,131.2
230,137.2
231,169.6
232,157.9
233,183.8
234,151.4
235,191.6
236,147.7
237,161.1
238,187.1
239,177.5
240,194.0
241,170.3
242,188.2
243,165.4
244,157.1
245,169.0
246,187.6
247,179.7
248,191.2
249,151.6
250,188.3
251,161.8
252,178.9
253,179.7
254,200.9
255,171.6
256,210.5
257,175.2
258,161.6
259,187.0
260,196.1
261,183.4
262,174.6
263,200.3
264,157.3
265,189.0
266,180.6
267,195.1
268,202.8
269,145.1
270,145.4
271,175.7
272,135.9
273,166.6
274,163.8
275,195.0
276,135.1
277,152.4
278,163.6
279,171.3
280,191.4
281,150.6
282,111.7
283,139.0
284,150.2
285,130.2
286,161.4
287,175.0
288,178.1
289,185.7
290,194.2
291,200.7
292,193.3
293,201.5
294,151.3
295,196.7
296,199.6
297,207.5
298,194.3
299,190.4
300,201.4
301,185.9
302,214.3
303,195.1
304,176.9
305,199.1
306,214.8
307,232.9
308,179.9
309,213.4
310,190.5
311,201.9
312,191.1
313,194.1
314,198.0
315,200.6
316,211.5
317,186.9
318,195.0
319,186.7
320,176.6
321,260.9
322,217.7
323,228.1
324,219.1
325,202.0
326,234.5
327,200.8
328,185.8
329,176.1
330,223.5
331,252.0
332,221.6
333,231.3
334,182.1
335,186.9
336,200.3
337,141.0
338,180.5
339,223.2
340,182.5
341,187.6
342,191.5
343,185.1
344,201.6
345,207.7
346,168.2
347,188.0
348,192.5
349,162.9
350,146.6
351,141.1
352,192.8
353,220.3
354,229.6
355,212.2
356,196.2
357,230.3
358,225.6
359,233.9
360,223.5
361,244.0
362,223.1
363,207.5
364,240.1
365,213.6
366,228.2
367,211.4
368,220.6
369,175.3
370,215.8
371,223.4
372,243.0
373,228.8
374,252.3
375,260.0
376,218.6
377,219.6
378,241.8
379,252.8
380,257.7
381,266.5
382,252.8
383,237.0
384,254.2
385,239.5
386,247.0
387,272.3
388,255.7
389,283.8
390,270.1
391,205.0
392,199.8
393,215.0
394,214.3
395,237.1
396,205.7
397,215.3
398,220.0
399,210.7
400,215.8
401,206.7
402,194.2
403,184.9
404,270.8
405,209.6
406,244.0
407,218.7
408,238.7
409,264.9
410,259.6
411,238.8
412,199.9
413,226.6
414,247.8
415,260.7
416,231.0
417,228.5
418,229.5
419,242.5
420,216.1
421,260.7
422,210.1
423,258.0
424,285.5
425,223.2
426,251.4
427,224.8
428,292.2
429,288.1
430,240.9
431,246.5
432,228.6
433,223.2
434,247.7
435,267.9
436,182.8
437,193.9
438,218.6
439,216.4
440,209.7
441,201.6
442,204.6
443,158.0
444,186.3
445,204.9
446,208.6
447,216.1
448,230.1
449,238.5
450,242.8
451,229.7
452,262.4
453,192.5
454,236.4
455,191.5
456,237.0
457,147.6
458,227.6
459,184.8
460,195.0
461,230.4
462,265.4
463,248.4
464,248.9
465,268.2
466,251.3
467,144.4
468,208.4
469,155.8
470,172.5
471,232.2
472,201.6
473,279.7
474,209.1
475,227.0
476,256.4
477,272.5
478,239.9
479,221.1
480,291.3
481,272.0
482,262.3
483,290.6
484,261.1
485,273.4
486,287.0
487,299.8
488,298.1
489,303.5
490,297.8
491,262.8
492,317.6
493,252.5
494,300.5
495,323.0
496,283.5
497,299.0
498,306.8
499,299.8
500,324.5
501,308.1
502,278.4
503,259.2
504,241.1
505,266.6
506,275.4
507,244.8
508,260.5
509,221.3
510,238.2
511,319.7
512,222.3
513,256.3
514,242.2
515,264.2
516,236.5
517,278.6
518,310.1
519,282.5
520,283.8
521,264.0
522,252.5
523,281.3
524,297.5
525,247.9
526,234.5
527,201.7
528,266.1
529,271.1
530,208.7
531,234.3
532,258.7
533,243.9
534,259.9
535,287.6
536,256.8
537,292.5
538,292.9
539,269.1
540,287.0
541,335.9
542,325.3
543,262.1
544,251.4
545,250.9
546,268.4
547,223.9
548,268.8
549,285.2
550,301.3
551,274.3
552,275.5
553,277.1
554,298.9
555,290.6
556,279.8
557,289.7
558,305.2
559,311.3
560,318.8
561,309.2
562,328.8
563,307.8
564,299.5
565,318.1
566,243.9
567,238.9
568,253.0
569,259.4
570,253.7
571,323.1
572,280.3
573,281.8
574,300.7
575,315.2
576,284.3
577,246.7
578,286.4
579,294.2
580,329.8
581,285.4
582,306.7
583,309.0
584,301.3
585,304.9
586,295.7
587,327.0
588,312.9
589,291.1
590,273.2
591,222.7
592,300.8
593,249.2
594,287.1
595,302.2
596,265.8
597,254.1
598,267.7
599,247.3
600,237.9
601,284.8
602,299.3
603,280.5
604,277.0
605,275.1
606,256.4
607,243.2
608,289.3
609,327.9
610,322.1
611,325.0
612,330.0
613,316.5
614,305.9
615,308.4
616,322.6
617,314.9
618,306.9
619,327.6
620,315.4
621,346.1
622,325.3
623,281.4
624,351.1
625,323.3
626,337.8
627,318.8
628,300.9
629,353.2
630,308.4
631,294.7
632,330.7
633,339.2
634,317.7
635,313.7
636,339.7
637,286.2
638,310.3
639,339.9
640,346.0
641,352.0
642,335.3
643,357.2
644,283.6
645,294.6
646,343.1
647,316.6
648,345.0
649,351.5
650,329.9
651,343.8
652,331.3
653,357.3
654,365.1
655,363.1
656,329.1
657,358.6
658,330.3
659,339.3
660,343.4
661,329.1
662,338.1
663,344.2
664,335.1
665,334.3
666,362.0
667,370.9
668,368.0
669,329.3
670,313.6
671,344.6
672,320.0
673,306.8
674,301.3
675,343.8
676,351.0
677,360.9
678,373.4
679,349.8
680,364.8
681,371.5
682,357.1
683,344.0
684,339.5
685,317.6
686,363.0
687,378.3
688,346.3
689,368.3
690,373.4
691,360.0
692,345.5
693,374.8
694,367.9
695,363.9
696,341.5
697,383.4
698,393.9
699,367.2
700,347.2
701,357.4
702,329.4
703,338.5
704,350.6
705,305.3
706,312.4
707,337.5
708,329.4
709,365.4
710,327.4
711,323.2
712,337.6
713,333.7
714,298.3
715,362.9
716,310.0
717,318.9
718,363.5
719,353.1
720,348.8
721,339.9
722,339.9
723,385.4
724,342.0
725,341.3
726,337.1
727,333.9
728,291.6
729,358.7
730,313.7
731,336.9
732,353.8
733,330.7
734,330.2
735,314.0
736,354.0
737,323.5
738,340.0
739,339.7
740,362.0
741,323.1
742,296.0
743,328.6
744,322.4
745,351.1
746,364.5
747,343.8
748,313.8
749,354.0
750,380.8
751,377.0
752,382.1
753,378.1
754,352.5
755,363.9
756,373.7
757,387.0
758,386.6
759,324.1
760,382.6
761,323.2
762,333.5
763,349.8
764,342.7
765,340.7
766,361.1
767,359.2
768,358.1
769,368.8
770,326.2
771,353.0
772,374.1
773,361.0
774,317.7
775,382.4
776,373.0
777,324.7
778,375.0
779,390.7
780,353.8
781,335.1
782,390.8
783,393.3
784,354.4
785,366.8
786,338.5
787,380.7
788,325.2
789,377.7
790,389.0
791,360.7
792,328.8
793,352.9
794,350.9
795,346.4
796,301.4
797,358.7
798,394.9
799,357.6
800,367.7
801,341.0
802,353.8
803,365.7
804,355.3
805,394.5
806,385.5
807,389.0
808,396.8
809,359.6
810,370.6
811,389.8
812,368.2
813,356.1
814,385.1
815,376.3
816,369.9
817,362.0
818,376.2
819,402.5
820,393.7
821,372.2
822,370.5
823,378.1
824,393.9
825,411.4
826,363.3
827,413.6
828,385.7
829,387.3
830,388.8
