Episode,Average Reward
1,22.2
2,14.2
3,29.8
4,20.0
5,26.6
6,21.8
7,18.4
8,13.8
9,19.6
10,27.8
11,14.0
12,11.8
13,28.2
14,32.6
15,37.8
16,29.2
17,22.4
18,16.4
19,25.2
20,50.2
21,23.4
22,19.0
23,24.4
24,29.6
25,24.0
26,37.2
27,16.8
28,50.4
29,22.8
30,23.4
31,26.8
32,27.4
33,32.0
34,14.4
35,19.4
36,31.4
37,39.4
38,32.0
39,28.6
40,21.0
41,31.0
42,31.8
43,27.6
44,33.0
45,20.6
46,35.6
47,27.2
48,44.0
49,44.0
50,51.0
51,57.0
52,41.0
53,33.2
54,61.6
55,73.8
56,82.0
57,76.8
58,46.6
59,115.4
60,120.6
61,39.8
62,40.6
63,85.4
64,50.6
65,37.0
66,44.2
67,37.8
68,70.4
69,19.8
70,38.6
71,26.8
72,50.0
73,42.8
74,48.8
75,61.4
76,107.4
77,113.8
78,108.6
79,88.8
80,79.0
81,39.8
82,46.8
83,48.8
84,47.6
85,50.2
86,36.0
87,25.6
88,60.0
89,43.6
90,56.6
91,89.2
92,88.4
93,88.0
94,89.2
95,119.0
96,120.6
97,148.2
98,145.4
99,118.6
100,123.6
101,39.2
102,61.0
103,27.2
104,84.8
105,18.6
106,22.2
107,61.4
108,59.2
109,60.2
110,36.8
111,67.0
112,34.4
113,30.2
114,86.0
115,53.0
116,72.8
117,65.4
118,64.4
119,84.4
120,74.4
121,136.0
122,86.0
123,97.2
124,94.4
125,87.8
126,58.0
127,60.8
128,66.6
129,70.4
130,53.6
131,48.0
132,51.4
133,50.4
134,64.6
135,68.2
136,64.6
137,85.4
138,85.8
139,89.0
140,101.4
141,114.8
142,83.2
143,114.4
144,98.6
145,120.8
146,86.8
147,105.4
148,92.6
149,105.4
150,81.6
151,80.6
152,100.0
153,99.4
154,122.6
155,106.0
156,122.0
157,141.0
158,113.4
159,129.2
160,111.0
161,85.2
162,87.0
163,104.8
164,117.0
165,123.8
166,148.4
167,153.8
168,136.2
169,145.8
170,168.0
171,140.8
172,173.8
173,169.8
174,136.6
175,210.4
176,141.0
177,158.0
178,127.2
179,165.4
180,188.6
181,200.2
182,193.2
183,162.6
184,164.2
185,147.2
186,194.0
187,171.2
188,170.6
189,146.6
190,194.6
191,64.4
192,87.2
193,111.6
194,105.4
195,63.2
196,163.6
197,136.6
198,148.8
199,173.0
200,170.6
201,142.2
202,44.4
203,146.0
204,128.4
205,155.4
206,139.2
207,202.0
208,169.8
209,141.2
210,167.2
211,225.6
212,194.2
213,188.0
214,188.8
215,210.4
216,229.0
217,178.8
218,187.0
219,137.8
220,135.2
221,145.8
222,144.2
223,143.8
224,149.2
225,73.6
226,144.6
227,146.6
228,140.4
229,142.2
230,131.8
231,147.2
232,139.8
233,146.2
234,137.8
235,144.6
236,74.0
237,55.6
238,76.0
239,77.4
240,71.2
241,71.2
242,73.4
243,54.2
244,48.8
245,76.2
246,55.4
247,84.4
248,65.2
249,81.2
250,64.8
251,65.4
252,59.2
253,66.0
254,54.4
255,88.6
256,50.4
257,68.6
258,60.4
259,87.0
260,114.0
261,119.2
262,80.0
263,112.4
264,115.0
265,150.6
266,110.0
267,122.8
268,105.0
269,142.6
270,160.2
271,89.6
272,65.0
273,117.6
274,130.6
275,95.0
276,90.6
277,88.2
278,152.6
279,107.4
280,155.0
281,171.6
282,68.6
283,139.4
284,140.0
285,127.4
286,85.8
287,92.8
288,81.6
289,63.6
290,97.8
291,97.2
292,78.0
293,104.8
294,121.2
295,77.4
296,75.2
297,91.0
298,61.8
299,105.4
300,85.8
301,94.4
302,107.2
303,81.4
304,94.2
305,92.8
306,98.4
307,74.4
308,102.2
309,90.6
310,78.8
311,116.6
312,92.4
313,125.2
314,113.4
315,120.2
316,114.8
317,122.2
318,150.4
319,128.2
320,143.6
321,159.8
322,157.6
323,161.2
324,167.0
325,132.4
326,159.2
327,141.6
328,142.2
329,156.2
330,151.6
331,177.0
332,157.6
333,153.6
334,122.6
335,165.6
336,164.2
337,166.8
338,159.6
339,179.2
340,160.4
341,154.2
342,103.2
343,167.0
344,123.2
345,160.4
346,166.6
347,152.2
348,96.2
349,128.2
350,135.2
351,143.8
352,116.6
353,141.4
354,165.0
355,144.6
356,149.8
357,142.2
358,152.8
359,146.2
360,118.2
361,144.8
362,102.4
363,125.8
364,132.8
365,138.2
366,101.2
367,91.2
368,133.6
369,131.2
370,131.2
371,138.8
372,136.6
373,135.2
374,135.4
375,146.8
376,126.6
377,127.8
378,123.6
379,130.8
380,135.6
381,87.2
382,125.0
383,84.4
384,113.6
385,107.8
386,117.8
387,133.2
388,119.6
389,127.0
390,121.2
391,93.2
392,116.8
393,85.4
394,73.4
395,65.8
396,106.4
397,88.8
398,91.6
399,76.6
400,123.8
401,92.0
402,80.8
403,83.0
404,95.6
405,73.4
406,87.6
407,71.2
408,71.6
409,121.2
410,77.4
411,118.0
412,83.0
413,113.4
414,149.4
415,95.2
416,136.4
417,126.8
418,125.4
419,97.4
420,125.0
421,80.8
422,103.2
423,86.0
424,102.2
425,83.6
426,90.8
427,103.4
428,123.6
429,103.2
430,76.2
431,93.2
432,77.6
433,86.6
434,86.4
435,91.2
436,77.8
437,89.0
438,91.4
439,85.8
440,91.8
441,97.2
442,108.0
443,81.0
444,101.4
445,80.6
446,161.0
447,138.6
448,146.8
449,122.6
450,157.6
451,112.4
452,167.2
453,150.4
454,176.4
455,163.2
456,148.6
457,141.0
458,154.2
459,154.2
460,151.0
461,150.8
462,145.8
463,165.8
464,144.0
465,171.8
466,173.6
467,173.0
468,134.6
469,145.0
470,89.0
471,160.6
472,188.2
473,168.6
474,162.4
475,165.4
476,166.2
477,161.4
478,161.4
479,186.0
480,164.6
481,166.0
482,176.4
483,155.4
484,119.0
485,199.8
486,123.8
487,165.2
488,166.4
489,166.0
490,159.8
491,138.2
492,188.4
493,112.8
494,132.6
495,165.6
496,222.8
497,218.8
498,224.8
499,227.0
500,213.8
501,145.8
502,141.6
503,155.0
504,151.4
505,164.4
506,167.8
507,175.4
508,169.8
509,174.0
510,176.4
511,223.4
512,226.8
513,194.4
514,230.2
515,215.6
516,166.2
517,158.0
518,145.4
519,159.4
520,173.6
521,205.6
522,201.2
523,182.2
524,194.4
525,184.2
526,172.4
527,178.8
528,162.6
529,172.2
530,185.4
531,126.8
532,142.6
533,175.4
534,190.2
535,168.2
536,185.6
537,166.0
538,204.4
539,183.2
540,141.0
541,105.4
542,132.6
543,114.8
544,117.2
545,127.6
546,100.6
547,111.6
548,130.0
549,124.2
550,132.2
551,102.8
552,93.6
553,151.8
554,135.6
555,139.0
556,142.2
557,113.0
558,132.0
559,162.0
560,129.6
561,169.8
562,138.6
563,145.0
564,148.2
565,150.6
