Episode,Average Reward
1,25.8
2,26.3
3,20.7
4,21.0
5,16.6
6,22.0
7,24.6
8,23.2
9,23.5
10,30.9
11,14.9
12,23.4
13,22.8
14,21.4
15,19.1
16,28.8
17,31.9
18,24.6
19,22.1
20,29.6
21,19.9
22,21.1
23,24.6
24,21.0
25,28.3
26,28.2
27,31.3
28,32.0
29,28.8
30,18.1
31,19.5
32,32.6
33,35.3
34,26.8
35,31.6
36,24.7
37,34.6
38,26.7
39,27.4
40,26.3
41,29.7
42,27.0
43,31.2
44,27.0
45,58.0
46,37.7
47,34.2
48,30.9
49,38.4
50,26.5
51,36.6
52,29.6
53,26.6
54,33.2
55,32.7
56,31.1
57,29.3
58,29.9
59,37.0
60,38.3
61,35.7
62,35.7
63,33.5
64,34.4
65,45.4
66,32.6
67,50.8
68,46.2
69,31.5
70,34.1
71,45.6
72,44.2
73,34.1
74,34.7
75,50.7
76,47.1
77,39.6
78,55.9
79,51.3
80,44.9
81,60.6
82,76.0
83,38.9
84,52.4
85,59.8
86,60.9
87,59.2
88,58.8
89,63.4
90,66.3
91,112.6
92,99.8
93,113.4
94,133.3
95,91.6
96,62.1
97,64.1
98,86.7
99,60.2
100,74.3
101,105.7
102,96.7
103,90.6
104,104.5
105,92.5
106,113.8
107,111.6
108,85.4
109,108.4
110,88.6
111,136.5
112,112.0
113,127.8
114,133.7
115,126.7
116,101.3
117,106.0
118,108.1
119,109.3
120,102.0
121,107.7
122,149.8
123,125.8
124,132.9
125,116.9
126,128.5
127,143.4
128,154.6
129,157.8
130,131.0
131,99.5
132,112.0
133,89.9
134,89.9
135,113.3
136,130.5
137,141.0
138,134.7
139,153.1
140,119.6
141,124.1
142,148.1
143,139.8
144,112.8
145,139.1
146,144.2
147,170.2
148,137.4
149,173.4
150,175.9
151,122.2
152,177.6
153,153.5
154,162.7
155,159.3
156,137.8
157,163.1
158,164.4
159,207.5
160,197.4
161,225.4
162,201.5
163,214.5
164,202.5
165,191.9
166,182.8
167,158.4
168,168.6
169,195.3
170,219.8
171,177.0
172,164.8
173,156.9
174,141.8
175,182.0
176,187.5
177,202.7
178,194.2
179,222.7
180,183.8
181,161.0
182,139.7
183,198.7
184,197.4
185,170.6
186,218.1
187,202.4
188,208.3
189,181.3
190,182.9
191,122.7
192,184.5
193,189.2
194,166.3
195,183.0
196,178.1
197,176.6
198,191.7
199,178.2
200,142.2
201,173.0
202,183.0
203,191.1
204,200.6
205,130.1
206,142.9
207,135.7
208,154.6
209,153.4
