Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
13.0,18.0,13.0,30.0,28.0,10.0,13.0,22.0,17.0,10.0
14.0,26.0,20.0,19.0,17.0,16.0,28.0,28.0,23.0,22.0
58.0,12.0,24.0,37.0,12.0,14.0,13.0,10.0,14.0,18.0
69.0,25.0,26.0,12.0,66.0,26.0,28.0,8.0,11.0,14.0
33.0,24.0,12.0,33.0,31.0,18.0,34.0,39.0,9.0,15.0
23.0,15.0,22.0,20.0,83.0,17.0,15.0,14.0,16.0,14.0
37.0,13.0,14.0,14.0,58.0,19.0,58.0,11.0,17.0,18.0
36.0,12.0,18.0,31.0,17.0,13.0,51.0,11.0,22.0,17.0
28.0,22.0,10.0,21.0,36.0,37.0,39.0,11.0,14.0,22.0
26.0,25.0,9.0,20.0,33.0,18.0,52.0,26.0,39.0,22.0
31.0,15.0,47.0,19.0,27.0,18.0,20.0,10.0,15.0,46.0
31.0,17.0,17.0,12.0,47.0,20.0,25.0,17.0,17.0,47.0
57.0,13.0,21.0,44.0,64.0,21.0,29.0,12.0,22.0,23.0
19.0,12.0,18.0,16.0,28.0,21.0,11.0,15.0,23.0,32.0
21.0,36.0,35.0,19.0,50.0,20.0,32.0,8.0,17.0,22.0
22.0,22.0,44.0,30.0,34.0,17.0,38.0,27.0,14.0,14.0
52.0,11.0,13.0,41.0,13.0,16.0,18.0,19.0,20.0,56.0
24.0,12.0,24.0,26.0,48.0,15.0,21.0,41.0,13.0,17.0
16.0,22.0,55.0,14.0,24.0,17.0,47.0,17.0,21.0,23.0
32.0,15.0,66.0,9.0,20.0,21.0,27.0,10.0,39.0,14.0
46.0,38.0,17.0,24.0,21.0,11.0,39.0,20.0,10.0,14.0
23.0,39.0,19.0,68.0,23.0,12.0,26.0,17.0,32.0,22.0
28.0,17.0,38.0,17.0,25.0,33.0,24.0,13.0,11.0,25.0
30.0,38.0,19.0,28.0,25.0,51.0,73.0,12.0,19.0,15.0
15.0,10.0,57.0,13.0,18.0,15.0,53.0,19.0,12.0,14.0
23.0,13.0,49.0,19.0,18.0,25.0,58.0,29.0,15.0,29.0
44.0,21.0,17.0,24.0,98.0,28.0,72.0,11.0,18.0,22.0
30.0,18.0,32.0,12.0,53.0,31.0,20.0,20.0,13.0,10.0
17.0,38.0,46.0,18.0,28.0,20.0,25.0,40.0,24.0,20.0
46.0,39.0,33.0,15.0,80.0,18.0,52.0,25.0,18.0,17.0
16.0,16.0,25.0,12.0,25.0,17.0,66.0,17.0,21.0,45.0
46.0,28.0,44.0,17.0,30.0,33.0,108.0,21.0,29.0,12.0
48.0,12.0,34.0,22.0,21.0,32.0,49.0,15.0,32.0,17.0
41.0,25.0,74.0,14.0,43.0,20.0,19.0,10.0,24.0,20.0
19.0,18.0,61.0,21.0,23.0,15.0,56.0,15.0,18.0,20.0
26.0,11.0,70.0,13.0,41.0,24.0,35.0,14.0,16.0,14.0
35.0,23.0,54.0,13.0,74.0,28.0,39.0,24.0,29.0,27.0
24.0,18.0,54.0,16.0,33.0,37.0,55.0,55.0,15.0,11.0
20.0,28.0,73.0,24.0,41.0,27.0,22.0,19.0,52.0,15.0
111.0,47.0,77.0,13.0,45.0,14.0,41.0,14.0,24.0,27.0
46.0,16.0,54.0,30.0,26.0,18.0,39.0,23.0,17.0,16.0
64.0,16.0,80.0,39.0,53.0,35.0,77.0,21.0,48.0,28.0
83.0,38.0,88.0,14.0,37.0,45.0,25.0,11.0,75.0,20.0
42.0,30.0,75.0,22.0,64.0,15.0,48.0,11.0,41.0,42.0
46.0,38.0,85.0,38.0,60.0,12.0,43.0,16.0,12.0,31.0
29.0,25.0,41.0,22.0,46.0,11.0,57.0,28.0,18.0,22.0
53.0,27.0,82.0,54.0,32.0,10.0,31.0,16.0,17.0,22.0
21.0,11.0,110.0,16.0,38.0,37.0,20.0,22.0,34.0,39.0
29.0,16.0,93.0,26.0,42.0,20.0,34.0,13.0,12.0,17.0
130.0,28.0,62.0,26.0,64.0,26.0,38.0,12.0,60.0,37.0
82.0,12.0,71.0,21.0,63.0,13.0,64.0,23.0,16.0,20.0
26.0,21.0,103.0,79.0,76.0,19.0,34.0,45.0,13.0,16.0
51.0,25.0,122.0,48.0,49.0,34.0,36.0,10.0,30.0,18.0
17.0,43.0,78.0,31.0,116.0,16.0,63.0,40.0,24.0,29.0
46.0,12.0,79.0,10.0,81.0,25.0,53.0,27.0,41.0,14.0
65.0,49.0,45.0,12.0,78.0,26.0,58.0,11.0,44.0,24.0
20.0,15.0,73.0,17.0,134.0,44.0,44.0,28.0,16.0,24.0
107.0,35.0,78.0,35.0,111.0,47.0,146.0,25.0,12.0,40.0
10.0,13.0,49.0,10.0,68.0,32.0,53.0,12.0,21.0,24.0
71.0,24.0,86.0,14.0,76.0,30.0,42.0,11.0,29.0,64.0
42.0,18.0,72.0,22.0,109.0,47.0,95.0,17.0,37.0,24.0
39.0,21.0,102.0,20.0,174.0,17.0,34.0,10.0,10.0,18.0
34.0,9.0,130.0,30.0,178.0,20.0,63.0,22.0,38.0,21.0
119.0,12.0,142.0,10.0,252.0,73.0,22.0,10.0,18.0,26.0
35.0,25.0,94.0,25.0,70.0,19.0,65.0,16.0,15.0,19.0
33.0,30.0,39.0,32.0,102.0,22.0,84.0,13.0,39.0,26.0
28.0,73.0,46.0,21.0,113.0,42.0,32.0,38.0,11.0,27.0
51.0,14.0,42.0,20.0,103.0,21.0,28.0,25.0,17.0,38.0
106.0,12.0,29.0,12.0,34.0,11.0,36.0,49.0,30.0,21.0
32.0,11.0,40.0,23.0,113.0,25.0,53.0,11.0,56.0,21.0
157.0,39.0,30.0,21.0,216.0,25.0,35.0,23.0,13.0,30.0
72.0,45.0,28.0,21.0,189.0,12.0,70.0,23.0,25.0,14.0
92.0,49.0,43.0,17.0,175.0,13.0,42.0,12.0,35.0,28.0
27.0,23.0,27.0,102.0,144.0,18.0,68.0,14.0,17.0,19.0
66.0,46.0,30.0,11.0,130.0,35.0,47.0,22.0,16.0,32.0
47.0,53.0,38.0,42.0,127.0,35.0,115.0,13.0,29.0,31.0
96.0,17.0,79.0,15.0,143.0,19.0,45.0,11.0,16.0,23.0
80.0,33.0,40.0,17.0,132.0,9.0,230.0,11.0,25.0,24.0
64.0,16.0,67.0,25.0,124.0,19.0,77.0,29.0,23.0,37.0
63.0,33.0,61.0,21.0,129.0,28.0,82.0,20.0,45.0,25.0
90.0,15.0,41.0,26.0,30.0,44.0,81.0,20.0,42.0,48.0
44.0,43.0,44.0,84.0,31.0,15.0,74.0,17.0,31.0,28.0
20.0,18.0,57.0,21.0,43.0,58.0,28.0,14.0,34.0,17.0
103.0,17.0,71.0,15.0,35.0,25.0,105.0,13.0,12.0,22.0
81.0,20.0,70.0,12.0,34.0,10.0,48.0,17.0,32.0,31.0
113.0,26.0,39.0,9.0,43.0,29.0,63.0,12.0,15.0,36.0
72.0,31.0,20.0,13.0,43.0,26.0,137.0,14.0,99.0,17.0
25.0,33.0,31.0,13.0,68.0,23.0,61.0,9.0,36.0,43.0
159.0,52.0,46.0,27.0,46.0,13.0,207.0,31.0,9.0,17.0
111.0,21.0,44.0,33.0,37.0,13.0,365.0,53.0,18.0,31.0
54.0,57.0,35.0,18.0,64.0,12.0,239.0,11.0,16.0,15.0
70.0,86.0,73.0,14.0,91.0,36.0,137.0,14.0,17.0,26.0
125.0,38.0,94.0,22.0,75.0,13.0,162.0,17.0,52.0,37.0
27.0,67.0,82.0,64.0,133.0,20.0,81.0,13.0,37.0,18.0
103.0,24.0,93.0,16.0,72.0,19.0,171.0,37.0,23.0,16.0
44.0,29.0,79.0,19.0,35.0,25.0,101.0,23.0,22.0,42.0
33.0,37.0,49.0,17.0,61.0,20.0,67.0,12.0,41.0,43.0
66.0,26.0,47.0,25.0,53.0,34.0,41.0,26.0,13.0,12.0
76.0,38.0,42.0,26.0,24.0,66.0,67.0,28.0,18.0,24.0
45.0,105.0,22.0,17.0,194.0,12.0,160.0,37.0,13.0,22.0
85.0,45.0,59.0,17.0,59.0,15.0,146.0,12.0,31.0,11.0
43.0,17.0,34.0,23.0,22.0,14.0,87.0,16.0,18.0,35.0
70.0,82.0,63.0,21.0,64.0,9.0,91.0,14.0,17.0,18.0
24.0,33.0,49.0,20.0,66.0,18.0,112.0,13.0,45.0,20.0
80.0,51.0,84.0,30.0,74.0,25.0,193.0,10.0,126.0,25.0
40.0,64.0,36.0,25.0,47.0,37.0,168.0,11.0,85.0,24.0
83.0,49.0,58.0,15.0,46.0,33.0,153.0,11.0,43.0,46.0
45.0,36.0,50.0,20.0,68.0,20.0,149.0,27.0,27.0,14.0
95.0,62.0,57.0,8.0,37.0,22.0,144.0,19.0,13.0,28.0
125.0,145.0,90.0,20.0,42.0,23.0,163.0,14.0,30.0,28.0
106.0,231.0,46.0,11.0,147.0,20.0,126.0,11.0,46.0,9.0
59.0,163.0,55.0,21.0,123.0,17.0,141.0,10.0,23.0,82.0
69.0,52.0,72.0,18.0,130.0,12.0,149.0,20.0,46.0,13.0
35.0,45.0,63.0,16.0,133.0,12.0,170.0,12.0,16.0,19.0
48.0,79.0,100.0,38.0,121.0,31.0,250.0,40.0,11.0,18.0
51.0,48.0,87.0,17.0,79.0,11.0,100.0,19.0,24.0,17.0
133.0,62.0,21.0,28.0,69.0,18.0,108.0,26.0,46.0,27.0
188.0,49.0,73.0,15.0,39.0,23.0,119.0,17.0,45.0,36.0
22.0,19.0,92.0,13.0,174.0,16.0,118.0,11.0,32.0,24.0
186.0,47.0,64.0,16.0,66.0,11.0,99.0,20.0,46.0,31.0
168.0,79.0,32.0,15.0,53.0,14.0,142.0,30.0,71.0,38.0
27.0,206.0,113.0,16.0,40.0,19.0,136.0,18.0,44.0,43.0
119.0,58.0,146.0,20.0,140.0,15.0,179.0,30.0,35.0,40.0
44.0,107.0,110.0,20.0,76.0,38.0,132.0,17.0,73.0,12.0
276.0,65.0,35.0,10.0,66.0,29.0,216.0,24.0,48.0,24.0
114.0,48.0,109.0,15.0,85.0,21.0,397.0,23.0,101.0,37.0
194.0,153.0,416.0,16.0,52.0,9.0,408.0,18.0,53.0,59.0
21.0,230.0,172.0,22.0,67.0,48.0,500.0,29.0,39.0,29.0
284.0,123.0,255.0,21.0,59.0,11.0,500.0,21.0,20.0,31.0
68.0,149.0,321.0,31.0,72.0,9.0,464.0,24.0,28.0,14.0
26.0,212.0,500.0,15.0,105.0,12.0,300.0,18.0,43.0,25.0
93.0,125.0,485.0,31.0,84.0,57.0,287.0,44.0,20.0,39.0
161.0,500.0,500.0,66.0,40.0,10.0,283.0,54.0,36.0,18.0
144.0,239.0,500.0,59.0,107.0,16.0,123.0,11.0,14.0,19.0
91.0,187.0,187.0,14.0,88.0,32.0,243.0,19.0,21.0,33.0
59.0,228.0,237.0,11.0,39.0,15.0,205.0,25.0,84.0,41.0
34.0,122.0,13.0,17.0,121.0,39.0,194.0,11.0,18.0,55.0
186.0,163.0,103.0,13.0,69.0,23.0,115.0,11.0,32.0,27.0
80.0,161.0,244.0,18.0,36.0,11.0,238.0,20.0,52.0,31.0
104.0,121.0,130.0,25.0,99.0,22.0,282.0,17.0,44.0,21.0
88.0,315.0,187.0,8.0,87.0,24.0,293.0,8.0,29.0,53.0
196.0,200.0,254.0,17.0,119.0,21.0,343.0,14.0,42.0,15.0
216.0,250.0,216.0,19.0,116.0,26.0,116.0,27.0,83.0,56.0
98.0,233.0,227.0,15.0,114.0,13.0,196.0,21.0,84.0,21.0
140.0,294.0,248.0,40.0,97.0,33.0,398.0,56.0,44.0,26.0
201.0,277.0,300.0,12.0,177.0,24.0,110.0,22.0,41.0,49.0
203.0,163.0,310.0,38.0,158.0,12.0,297.0,23.0,21.0,19.0
192.0,46.0,421.0,15.0,196.0,12.0,500.0,30.0,18.0,48.0
144.0,146.0,500.0,14.0,122.0,18.0,113.0,26.0,53.0,17.0
101.0,181.0,500.0,43.0,168.0,27.0,343.0,18.0,66.0,25.0
69.0,242.0,205.0,10.0,113.0,25.0,217.0,16.0,63.0,38.0
151.0,193.0,500.0,15.0,157.0,20.0,500.0,22.0,24.0,47.0
97.0,307.0,500.0,24.0,121.0,53.0,500.0,11.0,29.0,27.0
99.0,116.0,500.0,24.0,135.0,35.0,324.0,15.0,41.0,21.0
24.0,500.0,78.0,21.0,194.0,19.0,500.0,24.0,60.0,31.0
161.0,159.0,16.0,12.0,181.0,20.0,329.0,20.0,62.0,29.0
136.0,97.0,19.0,10.0,175.0,14.0,299.0,20.0,27.0,19.0
139.0,187.0,22.0,19.0,110.0,14.0,417.0,17.0,33.0,33.0
309.0,206.0,19.0,15.0,105.0,20.0,343.0,16.0,23.0,13.0
113.0,264.0,16.0,13.0,89.0,8.0,375.0,14.0,69.0,24.0
315.0,93.0,19.0,12.0,99.0,31.0,264.0,40.0,110.0,16.0
256.0,106.0,16.0,27.0,126.0,40.0,419.0,26.0,109.0,33.0
112.0,123.0,16.0,21.0,106.0,15.0,500.0,12.0,59.0,34.0
35.0,123.0,31.0,19.0,100.0,23.0,295.0,15.0,42.0,78.0
163.0,265.0,19.0,24.0,113.0,16.0,316.0,35.0,76.0,26.0
147.0,111.0,32.0,20.0,92.0,16.0,341.0,22.0,34.0,30.0
175.0,97.0,19.0,17.0,41.0,12.0,259.0,41.0,18.0,22.0
344.0,141.0,17.0,16.0,110.0,24.0,244.0,14.0,53.0,55.0
139.0,108.0,11.0,45.0,42.0,26.0,371.0,19.0,67.0,18.0
240.0,79.0,27.0,21.0,104.0,30.0,500.0,13.0,37.0,37.0
212.0,74.0,21.0,15.0,228.0,28.0,436.0,27.0,17.0,32.0
379.0,86.0,33.0,16.0,174.0,20.0,500.0,22.0,66.0,78.0
178.0,135.0,22.0,28.0,29.0,41.0,188.0,13.0,67.0,24.0
108.0,103.0,20.0,13.0,137.0,30.0,500.0,52.0,41.0,48.0
62.0,129.0,28.0,35.0,118.0,15.0,275.0,22.0,29.0,25.0
58.0,154.0,50.0,19.0,135.0,15.0,459.0,23.0,49.0,24.0
90.0,162.0,10.0,28.0,123.0,17.0,500.0,35.0,64.0,16.0
403.0,225.0,15.0,55.0,205.0,35.0,500.0,27.0,35.0,72.0
129.0,150.0,28.0,58.0,227.0,11.0,500.0,44.0,57.0,23.0
500.0,494.0,24.0,22.0,155.0,27.0,500.0,26.0,53.0,18.0
162.0,245.0,15.0,34.0,124.0,20.0,500.0,24.0,62.0,132.0
244.0,262.0,89.0,25.0,118.0,27.0,500.0,20.0,51.0,24.0
382.0,211.0,26.0,21.0,143.0,17.0,500.0,13.0,116.0,46.0
212.0,36.0,26.0,50.0,112.0,15.0,224.0,57.0,63.0,65.0
220.0,192.0,51.0,32.0,121.0,21.0,100.0,12.0,49.0,61.0
185.0,125.0,56.0,26.0,126.0,9.0,500.0,32.0,43.0,16.0
191.0,128.0,25.0,32.0,296.0,24.0,500.0,34.0,89.0,54.0
185.0,129.0,39.0,38.0,154.0,17.0,500.0,30.0,96.0,28.0
166.0,34.0,46.0,17.0,231.0,22.0,472.0,15.0,35.0,47.0
153.0,24.0,66.0,15.0,52.0,17.0,500.0,14.0,101.0,12.0
190.0,228.0,139.0,17.0,268.0,29.0,500.0,19.0,156.0,27.0
150.0,210.0,65.0,30.0,246.0,18.0,500.0,12.0,29.0,26.0
321.0,232.0,121.0,26.0,189.0,11.0,500.0,34.0,80.0,31.0
87.0,254.0,32.0,12.0,270.0,19.0,500.0,14.0,46.0,80.0
360.0,104.0,199.0,42.0,223.0,47.0,500.0,38.0,69.0,24.0
281.0,238.0,87.0,14.0,247.0,19.0,500.0,35.0,59.0,15.0
188.0,500.0,158.0,20.0,288.0,27.0,500.0,13.0,95.0,33.0
312.0,234.0,77.0,27.0,385.0,25.0,500.0,18.0,97.0,26.0
242.0,325.0,87.0,23.0,500.0,36.0,500.0,18.0,29.0,18.0
253.0,500.0,89.0,36.0,500.0,17.0,500.0,13.0,150.0,23.0
412.0,181.0,50.0,43.0,123.0,12.0,500.0,14.0,56.0,22.0
202.0,500.0,83.0,18.0,96.0,49.0,500.0,26.0,56.0,11.0
220.0,121.0,109.0,10.0,108.0,20.0,500.0,17.0,75.0,36.0
112.0,500.0,84.0,32.0,138.0,15.0,500.0,16.0,41.0,27.0
224.0,500.0,121.0,13.0,115.0,39.0,500.0,16.0,81.0,34.0
209.0,305.0,139.0,24.0,122.0,13.0,500.0,38.0,60.0,31.0
224.0,500.0,157.0,37.0,111.0,13.0,500.0,14.0,25.0,42.0
233.0,500.0,138.0,29.0,120.0,51.0,500.0,45.0,70.0,82.0
246.0,500.0,115.0,19.0,65.0,13.0,500.0,20.0,25.0,60.0
150.0,500.0,162.0,29.0,97.0,19.0,500.0,19.0,125.0,63.0
168.0,394.0,62.0,21.0,127.0,17.0,264.0,65.0,42.0,17.0
212.0,500.0,27.0,26.0,139.0,28.0,353.0,36.0,60.0,40.0
127.0,500.0,15.0,11.0,100.0,12.0,500.0,24.0,102.0,15.0
357.0,500.0,79.0,34.0,96.0,33.0,384.0,13.0,44.0,34.0
130.0,500.0,40.0,30.0,105.0,41.0,500.0,21.0,181.0,81.0
166.0,500.0,500.0,9.0,93.0,10.0,500.0,31.0,48.0,26.0
347.0,500.0,500.0,12.0,117.0,28.0,356.0,24.0,159.0,30.0
219.0,500.0,258.0,16.0,129.0,14.0,216.0,34.0,103.0,27.0
153.0,500.0,500.0,26.0,155.0,15.0,349.0,24.0,45.0,18.0
134.0,500.0,464.0,30.0,139.0,12.0,184.0,41.0,132.0,24.0
175.0,213.0,500.0,18.0,500.0,10.0,500.0,18.0,177.0,14.0
191.0,500.0,500.0,17.0,500.0,18.0,500.0,43.0,55.0,102.0
162.0,500.0,500.0,20.0,500.0,12.0,500.0,12.0,86.0,34.0
150.0,500.0,500.0,12.0,500.0,15.0,500.0,48.0,38.0,100.0
185.0,500.0,500.0,47.0,236.0,32.0,500.0,21.0,70.0,29.0
181.0,500.0,500.0,40.0,316.0,20.0,500.0,11.0,88.0,57.0
203.0,235.0,500.0,16.0,174.0,14.0,500.0,29.0,145.0,18.0
286.0,240.0,437.0,29.0,359.0,15.0,500.0,22.0,98.0,46.0
267.0,500.0,303.0,21.0,79.0,46.0,500.0,34.0,115.0,73.0
213.0,500.0,252.0,13.0,83.0,11.0,500.0,27.0,122.0,61.0
153.0,500.0,192.0,14.0,272.0,34.0,500.0,29.0,268.0,27.0
224.0,500.0,183.0,11.0,198.0,38.0,500.0,23.0,63.0,23.0
260.0,304.0,167.0,12.0,86.0,58.0,500.0,15.0,77.0,44.0
500.0,438.0,136.0,20.0,123.0,27.0,500.0,32.0,134.0,33.0
457.0,446.0,144.0,17.0,164.0,36.0,500.0,44.0,104.0,24.0
372.0,500.0,268.0,14.0,241.0,22.0,500.0,20.0,49.0,66.0
252.0,458.0,310.0,17.0,227.0,38.0,500.0,12.0,71.0,37.0
342.0,500.0,500.0,15.0,106.0,22.0,448.0,36.0,93.0,39.0
327.0,500.0,500.0,48.0,492.0,10.0,458.0,33.0,67.0,33.0
500.0,500.0,145.0,17.0,500.0,15.0,500.0,11.0,204.0,47.0
277.0,500.0,140.0,15.0,383.0,22.0,500.0,23.0,69.0,47.0
178.0,500.0,147.0,18.0,436.0,40.0,500.0,18.0,63.0,45.0
266.0,500.0,128.0,13.0,363.0,32.0,500.0,44.0,111.0,20.0
343.0,500.0,119.0,16.0,214.0,90.0,500.0,25.0,107.0,64.0
234.0,500.0,145.0,49.0,220.0,15.0,417.0,28.0,57.0,28.0
223.0,189.0,120.0,24.0,131.0,22.0,492.0,18.0,128.0,20.0
437.0,309.0,110.0,19.0,116.0,14.0,500.0,19.0,204.0,29.0
500.0,329.0,112.0,17.0,108.0,22.0,352.0,31.0,143.0,27.0
288.0,289.0,80.0,24.0,102.0,18.0,458.0,18.0,88.0,37.0
279.0,204.0,84.0,22.0,102.0,25.0,382.0,35.0,139.0,44.0
129.0,271.0,77.0,9.0,80.0,25.0,500.0,10.0,174.0,85.0
443.0,220.0,81.0,58.0,89.0,54.0,500.0,51.0,112.0,37.0
500.0,231.0,97.0,29.0,35.0,52.0,500.0,18.0,186.0,13.0
500.0,291.0,105.0,28.0,79.0,33.0,500.0,33.0,130.0,23.0
380.0,374.0,93.0,16.0,28.0,28.0,500.0,19.0,132.0,39.0
500.0,500.0,71.0,13.0,114.0,45.0,500.0,18.0,115.0,25.0
384.0,500.0,124.0,8.0,39.0,20.0,500.0,41.0,79.0,30.0
434.0,500.0,62.0,32.0,22.0,27.0,74.0,24.0,316.0,37.0
181.0,500.0,75.0,66.0,29.0,16.0,500.0,15.0,147.0,19.0
500.0,500.0,65.0,22.0,15.0,33.0,500.0,15.0,95.0,24.0
293.0,500.0,86.0,12.0,25.0,35.0,84.0,15.0,140.0,54.0
255.0,500.0,104.0,22.0,24.0,31.0,429.0,13.0,28.0,42.0
136.0,500.0,104.0,14.0,71.0,38.0,24.0,10.0,176.0,40.0
500.0,500.0,92.0,18.0,116.0,20.0,89.0,48.0,237.0,26.0
373.0,500.0,167.0,101.0,86.0,16.0,94.0,24.0,192.0,47.0
328.0,500.0,76.0,34.0,131.0,27.0,85.0,72.0,82.0,22.0
285.0,500.0,55.0,23.0,32.0,15.0,95.0,14.0,128.0,31.0
500.0,500.0,57.0,16.0,43.0,21.0,229.0,9.0,277.0,69.0
231.0,500.0,22.0,12.0,38.0,30.0,108.0,15.0,100.0,32.0
385.0,500.0,60.0,33.0,127.0,39.0,115.0,33.0,291.0,41.0
482.0,500.0,72.0,46.0,98.0,55.0,37.0,24.0,168.0,27.0
461.0,500.0,76.0,50.0,149.0,61.0,107.0,18.0,238.0,42.0
333.0,500.0,107.0,15.0,111.0,47.0,115.0,22.0,159.0,33.0
189.0,500.0,114.0,14.0,114.0,15.0,120.0,57.0,225.0,30.0
500.0,500.0,61.0,13.0,160.0,26.0,111.0,11.0,377.0,20.0
500.0,500.0,29.0,56.0,110.0,14.0,109.0,41.0,312.0,144.0
500.0,500.0,64.0,15.0,42.0,19.0,114.0,22.0,500.0,31.0
500.0,500.0,36.0,20.0,118.0,34.0,100.0,22.0,199.0,24.0
500.0,500.0,53.0,17.0,75.0,36.0,110.0,40.0,311.0,53.0
151.0,500.0,68.0,11.0,92.0,13.0,114.0,22.0,201.0,34.0
297.0,500.0,150.0,36.0,101.0,32.0,110.0,21.0,500.0,16.0
500.0,500.0,222.0,34.0,139.0,16.0,103.0,10.0,161.0,61.0
134.0,500.0,266.0,20.0,160.0,13.0,105.0,19.0,388.0,65.0
500.0,500.0,245.0,19.0,182.0,20.0,48.0,71.0,198.0,184.0
500.0,500.0,92.0,11.0,294.0,24.0,110.0,17.0,272.0,148.0
500.0,500.0,148.0,11.0,163.0,31.0,128.0,31.0,317.0,56.0
443.0,500.0,89.0,18.0,127.0,18.0,132.0,32.0,129.0,61.0
500.0,500.0,309.0,27.0,137.0,35.0,120.0,20.0,500.0,30.0
123.0,87.0,63.0,11.0,251.0,66.0,134.0,15.0,189.0,22.0
500.0,500.0,269.0,19.0,201.0,20.0,108.0,54.0,162.0,25.0
500.0,500.0,129.0,27.0,236.0,36.0,133.0,29.0,183.0,21.0
500.0,500.0,154.0,28.0,238.0,36.0,116.0,30.0,154.0,52.0
418.0,500.0,121.0,11.0,157.0,14.0,114.0,21.0,109.0,55.0
394.0,500.0,130.0,18.0,135.0,18.0,96.0,12.0,113.0,70.0
285.0,500.0,81.0,15.0,151.0,16.0,84.0,36.0,153.0,20.0
500.0,500.0,19.0,60.0,166.0,22.0,99.0,35.0,202.0,31.0
500.0,500.0,21.0,29.0,115.0,9.0,133.0,28.0,270.0,62.0
202.0,500.0,90.0,11.0,136.0,24.0,116.0,28.0,116.0,68.0
500.0,500.0,77.0,21.0,133.0,75.0,117.0,14.0,86.0,55.0
500.0,500.0,33.0,16.0,129.0,46.0,99.0,19.0,392.0,47.0
500.0,143.0,90.0,39.0,129.0,120.0,131.0,26.0,333.0,43.0
308.0,364.0,107.0,17.0,120.0,11.0,140.0,21.0,149.0,43.0
326.0,500.0,89.0,23.0,179.0,25.0,143.0,20.0,444.0,30.0
500.0,500.0,106.0,17.0,114.0,112.0,156.0,26.0,201.0,23.0
457.0,500.0,102.0,30.0,158.0,24.0,148.0,14.0,494.0,17.0
500.0,500.0,53.0,34.0,203.0,53.0,178.0,24.0,366.0,40.0
500.0,500.0,45.0,14.0,492.0,13.0,156.0,53.0,155.0,47.0
