Agent 1,Agent 2,Agent 3,Agent 4,Agent 5
19.0,12.0,13.0,16.0,9.0
14.0,21.0,16.0,15.0,14.0
10.0,15.0,14.0,17.0,11.0
35.0,14.0,10.0,30.0,20.0
26.0,16.0,11.0,19.0,10.0
14.0,17.0,23.0,38.0,48.0
13.0,11.0,13.0,17.0,41.0
35.0,10.0,11.0,18.0,10.0
23.0,16.0,10.0,19.0,30.0
8.0,18.0,11.0,22.0,22.0
22.0,18.0,20.0,13.0,20.0
13.0,16.0,13.0,13.0,24.0
43.0,19.0,12.0,23.0,24.0
43.0,15.0,10.0,26.0,26.0
48.0,10.0,17.0,24.0,13.0
25.0,14.0,18.0,39.0,13.0
14.0,15.0,14.0,14.0,13.0
22.0,12.0,16.0,15.0,23.0
59.0,12.0,13.0,9.0,16.0
53.0,9.0,22.0,17.0,19.0
14.0,17.0,23.0,24.0,9.0
50.0,10.0,56.0,16.0,15.0
23.0,16.0,46.0,35.0,15.0
16.0,24.0,27.0,14.0,28.0
40.0,13.0,48.0,12.0,9.0
22.0,15.0,46.0,22.0,19.0
24.0,13.0,19.0,21.0,19.0
19.0,13.0,14.0,13.0,12.0
23.0,15.0,19.0,25.0,27.0
16.0,13.0,19.0,14.0,13.0
33.0,15.0,20.0,10.0,34.0
13.0,20.0,23.0,13.0,105.0
11.0,21.0,14.0,23.0,42.0
53.0,18.0,32.0,15.0,46.0
31.0,33.0,19.0,16.0,22.0
32.0,14.0,33.0,26.0,15.0
44.0,25.0,46.0,13.0,14.0
13.0,11.0,51.0,23.0,19.0
33.0,13.0,41.0,22.0,14.0
26.0,10.0,47.0,22.0,14.0
20.0,16.0,26.0,30.0,13.0
19.0,13.0,68.0,22.0,16.0
22.0,21.0,39.0,12.0,47.0
16.0,18.0,97.0,22.0,14.0
51.0,22.0,33.0,27.0,24.0
10.0,14.0,70.0,14.0,23.0
33.0,30.0,30.0,14.0,24.0
30.0,24.0,19.0,12.0,25.0
27.0,18.0,17.0,13.0,13.0
18.0,17.0,27.0,12.0,19.0
