Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
19.0,13.0,21.0,20.0,16.0,16.0,12.0,29.0,28.0,12.0
15.0,57.0,21.0,42.0,43.0,36.0,23.0,14.0,9.0,19.0
14.0,33.0,24.0,23.0,15.0,9.0,11.0,38.0,11.0,24.0
13.0,32.0,20.0,30.0,11.0,15.0,25.0,19.0,11.0,10.0
26.0,29.0,52.0,14.0,19.0,9.0,10.0,44.0,14.0,18.0
15.0,31.0,27.0,18.0,36.0,24.0,12.0,24.0,20.0,16.0
11.0,22.0,20.0,13.0,39.0,18.0,21.0,10.0,20.0,20.0
26.0,32.0,13.0,43.0,85.0,14.0,10.0,17.0,14.0,24.0
23.0,27.0,16.0,9.0,24.0,8.0,16.0,29.0,25.0,27.0
16.0,15.0,22.0,21.0,23.0,32.0,21.0,24.0,16.0,29.0
47.0,15.0,82.0,61.0,32.0,14.0,17.0,21.0,13.0,34.0
25.0,43.0,23.0,40.0,44.0,19.0,11.0,40.0,10.0,15.0
30.0,18.0,40.0,36.0,32.0,14.0,38.0,34.0,14.0,11.0
31.0,15.0,92.0,18.0,20.0,12.0,16.0,23.0,19.0,31.0
24.0,14.0,41.0,40.0,43.0,27.0,26.0,11.0,13.0,27.0
20.0,19.0,55.0,21.0,20.0,9.0,69.0,18.0,25.0,17.0
42.0,16.0,94.0,13.0,41.0,13.0,18.0,20.0,35.0,36.0
44.0,29.0,40.0,12.0,22.0,28.0,15.0,50.0,17.0,31.0
17.0,9.0,36.0,21.0,38.0,26.0,60.0,11.0,12.0,10.0
47.0,87.0,103.0,31.0,31.0,13.0,26.0,38.0,12.0,12.0
18.0,23.0,25.0,28.0,81.0,16.0,39.0,28.0,20.0,40.0
20.0,19.0,28.0,24.0,44.0,12.0,24.0,40.0,12.0,21.0
26.0,13.0,48.0,21.0,92.0,12.0,86.0,10.0,20.0,31.0
27.0,13.0,35.0,27.0,56.0,12.0,31.0,11.0,22.0,36.0
16.0,28.0,38.0,23.0,55.0,14.0,67.0,17.0,13.0,24.0
14.0,10.0,266.0,14.0,65.0,36.0,98.0,29.0,20.0,16.0
28.0,25.0,217.0,19.0,109.0,28.0,41.0,14.0,29.0,24.0
65.0,17.0,79.0,30.0,129.0,40.0,31.0,13.0,14.0,14.0
23.0,24.0,133.0,22.0,93.0,12.0,11.0,13.0,18.0,27.0
14.0,15.0,88.0,12.0,77.0,28.0,13.0,17.0,11.0,16.0
27.0,50.0,80.0,14.0,100.0,11.0,28.0,58.0,17.0,15.0
22.0,38.0,160.0,21.0,281.0,39.0,22.0,23.0,34.0,15.0
17.0,51.0,262.0,19.0,163.0,17.0,23.0,18.0,16.0,10.0
17.0,36.0,191.0,19.0,102.0,34.0,27.0,32.0,13.0,11.0
52.0,44.0,266.0,21.0,105.0,28.0,41.0,21.0,10.0,12.0
44.0,17.0,320.0,13.0,132.0,16.0,81.0,12.0,12.0,11.0
47.0,26.0,500.0,17.0,34.0,13.0,35.0,21.0,34.0,36.0
14.0,11.0,500.0,14.0,63.0,13.0,47.0,15.0,29.0,12.0
19.0,27.0,500.0,15.0,118.0,12.0,53.0,18.0,11.0,15.0
37.0,17.0,500.0,13.0,89.0,35.0,52.0,20.0,15.0,20.0
19.0,43.0,180.0,20.0,36.0,16.0,61.0,16.0,16.0,23.0
19.0,21.0,178.0,13.0,74.0,19.0,85.0,16.0,10.0,8.0
21.0,11.0,125.0,18.0,38.0,37.0,147.0,12.0,13.0,15.0
27.0,28.0,157.0,15.0,56.0,13.0,54.0,27.0,16.0,10.0
24.0,15.0,149.0,16.0,46.0,14.0,90.0,13.0,12.0,11.0
43.0,86.0,34.0,30.0,57.0,19.0,36.0,14.0,15.0,31.0
12.0,27.0,64.0,15.0,72.0,37.0,88.0,28.0,11.0,20.0
58.0,21.0,113.0,29.0,94.0,52.0,131.0,9.0,32.0,27.0
15.0,50.0,100.0,48.0,110.0,20.0,19.0,25.0,23.0,13.0
39.0,88.0,108.0,18.0,288.0,24.0,74.0,21.0,15.0,14.0
62.0,33.0,200.0,24.0,76.0,34.0,20.0,14.0,18.0,13.0
64.0,22.0,201.0,22.0,71.0,29.0,104.0,17.0,12.0,11.0
27.0,19.0,164.0,29.0,70.0,47.0,19.0,18.0,22.0,43.0
25.0,21.0,177.0,15.0,54.0,14.0,22.0,17.0,23.0,33.0
44.0,68.0,164.0,25.0,57.0,44.0,32.0,44.0,31.0,14.0
31.0,136.0,186.0,10.0,116.0,17.0,50.0,25.0,9.0,51.0
21.0,117.0,251.0,11.0,123.0,27.0,130.0,27.0,25.0,20.0
39.0,44.0,231.0,13.0,194.0,18.0,108.0,17.0,14.0,13.0
43.0,27.0,337.0,32.0,157.0,11.0,104.0,26.0,35.0,13.0
12.0,42.0,500.0,11.0,41.0,27.0,31.0,32.0,10.0,11.0
37.0,83.0,500.0,16.0,408.0,13.0,34.0,14.0,30.0,18.0
36.0,44.0,82.0,11.0,270.0,20.0,126.0,17.0,40.0,13.0
100.0,41.0,500.0,23.0,254.0,18.0,174.0,11.0,14.0,31.0
30.0,109.0,390.0,36.0,500.0,21.0,50.0,21.0,15.0,20.0
32.0,58.0,500.0,26.0,305.0,17.0,200.0,35.0,13.0,22.0
33.0,64.0,128.0,10.0,105.0,18.0,138.0,12.0,25.0,17.0
46.0,62.0,46.0,9.0,153.0,22.0,148.0,26.0,14.0,22.0
21.0,42.0,411.0,15.0,122.0,11.0,129.0,14.0,39.0,12.0
45.0,68.0,48.0,23.0,99.0,60.0,158.0,15.0,23.0,11.0
50.0,50.0,142.0,13.0,106.0,31.0,87.0,22.0,17.0,19.0
35.0,180.0,67.0,42.0,69.0,14.0,165.0,55.0,37.0,32.0
63.0,85.0,139.0,32.0,63.0,69.0,228.0,24.0,57.0,32.0
26.0,140.0,38.0,32.0,80.0,68.0,315.0,18.0,19.0,26.0
59.0,69.0,77.0,14.0,66.0,10.0,295.0,13.0,18.0,10.0
77.0,74.0,41.0,15.0,63.0,17.0,211.0,17.0,12.0,14.0
20.0,50.0,407.0,51.0,83.0,33.0,138.0,30.0,21.0,16.0
103.0,189.0,500.0,21.0,107.0,21.0,91.0,13.0,21.0,15.0
39.0,38.0,473.0,44.0,145.0,11.0,97.0,13.0,31.0,40.0
19.0,94.0,500.0,10.0,120.0,16.0,70.0,15.0,26.0,22.0
13.0,110.0,500.0,40.0,74.0,22.0,117.0,12.0,61.0,27.0
