Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
16.0,12.0,44.0,14.0,26.0,13.0,16.0,25.0,16.0,11.0
14.0,30.0,14.0,41.0,13.0,16.0,11.0,26.0,33.0,24.0
13.0,17.0,22.0,25.0,18.0,13.0,34.0,24.0,22.0,21.0
38.0,43.0,46.0,15.0,21.0,13.0,16.0,29.0,10.0,16.0
16.0,32.0,12.0,59.0,25.0,20.0,53.0,14.0,12.0,13.0
29.0,25.0,26.0,21.0,21.0,26.0,13.0,11.0,15.0,9.0
11.0,31.0,27.0,37.0,18.0,30.0,15.0,24.0,79.0,20.0
14.0,10.0,18.0,19.0,24.0,30.0,12.0,70.0,24.0,29.0
27.0,25.0,33.0,13.0,14.0,20.0,13.0,18.0,16.0,10.0
23.0,26.0,24.0,13.0,14.0,10.0,13.0,49.0,36.0,19.0
11.0,32.0,37.0,28.0,15.0,17.0,28.0,12.0,14.0,11.0
45.0,11.0,15.0,33.0,16.0,45.0,33.0,21.0,25.0,42.0
9.0,27.0,42.0,12.0,22.0,57.0,11.0,14.0,32.0,26.0
12.0,28.0,47.0,18.0,20.0,31.0,19.0,11.0,25.0,19.0
15.0,24.0,30.0,12.0,17.0,19.0,68.0,24.0,22.0,9.0
11.0,12.0,96.0,10.0,41.0,10.0,10.0,19.0,10.0,14.0
14.0,24.0,33.0,27.0,13.0,57.0,43.0,20.0,10.0,17.0
10.0,52.0,31.0,18.0,9.0,11.0,42.0,10.0,15.0,17.0
14.0,56.0,10.0,13.0,16.0,21.0,33.0,13.0,14.0,16.0
18.0,25.0,21.0,10.0,11.0,11.0,13.0,29.0,14.0,22.0
25.0,17.0,23.0,30.0,27.0,27.0,18.0,19.0,29.0,12.0
17.0,23.0,20.0,12.0,11.0,45.0,21.0,15.0,16.0,15.0
12.0,13.0,53.0,28.0,21.0,11.0,47.0,28.0,18.0,16.0
9.0,12.0,44.0,30.0,19.0,19.0,13.0,41.0,30.0,19.0
31.0,34.0,62.0,16.0,23.0,20.0,13.0,16.0,11.0,18.0
13.0,10.0,41.0,25.0,23.0,21.0,12.0,30.0,39.0,15.0
13.0,33.0,38.0,9.0,55.0,13.0,22.0,17.0,14.0,36.0
14.0,46.0,43.0,38.0,19.0,10.0,14.0,64.0,13.0,32.0
16.0,48.0,28.0,21.0,23.0,20.0,20.0,9.0,9.0,23.0
18.0,74.0,99.0,14.0,21.0,13.0,11.0,22.0,35.0,57.0
20.0,14.0,36.0,27.0,31.0,54.0,35.0,20.0,17.0,12.0
22.0,85.0,22.0,19.0,14.0,15.0,23.0,32.0,11.0,22.0
33.0,89.0,75.0,13.0,32.0,25.0,20.0,16.0,20.0,10.0
66.0,23.0,40.0,16.0,17.0,39.0,26.0,50.0,20.0,13.0
25.0,28.0,43.0,16.0,21.0,43.0,26.0,27.0,15.0,16.0
13.0,36.0,63.0,22.0,21.0,15.0,25.0,43.0,12.0,22.0
8.0,29.0,26.0,19.0,40.0,16.0,24.0,19.0,41.0,25.0
31.0,36.0,72.0,44.0,16.0,14.0,31.0,17.0,24.0,16.0
41.0,33.0,36.0,20.0,19.0,12.0,22.0,16.0,18.0,17.0
13.0,20.0,64.0,30.0,45.0,23.0,23.0,12.0,14.0,53.0
28.0,27.0,59.0,12.0,15.0,35.0,39.0,34.0,20.0,19.0
29.0,44.0,20.0,25.0,13.0,29.0,81.0,15.0,11.0,31.0
26.0,51.0,50.0,14.0,28.0,15.0,18.0,18.0,15.0,11.0
17.0,33.0,106.0,20.0,9.0,16.0,76.0,25.0,12.0,35.0
26.0,36.0,58.0,22.0,18.0,29.0,64.0,21.0,41.0,19.0
14.0,21.0,205.0,19.0,34.0,15.0,72.0,17.0,23.0,17.0
