Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
21.0,10.0,28.0,26.0,23.0,16.0,21.0,25.0,30.0,20.0
13.0,11.0,14.0,14.0,16.0,11.0,56.0,31.0,16.0,16.0
27.0,42.0,11.0,14.0,30.0,22.0,42.0,12.0,25.0,35.0
10.0,22.0,35.0,12.0,25.0,19.0,42.0,33.0,19.0,10.0
13.0,23.0,13.0,33.0,25.0,12.0,16.0,17.0,22.0,23.0
24.0,32.0,14.0,46.0,15.0,10.0,52.0,12.0,28.0,23.0
13.0,46.0,50.0,24.0,36.0,15.0,32.0,13.0,16.0,30.0
37.0,10.0,31.0,21.0,29.0,13.0,18.0,14.0,49.0,16.0
13.0,18.0,25.0,19.0,33.0,48.0,76.0,19.0,45.0,22.0
25.0,22.0,20.0,19.0,14.0,20.0,20.0,11.0,10.0,16.0
35.0,31.0,21.0,17.0,44.0,30.0,37.0,11.0,20.0,19.0
13.0,12.0,16.0,19.0,54.0,17.0,27.0,13.0,14.0,13.0
13.0,84.0,50.0,41.0,24.0,19.0,15.0,12.0,24.0,13.0
22.0,35.0,22.0,23.0,20.0,12.0,31.0,14.0,20.0,13.0
22.0,16.0,12.0,49.0,46.0,21.0,55.0,13.0,32.0,16.0
14.0,12.0,15.0,38.0,24.0,12.0,95.0,19.0,32.0,17.0
29.0,35.0,40.0,17.0,116.0,12.0,112.0,22.0,33.0,18.0
15.0,23.0,24.0,19.0,37.0,17.0,43.0,27.0,10.0,19.0
43.0,19.0,12.0,26.0,65.0,18.0,20.0,60.0,28.0,20.0
25.0,17.0,11.0,21.0,68.0,17.0,45.0,10.0,12.0,15.0
75.0,36.0,18.0,17.0,35.0,12.0,31.0,20.0,27.0,17.0
17.0,14.0,12.0,9.0,27.0,21.0,32.0,10.0,12.0,14.0
34.0,18.0,25.0,13.0,17.0,22.0,27.0,14.0,22.0,16.0
28.0,16.0,19.0,11.0,45.0,15.0,46.0,10.0,16.0,12.0
