Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
17.0,29.0,34.0,15.0,43.0,9.0,13.0,24.0,11.0,23.0
41.0,10.0,21.0,18.0,25.0,14.0,17.0,16.0,23.0,11.0
11.0,9.0,28.0,12.0,11.0,29.0,15.0,17.0,34.0,13.0
16.0,28.0,17.0,17.0,24.0,14.0,18.0,18.0,21.0,80.0
24.0,15.0,17.0,14.0,13.0,14.0,15.0,27.0,16.0,25.0
15.0,11.0,16.0,34.0,10.0,11.0,13.0,24.0,13.0,25.0
10.0,21.0,22.0,48.0,13.0,13.0,36.0,13.0,31.0,14.0
16.0,14.0,25.0,20.0,11.0,15.0,13.0,12.0,15.0,17.0
13.0,10.0,25.0,20.0,13.0,15.0,13.0,17.0,12.0,18.0
13.0,24.0,46.0,19.0,13.0,28.0,41.0,33.0,14.0,24.0
15.0,17.0,22.0,32.0,13.0,27.0,76.0,11.0,25.0,17.0
33.0,25.0,28.0,15.0,27.0,36.0,38.0,14.0,19.0,17.0
18.0,11.0,25.0,14.0,14.0,24.0,15.0,11.0,10.0,24.0
18.0,23.0,21.0,21.0,9.0,26.0,16.0,36.0,11.0,19.0
13.0,13.0,16.0,14.0,12.0,17.0,33.0,15.0,14.0,17.0
49.0,16.0,26.0,13.0,10.0,15.0,33.0,10.0,16.0,13.0
14.0,23.0,29.0,28.0,18.0,13.0,54.0,33.0,19.0,16.0
17.0,10.0,19.0,20.0,13.0,16.0,45.0,29.0,22.0,14.0
16.0,15.0,74.0,38.0,13.0,10.0,37.0,24.0,22.0,14.0
10.0,18.0,25.0,18.0,13.0,37.0,42.0,9.0,27.0,16.0
19.0,9.0,13.0,16.0,10.0,20.0,35.0,9.0,14.0,42.0
15.0,14.0,16.0,35.0,19.0,13.0,35.0,40.0,19.0,44.0
23.0,24.0,14.0,24.0,13.0,29.0,18.0,15.0,38.0,53.0
30.0,10.0,15.0,11.0,11.0,14.0,84.0,15.0,9.0,60.0
18.0,17.0,19.0,11.0,15.0,37.0,33.0,20.0,23.0,14.0
25.0,29.0,45.0,19.0,41.0,12.0,34.0,13.0,37.0,14.0
26.0,12.0,26.0,24.0,19.0,30.0,78.0,10.0,12.0,17.0
24.0,42.0,40.0,48.0,11.0,25.0,23.0,21.0,26.0,20.0
