Episode,Average Reward
1,-95.11452794983458
2,-225.86134696821054
3,-165.29797630678746
4,-211.54874277129434
5,-136.58903222017085
6,-205.60177316297853
7,-184.2286306739978
8,-241.05793344917652
9,-232.52550613612524
10,-203.26496803207652
11,-212.72891442941045
12,-192.53515608294896
13,-189.9408980381127
14,-242.1421971131254
15,-277.54860479641826
16,-168.40532321068585
17,-157.5034867479606
18,-174.64799104056345
19,-209.0930164213923
20,-182.79016281470413
21,-158.2250753771013
22,-203.33235435981769
23,-218.34339269888588
24,-200.3776923265387
25,-199.73375813767893
26,-162.02251066498292
27,-165.12722439998535
28,-153.84871956012702
29,-194.26364298095018
30,-171.2433227705161
31,-186.0814542090674
32,-146.92662993887112
33,-221.6655742826356
34,-99.74014872936218
35,-121.4893699464772
36,-128.49319651055362
37,-188.29733146743894
38,-146.53478094481002
39,-169.4731132224893
40,-176.18574820852604
41,-144.36693130471735
42,-224.70049159246628
43,-165.62439446071113
44,-144.02152783198326
45,-135.22050347910013
46,-175.85900680255685
47,-169.41924867923166
48,-132.00121226572782
49,-255.03263724483864
50,-172.8232887201997
51,-196.63604930577657
52,-138.6197713973977
53,-153.06072521436042
54,-189.87737882153266
55,-173.07285535905328
56,-152.70645411197836
57,-113.18927122067291
58,-154.56986948372327
59,-146.6737432586802
60,-84.32218531605429
61,-142.0487802576256
62,-156.4543713369069
63,-127.81753351651346
64,-177.66772659770794
65,-136.87009584548838
66,-77.07556136012123
67,-182.82476927838408
68,-158.8660080041556
69,-154.40624685858666
70,-133.281670072135
71,-229.05759238299788
72,-125.3473692400022
73,-120.89473089193083
74,-153.86605177864794
75,-176.744434825659
76,-208.55760445140604
77,-146.00764677729583
78,-132.23510114717322
79,-163.38034259442904
80,-87.75031771711056
81,-118.82798853590421
82,-149.30520162454474
83,-126.3278319315862
84,-147.63705140945473
85,-142.6583073951645
86,-110.01956492460393
87,-184.40986904765413
88,-147.8955688890686
89,-93.52526411593173
90,-87.81428534240601
91,-134.26986332842293
92,-130.8562090828752
93,-177.44092042400882
94,-130.89922247618642
95,-123.77085837360221
96,-113.02108109183807
97,-166.24511054307413
98,-122.90077351059458
99,-170.62869042455117
100,-231.9454784943752
101,-134.5627651894085
102,-148.22044256004622
103,-157.3761207500221
104,-171.46979883852822
105,-225.91475060010958
106,-266.9420262132668
107,-161.89013810027956
108,-162.77877572442281
109,-190.18789294934476
110,-241.03097366338733
111,-280.9886709904684
112,-169.8615637803444
113,-199.01679197297344
114,-237.14724058612052
