Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-137.0312604782049,-187.721450415307,-116.7735383569471,-104.84625953745551,-106.46424726874463,-140.5063904855636,-157.34002958671056,-74.02740336316684,-110.83728608026408,-65.71504499912395
-232.49562363298574,-106.0608901084491,-106.19210953806689,-330.80255306200434,-110.47239048232947,-146.63160737669136,-309.0711500641771,-203.6693106304331,-336.2034460936612,-31.174771922950328
-97.223997071344,-61.08661046669246,-128.917968610063,-387.8006671456497,-260.8919487807045,-90.41711419083494,-261.65629022297964,-242.57415248157105,-88.15673623972243,-156.2942287354606
-90.58082068920211,-96.67746434658333,-82.45005652354013,-119.47815018450792,-198.67622725629644,-113.60106198419436,-74.22490934592659,-95.71526428394,-412.1387038593269,-188.7130937094094
-276.6679055509694,-160.2713315673123,-129.3087384031687,-187.3128778202218,-80.39386126303475,-96.20872104022095,-389.0960283034279,-114.95092722084705,-202.10281206572108,-245.9644127473211
-161.18523609672224,-119.31849204459006,-439.7611404210562,-219.81912942158232,-61.265297374180015,-136.30947756487612,-64.5068481896164,-184.00524388429733,-83.85632743041309,-99.46942395451855
-398.4308678260915,-21.09151386200776,-138.09037776457592,-108.08900680320244,-445.96257735146514,-92.63824412200522,-212.0161645889208,-101.55190903930642,-232.90771012297,-72.63897151054515
-462.36909972368665,3.3270750349711875,-91.23038476591077,-108.01481822165096,-356.8023114143037,-333.27435832342087,-91.40962132703105,-206.45161544166464,-350.73539368177137,-118.31844108567307
-83.57540359414226,-26.460905879215375,-140.20393897524445,-356.4244672850062,-105.31314708818702,-227.0990287337594,-250.06346538492343,-99.76106152858338,7.108978821868163,-540.3716716999359
-63.33763456143883,-166.09459545338882,-112.61056346393752,-300.13475212917206,-585.2075335576461,-94.39886337261952,-211.57455305564918,-114.59352354151272,-99.83391668116863,-500.75113430702027
-373.9966852473749,1.8371748883234886,-71.1619428452633,-250.72228550527012,-149.28680333105763,-204.583157665616,-124.95926983968809,-76.36520615460485,-225.2034097200795,-443.56286461272344
