Episode,Average Reward
1,-102.28135637243116
2,-187.06910610884086
3,-179.96597067839895
4,-151.3603614283373
5,-225.87066101606734
6,-235.6863302968421
7,-233.91426475272579
8,-210.9835019733036
9,-163.91034177999194
10,-222.3421519437339
11,-214.38727419547467
12,-260.790108325851
13,-232.2422953198306
14,-215.3259508487568
15,-202.62947287725936
16,-181.29244270454777
17,-194.9156526446211
18,-168.87148633194778
19,-174.99910271430036
20,-223.41515276589317
21,-185.90808930539518
22,-170.33578375090565
23,-163.36743241818039
24,-245.16727685761552
25,-213.85640234990652
26,-159.46610088946971
27,-177.70444667092153
28,-212.7870811427174
29,-232.0524343035783
30,-261.27111124753054
31,-174.74656923737788
32,-259.3473895562236
33,-214.74686121855808
34,-152.81762944614837
35,-160.78089214467772
36,-177.62273332123613
37,-121.74947291343537
38,-161.01553251913202
39,-178.76270092980093
40,-189.43036301878635
41,-213.05172609749314
42,-156.4649288586948
43,-177.18057387731554
44,-163.25047645717922
45,-152.06156869027905
46,-161.99327151363443
47,-163.00787482931952
48,-138.67011741628116
49,-240.46864263048928
50,-182.7502762127252
51,-133.94892380491984
52,-128.57194314015686
53,-195.97054170466822
54,-217.28819094431657
55,-163.94221142445355
56,-173.54432109067108
57,-111.48762556060623
58,-131.20603336121775
59,-186.76669579803473
60,-177.8505156290457
61,-179.4330120801264
62,-154.2517054794196
63,-133.80764251483586
64,-171.1483227277485
65,-109.19850522628835
66,-164.06747363745131
67,-188.82561106719277
68,-156.65310324599085
69,-119.53341670603399
70,-172.580027476769
71,-212.23835984821434
72,-136.10465923585068
73,-121.66809297342638
74,-216.45699127618522
75,-139.067416746322
76,-124.83220856821795
77,-165.63693932643804
78,-158.84993781273735
79,-173.80558490017918
80,-138.6650707436632
81,-146.32542827781617
82,-142.18690845096862
83,-146.04126821196724
84,-155.2297310780197
85,-146.4745987824503
86,-152.03113566358763
87,-135.29662991057688
88,-103.49318157955595
89,-159.25314028401732
90,-95.05944807733668
91,-146.41232994316084
92,-121.41966715554095
93,-126.93094000131472
94,-127.78971568628194
95,-113.36262758582652
96,-102.93923791664835
97,-124.53764913473931
98,-75.64580290520213
99,-137.6240173500443
100,-175.52036755544933
101,-136.04914468072556
102,-136.84698930113996
103,-130.47257037680524
104,-110.02157088349364
105,-120.12760355776543
106,-116.80582800479385
107,-142.02794117699588
108,-126.96156016457257
109,-104.47881340552051
110,-127.74556431799628
111,-90.75367418272108
112,-111.04367509533378
113,-147.770521647361
114,-115.08376267555973
115,-158.10245440461722
116,-158.07392144509595
117,-137.54553380861617
118,-119.002154078702
119,-111.49417714851135
120,-123.28347847674588
121,-123.16735219564357
122,-88.78213328408751
123,-137.42804525408764
124,-94.71316066714186
125,-147.72808331428547
126,-120.72199827442759
127,-132.16567581512635
128,-113.36935193758998
129,-148.4727262083072
130,-92.80507233453186
131,-138.1263389484824
132,-131.53167842808577
133,-102.84157706379494
134,-98.09721385169098
135,-135.5352483188453
136,-97.59501532152396
137,-122.96801452757943
138,-77.08209701765574
139,-75.6653110462001
140,-70.60915528095835
141,-97.58820129492668
142,-112.86052810640842
143,-83.91411195548606
144,-91.9983546733639
145,-88.08080330015741
146,-150.24701814382018
147,-98.74017063931112
148,-148.54652482217665
149,-72.85953979334964
150,-176.6694485226895
151,-149.65866633703862
152,-175.9554378882567
153,-152.49749390868718
154,-111.04131286773323
155,-96.43368725983095
156,-134.05546899367226
157,-161.33871141704614
158,-122.18563594601736
159,-96.51441375916588
160,-115.81905913321457
161,-109.50838346986261
162,-122.95441141015517
163,-129.17070481903437
164,-111.09859200668988
165,-119.49537804282322
166,-109.1463951403352
167,-106.99003157088698
168,-110.24176583564767
169,-69.12377344137657
170,-72.30788821893952
171,-91.05096566479378
172,-77.79935563823082
173,-139.44229503691787
174,-73.27155015639468
175,-78.5759923832718
176,-97.43676220123363
177,-135.15356593657518
178,-176.44827422509508
179,-172.76560407875382
180,-110.84623924509874
181,-74.23712015658943
182,-72.51710411556022
183,-48.16905073993085
184,-113.96215978303455
185,-117.34241512458884
186,-143.4167813350181
187,-118.11302988493352
188,-125.67593022085869
189,-83.48064851239042
190,-139.58660785988874
191,-115.52526007063724
192,-79.67621084380684
193,-54.56456027877973
194,-104.76396670946528
195,-132.87561452166224
196,-75.54834170424672
197,-93.0389951636002
198,-81.55686421001926
199,-59.91414480324664
200,-95.06500922793597
201,-57.20721276179857
202,-109.8021749937428
203,-139.56442691097445
204,-77.59299875960834
205,-101.22655372998189
206,-67.27043745774517
207,-59.58453373745982
208,-83.23506508769394
209,-81.61281735286825
210,-60.4304116047028
211,-29.03339913805477
212,-111.67792947833922
213,-30.935831003578308
214,-46.87837857584807
215,-78.93546052371937
216,-104.66805688647
217,-93.12127381305348
218,-138.47676466235092
219,-128.53027292569863
220,-71.33149338361918
221,-58.17810469585188
222,-161.69473283871454
223,-63.8675876637761
224,-66.26208145059162
225,-93.69556234816041
226,-59.42237841867701
227,-71.23782884722252
228,-58.020591649727336
229,-106.38307689613823
230,-82.48681419819681
231,-79.42724317611352
232,-69.37906219200886
233,-85.32729360280513
234,-50.611691085622326
235,-103.21712062553411
236,-72.89052508826015
237,-43.34385694277212
238,-78.65274528200122
239,-66.65615258971644
240,-62.452776100525035
241,-110.9712996363049
242,-53.12274399287768
243,-111.05077395315125
244,-30.264258985419485
245,-113.57595303066304
246,-80.1987722989617
247,-66.7571960080351
248,-83.94758815388204
249,-79.3117657102234
250,-114.43559385492154
251,-57.16990615258895
252,-85.56328337102937
253,-44.730474696373186
254,-82.37856063567656
