Episode,Average Reward
1,-107.57126287860494
2,-152.69967388743876
3,-120.99116492699952
4,-145.49035053670158
5,-254.72649382559385
6,-200.16157806996458
7,-215.89363279145965
8,-191.56606503531967
9,-206.17556126103963
10,-284.94016549300306
11,-171.27076622626436
12,-249.28750398796956
13,-141.54858549656993
14,-205.6138179017766
15,-205.03745488192789
16,-234.82890728660982
17,-213.82181581228156
18,-223.76225337323672
19,-224.0650589740498
20,-158.7002029296213
21,-144.59291786987117
22,-142.77707865736255
23,-168.80334057453027
24,-151.32970474131025
25,-157.7011311320462
26,-192.76172291596183
27,-156.002156627749
28,-194.90422913152716
29,-212.55382914859624
30,-172.57312046186118
31,-149.2811982044149
32,-142.9029331787381
33,-211.38235310845485
34,-143.5144495737884
35,-182.2698250064057
36,-156.81819733665083
37,-161.82998861381694
38,-151.48792107231984
39,-147.84535240653597
40,-141.97656354847794
41,-163.9910046233612
42,-193.26474272753475
43,-183.67397306813396
44,-191.84532519964662
45,-176.86426099065181
46,-172.68351152904754
47,-150.55688138033815
48,-145.8893935658963
49,-210.25163080436272
50,-94.3435947827972
51,-101.74612782608123
52,-193.42707770482275
53,-196.03163964409956
54,-181.70048215712737
55,-104.05868093583256
56,-186.06596750607935
57,-141.25469752102816
58,-202.27037538666883
59,-210.33657947860416
60,-124.7696736659479
61,-185.33423898926233
62,-210.3139516702475
63,-193.2914066822449
64,-201.46378525451655
65,-150.3283423544227
66,-132.5621962329106
67,-181.91119065829534
68,-257.7683442588045
69,-167.14114887246132
70,-209.8182771798634
71,-126.31386454150659
72,-109.36210924569369
73,-107.28106687938016
74,-119.65715941219112
75,-176.6400092932018
76,-196.84629534924179
77,-179.52861781687847
78,-131.08669612017894
79,-183.59227489064227
80,-138.0656258060579
81,-137.1040597533759
82,-142.78328777618177
83,-159.6606323646019
84,-151.03515912350525
85,-100.10907506017385
86,-172.7017834579837
87,-130.96083713504453
88,-131.74199279418391
89,-128.53608325901922
90,-164.81508333369055
91,-148.58446856033066
92,-98.74000805835446
93,-115.76506563022144
94,-140.08836205221138
95,-130.71227781428715
96,-139.37010821277968
97,-117.06235322516605
98,-122.69684765973777
99,-161.7011552009189
100,-159.95316042094018
101,-169.23798978056794
102,-87.78029127097231
103,-174.61436555248835
104,-130.3734212295808
105,-121.05271375460885
106,-125.07811060673907
107,-162.74987913463497
108,-84.40400644397269
109,-95.22012648747287
110,-104.85882433198269
111,-110.47448086696059
112,-167.97690735234994
113,-128.32282720583055
114,-152.0560354945816
115,-199.5401105855955
116,-190.10649072486257
117,-169.47030387116683
118,-135.38227343650658
119,-120.73140975384236
120,-110.6788511908311
121,-125.81899866856915
122,-171.21911310022614
123,-154.70876248976583
124,-131.9477616508326
125,-178.85485786437857
126,-145.95707089424258
127,-133.1524388340751
128,-146.03905603095228
129,-132.71044476416824
130,-151.5731688831071
131,-139.4969106088659
132,-194.0620693460199
133,-144.34869193966045
134,-153.1633856403899
135,-142.47124193012377
136,-119.06854060127598
137,-152.50178157140348
138,-134.38872326040263
139,-112.73580879432207
140,-114.41222826473977
141,-104.32889375621207
142,-182.86737424031475
143,-147.42383296609165
144,-140.25701992124766
145,-99.01407019881353
146,-138.65916910894876
147,-141.112114949077
148,-131.7149431615904
149,-121.32137921013047
150,-164.07241516425898
151,-201.32905277974388
152,-90.12677630258435
153,-146.8214387429969
154,-121.49514928146189
155,-145.51776222096896
156,-100.05427882912429
157,-195.70801990281757
158,-146.09342551811068
159,-110.03166932140553
160,-103.0104478637957
161,-120.87703110338153
162,-144.29845442852914
163,-87.13561605823003
164,-135.22876393159672
165,-148.03669915962388
166,-114.3776324301291
167,-144.9684576005548
168,-70.01874429994541
169,-129.2876510025742
170,-94.84826749742349
171,-151.27095319367132
172,-92.85909082458707
173,-118.09820153798489
174,-122.10497725803853
175,-125.25076921754253
176,-123.63831605523815
177,-136.1522734955798
178,-106.38849893323291
179,-125.41128512524662
180,-123.57855164987477
181,-108.48983459138924
182,-151.74708310203738
183,-98.52630551440012
184,-112.72399156313796
185,-105.83810693107591
186,-116.55969546055164
187,-92.69976424245105
188,-110.61590271903711
189,-171.29216355533785
190,-235.09924216548802
191,-149.956023997769
192,-125.14901744872478
193,-79.20993512478871
194,-147.57808221793422
195,-178.73013850961337
196,-68.3188368870843
197,-96.34597951707049
198,-68.71662863969613
199,-94.69915915809017
200,-57.09255760295557
201,-122.74247538799816
202,-66.3988605682802
203,-124.16227031271526
204,-140.35020074560774
205,-136.59614804961814
206,-170.70869143028958
207,-106.98872395541821
208,-140.26918181391395
209,-70.49744730166034
210,-90.5361887837845
211,-128.11659869068154
212,-156.38081302289947
213,-155.64047812108006
214,-136.1588533703112
215,-126.4235353971546
216,-154.8155626115701
217,-119.23485701419877
