Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-105.93370859452621,-105.43033222009254,-94.47186481926384,-77.69538200241209,-107.56097792610962,-105.60931574101488,-91.17554126445965,-96.58045971277537,-70.16968340064821,-96.51801381704338
-389.9894124974077,-179.65464753710722,-290.1985117214361,-76.65703019152063,-240.22752457976466,-585.8530039833955,-103.43604654713589,-186.29809726261297,-73.7046674917035,-132.59452787002115
-96.74937726132123,-70.54020566236163,-106.24872128449576,-214.6478195966198,-149.05897321560047,-91.80712096156878,-143.54319637841274,-128.50408021206482,-381.0700275761537,-270.81024091927566
-84.76223603575737,-258.1951963569227,-384.20141977524315,-209.067063332106,-132.46952765876102,-394.4815621083783,-117.8571417228639,-74.42103903993635,-136.35286676388225,-323.67937491909225
-48.67006314656896,-38.37966222171702,-142.25663982865626,-131.28667766027573,-171.63097592753073,-74.93270989010335,-86.44188426201603,-314.31466261979506,-119.66763499310306,-238.30941165194213
-137.14320351421043,-156.0738911267743,-175.50125125973358,-372.1506699480863,-136.7075502375473,-99.8140648294275,-102.50667515760387,-319.9519902726971,-444.8737883028033,-111.29464698090187
-251.45234517163814,-258.4168373023833,-104.2726089403614,-188.97628154700251,-64.46246813599714,-161.04602519603014,-77.20667764582235,-129.72360749821337,-347.78624738776335,-258.9432079147665
-546.4324164891773,-254.47325505798028,-168.58522144350795,-69.44570637834164,-142.9393029642515,-89.39008822597312,-126.96275586996198,-125.18667018119547,-450.4517681418342,-436.71214973954153
-280.9342775736216,-141.59955887338577,-318.35795687042554,-338.2187150426852,-206.40282962258743,-165.81024680646286,-133.8696942234792,-108.78329045300464,-155.49323439861644,-475.7852574969839
-60.48827453951153,-162.27067158393965,-88.96078350676936,-248.7141467369163,-372.67587600300106,-197.9786583964586,-386.08899301513065,-105.58463637938891,-117.26428768158758,-292.6233524780616
-438.68639219418776,-197.15048725291462,-137.15256945969298,-323.58617816428557,-143.0617130928014,-109.09976232257036,-77.59986981710504,-115.7938909958658,-266.6416749309682,-318.51660606371274
