Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-50.59760573623372,-53.36728050767676,-93.67967541878333,-82.4035818355334,-87.2295257299322,-93.97228043891248,-0.43735490275872735,-48.97377240299684,-124.03864388403127,-36.94137010781942
-403.33211746044975,-128.1279088679919,-140.47403951813556,-203.89449434271825,-3.5368941754549468,-185.95439006582075,-113.94757959240849,-23.364522801459117,-43.226765485166624,-58.750956377662206
-286.6118629958073,-269.3779558888275,-229.00485031648068,-389.2364566696362,-197.87810369578625,-490.4371081933433,-212.68940773281565,-105.28642336695849,-129.18745441908433,-121.59698105078829
-74.94677379041669,-59.35281144589266,-327.516525694393,-355.2800555939067,-86.3902083806726,-252.42369781589926,-124.32917137344675,-286.79026074391913,-148.07102630490326,-529.1388530244255
-156.3347418727941,-153.82821576997355,-137.72237865913283,-30.462549757143208,-213.2247257036561,-71.19895017827872,-269.08067936107057,-194.49167836795158,-95.65668349261452,-119.95411669235718
-502.7196635009945,-25.120369034990773,-105.1376943046667,-81.90653853332094,-297.86356578912876,-212.06098871688891,-134.33606265042854,-182.49708660032056,-453.3209158776378,-474.1277183814683
-401.60172933222225,-128.45932492648953,-143.05016956661387,-274.0697616351115,-294.13449325255925,-600.7901554122562,-94.757279583795,-384.07080239586156,-140.6614259684175,-339.014124419798
-105.13749267772778,-292.8740136298808,-51.0355089501519,-427.64790926844864,-424.832246270285,-544.5159766446463,-163.46668773246626,-464.80093345710793,-138.78390808087312,-68.76783301802973
-51.95184056660675,-331.5634843834158,-118.95052477686808,-128.88995949563065,-119.27825573148294,-165.19884347680983,-394.2879956199861,-421.0315169627893,-68.85932840836881,-117.66100677440637
-411.1765548193788,-103.85954409254094,-141.38962209620541,-126.53003284421084,-80.0283556174946,-247.4428937595509,-77.65541104269545,-96.8914283175088,-230.4065754982241,-99.70191011096519
-191.91018030493143,-199.83252191643012,-109.16567599977124,-364.33288749917244,-86.01681568246752,-226.99380253880327,-119.5125396554662,-215.13067368519398,-271.78972972942984,-508.40544332318075
-191.4523385854149,-81.70448642314847,-99.98747921762677,-329.3054643609298,-457.2473380400723,-84.70106738620849,-419.1503693223827,-67.0823067294132,-104.84807647625182,-420.3443080267923
-274.937320298056,-555.6482388997972,-135.32208373100568,-228.07225248695428,-73.27274511285876,-631.9769777267741,-163.3624209448859,-56.42559457673348,-28.044022656609997,-88.5548594950099
-136.8522307455881,-277.53592131318464,-94.76263970301814,-347.04325242609457,-65.43568557947718,-75.38473280142384,-81.364013904438,-34.39790413144269,-61.12039604569739,-337.88117690349253
-255.41036435348715,-213.24284302739105,-62.32143294081237,-98.26641845196433,-38.005816594114336,-211.60425838924317,-164.11185894815307,-124.22813169986856,-231.80584041375133,-106.03766889619033
-206.38666241385,-363.1181593733134,-121.0319021514988,-156.5422564549261,-331.018453624339,-235.57788595840162,-118.35259513439752,-326.5939005845545,-45.695939714276065,-264.5347696923511
-290.39000957817484,-44.417444032991796,-77.5661828184246,-341.4509646757915,-94.16595684704882,-68.13940355024499,-112.27445638944005,-123.06778615872366,-74.3290636579396,-438.8417992293386
-176.6263050854705,-244.875873094146,-71.69675917519446,-96.61766879843091,-148.48156083777104,-124.91778726395694,-119.05213377971155,-121.10004021219709,-155.28338803170334,-70.1441131299841
-271.8667343729047,-55.748409251465226,-376.56293068771186,-175.0345841062703,-122.28567575367764,-308.18699991430725,-100.905222346062,-149.1413091957142,-46.72615827035406,-145.9211440174804
45.59133550533278,-149.0592946900066,-147.77392732123684,-93.8140373073756,-195.62380539984352,-146.17685137104706,-38.80296353137287,-222.76914791176026,-45.29535343809482,-114.39132670322414
-135.87807262612398,-156.11123075231893,-426.6699041874051,-259.90031614860004,-329.5100387565828,-521.6925705173944,-179.31111711563045,-56.78411461886502,-124.62964655081092,-128.28202332451278
-134.34443717313883,-106.38924767251116,-420.25986245236925,-445.85933881151436,-263.7806323154209,-278.7324789131469,-58.91761765011192,-161.07663692986984,-115.77448065567562,-109.80449452462588
-96.83894259679195,-199.54921970350992,-263.3454496807899,-188.72468928929987,-137.0327988232765,-228.7525736655349,-235.0812463681802,-145.69539349796972,-86.2648085543548,-112.79914573525828
-115.95338095875778,-62.98898435089785,-162.77906415476895,-24.774034438822085,-158.48366051113578,-116.65581090150174,-324.5844824441427,-370.4750354323721,-70.09454794257616,-316.7966325339781
-121.1184846214453,-139.97887800133765,-438.21889591807326,-105.02304117906377,-139.23728276062883,-97.27826926048894,-46.04701521446994,-465.86596242617696,-120.12413798009044,-92.70420680566696
-135.3863757709638,-132.39631494182584,-303.7335225185704,-102.88224090431129,-76.93499607554642,-162.22767076225955,4.555702177520229,-130.1008555368727,-46.11773645615608,-42.20670973111677
-152.84896799596828,-110.55409988948533,-18.183667431169596,-174.09946088229964,-85.53036727196653,-174.9305751942839,-338.8446939792957,-119.68328216622295,-293.2706701969055,-182.78814165814572
-143.5631500755494,-75.66961619113496,-115.5727907643348,-312.04455724752444,-79.33544635987002,-92.17555333303159,-154.25213968496809,-66.78627861528739,-31.527377582240376,-409.72272690012
-110.59021712768696,-90.92310607935627,-272.5141943341375,-193.76644792596244,-42.812857429146206,-97.89939475153533,-141.09137241566782,-77.89665034658925,-329.1634318534917,-329.7213852695046
-331.4198742627133,-102.46300601346502,-121.4076623287097,-349.5169950809918,-196.38629598661117,-51.58846700280361,-171.7350258282146,-98.61538068741777,5.911032561705866,-363.9647371837535
-169.40060598745652,-138.78182761293615,-115.07442196709695,-77.5533454198625,-197.8610791001445,-256.4783468821256,-219.3163387322105,-265.71529912282455,-365.59931957845987,-127.92318475681992
-118.59036772802351,-94.77133305427245,-198.5930470086904,-121.26260590949654,-126.95133093090358,-103.53226826360104,-371.14899142277034,-119.21578766627489,-161.54844135880032,-443.3935530026625
-138.54501099120932,-84.61206630632516,-74.98134279881614,-85.50744265565885,-121.9102514701641,-267.0706063951512,-211.95217576259117,-334.99803394964533,-232.33842543924328,-131.13880935775785
-171.1430785726604,-152.30504513335617,-99.55015784614703,-134.2462242085397,-84.13832174381612,-78.59576632310433,-311.837224549727,-442.207056442909,-404.52410683533554,-137.71046943998917
-20.37228460080054,-30.41917426103865,-72.11676875790528,-114.93404353306342,-202.2488334036385,-197.04624366658106,-403.8924909867781,-245.54646297174637,-424.0557433908497,-67.81124172097799
-324.55234620523726,-262.3471434646655,-212.85352015078485,16.236242992730837,-97.61653069833443,-157.5137899515839,-11.315436664133088,-271.63503596254566,-233.3324418679594,-262.9238899676684
-115.25288868007725,-163.28114017934354,-194.06028261104404,-275.90998301215325,-48.78550993589468,-67.15005768904311,-204.9697496830766,-109.66472712223984,-129.74288165193855,-52.35541526109626
-140.36472301796186,-222.53596652146754,-86.30759271249491,-210.1330651872143,-253.86971285042318,-121.88649364762101,-249.59913016320607,-227.58442416096597,-111.0055989827173,-106.53679674891734
-113.03619554444319,-125.95453306621678,-331.6936072684676,-69.00180436526422,-41.297941549451984,-87.13426310321749,-178.2986768901169,-285.73165581051694,-43.39516564057047,-54.660531581788604
-362.6424870615576,-256.06035022831634,-90.90334255506082,-145.4908725518874,-159.2548846794379,-306.0786114108157,-73.40982586873491,-59.671169769348154,-198.2970462071039,-54.81214063199995
-169.32670462187247,-267.91235448106613,-234.21136060626665,-79.70189692675633,-75.3293188612576,-207.70882761501997,-21.333806333995412,-182.44852383629961,-229.002734376611,-248.47630073481244
-458.60025909401935,-46.435272959574164,-201.04005847239773,-274.5518970516159,-89.56806233495595,-553.3130143121846,-142.76598545448405,-78.61368132350371,-170.67522151835192,-123.08775950076405
-27.548408180677768,-258.29398000292224,-151.94622050839132,-255.32663632011946,-60.936643720375336,-203.97133587366926,-200.34875815076737,-83.66809162365216,-185.4257265743397,-167.5664656608982
-102.09100535184854,-291.91833098719167,-124.47294876912144,-454.38342903995385,-33.467976021976,-104.8515540641247,-297.6653301790517,-14.468907457805045,-281.3969363905687,-75.53908215467976
-173.4919780619787,-162.02351617882846,-179.63562597887534,-167.05334447247776,-110.73706649209785,-89.48339344072465,-107.16177407246528,-283.1674684805495,-175.71460555662992,-297.219871527559
-522.0415510394484,-260.3068055373752,-116.28913884362423,-69.3991870766055,-78.22053316570748,-109.38377399691798,-62.725703893158034,-226.73452038038965,-7.00143894166996,-391.4132668032251
-385.84162101013703,-112.1373529053023,-84.07769074476295,-123.58704032018187,-80.96387846585401,-197.830567512649,-19.968880362014488,-363.4750951625532,-32.0526971576829,-117.11053327575432
-54.20062775138122,-193.24198178628268,-103.2013041018389,-95.92963720118672,-72.80912754766662,-137.79577241684535,-88.72659896118608,-279.3706986875735,-25.719926061224683,-165.60446602714296
-274.41355711483595,-92.94798584516505,-440.08651870268824,-130.71696620480492,-149.08829569797462,-127.14195610842233,-70.21351249052137,-72.74529444323493,-46.580517502508606,-131.69338588958183
