Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-127.70336857899136,-124.7239734870719,-337.06266249940563,-376.9365509722433,-275.4091470548369,-61.25387304522208,-153.8751523390066,-141.78443891786355,-335.4268352733795,-156.8438010310859
-325.9597470280015,-103.62333098829998,-98.51556198346745,-140.93291768837938,-73.92978383677469,-101.20161212954069,-117.05950365730631,-92.56925173976282,-197.82270721928873,-100.3133923171639
-261.96192051005323,-247.01387839555343,-134.23847392111605,-134.02402585394154,-326.4149520735007,-158.71962311359403,-304.27563818898557,-42.49417204251961,-60.51827524893275,-170.85758917215026
-144.44463761312107,-350.386164690942,-286.9446333719912,-194.7393669207404,-220.38703510167943,-89.7877286447408,-254.17101987169968,-136.77112336501477,-455.01359911285306,-97.24296402964872
-118.04598537520502,-105.60303212533678,-188.36793150071054,-388.2737924428834,-120.28050852660627,-79.48276854190398,-65.34886287975422,-159.3201128834945,-514.2944887745855,-311.10322217157324
-135.81106011389554,-421.25182696474116,-100.59793681855825,-123.85752341755939,-332.12208787723864,-81.56527454529281,-123.31812169936941,-227.0429274942435,-529.0400267988146,-85.89350647254754
-340.6875100300371,-142.17454636260123,-381.44909493657644,-80.65590013753263,-259.5646822786846,-63.14441244748141,-134.38080670394083,-193.45187663442744,-390.34267616693177,-74.46168068333438
-195.15229681701925,-325.5365331215512,-355.64042327992786,2.849301175103818,-468.63927143626535,-233.09205653121293,-77.53836543705417,-262.9777678751189,-496.8235057788485,-109.95638044716382
-212.35883698631272,-93.26600203385804,-435.563201760536,-209.1798803382888,-118.50437350056623,-321.28169088972606,-247.84072110328563,-97.08795850349195,-496.76473224809746,-256.94447951551086
-247.7691009863181,-378.4554968022773,-313.7802818661586,-327.4633992133237,-77.7027989078316,-119.7140874647468,-99.09449557429335,-217.14474013184235,-436.50051883626367,-17.606863983542894
-63.85703270654514,-129.49857964606417,-75.4393132483979,-121.35205571024206,-421.50421645357443,-108.27928399787204,-81.96898248127759,-346.71213634867473,-352.18275042451427,-185.58511063646822
-181.34537168898544,-299.91935383734324,-231.9166543819321,-121.79447650899957,-65.69892496233156,-239.87752310937617,-185.1893953147407,-110.28703934187574,-235.04321774972973,-168.28815932220255
-138.3030158557284,-98.33772291845324,-78.76109593366567,-14.375294374147444,-172.46263120904172,-110.56844722443107,-220.21964255786799,-111.29555201482827,-376.98890806976397,-69.61744890327712
-115.27296318232058,-110.25739199353085,-372.4831023909767,-422.47739333204584,-84.8496568163658,-98.91358192932074,-127.03808771823023,-153.98201769384312,-129.7891918627914,-108.39492003084206
-129.7192674850461,-122.12014624836101,-71.62642806374704,-230.24331865306974,-188.25434134375578,-82.45112009526967,-63.7954883695452,-120.6973112903828,-125.73888571340069,-118.77853308611387
-230.4808140478141,-159.17930874901737,-67.78359864229571,-553.4766952694,-278.7261251351805,-44.89178805172875,-89.91577962937518,-182.99542042190734,-191.35543717828511,-69.35524819483595
-188.34618368481398,-111.48649099168256,-356.42912692613703,-174.5576907687041,-166.745380032071,29.98421073335312,-158.43871171989764,-142.17965683627267,-35.642752147078724,-160.33932510692583
-216.3565392903874,-96.1013047443961,-161.24404313560916,-151.34013058804828,-409.66179117964236,-520.3832583743665,-97.56973154870616,-40.25250549837514,-163.91028758552318,-31.046928881098452
-396.47402979678327,-316.90311672060113,-82.42291023060804,-225.74624556251774,-479.0753283790409,-58.2870888813994,-267.00642232046596,-206.06876881224764,-66.71508125252248,-123.73611270472612
-168.20715665057702,2.5249066486652225,-321.09120095737893,-113.00152196792638,-314.664103531,-70.8199289647106,-77.36980441223311,-108.35301149051587,-67.95077940157466,-414.0899838109158
-140.4367671484237,30.96667771213393,-199.19242508275835,-125.08551804474315,-65.29817890199782,-341.00878774644383,-372.28854287656725,-151.26644444546827,-113.80256637358548,-416.99304753950037
-545.4249311581059,-261.2708905654863,-362.57234590782286,-148.30302666970323,-83.09390881614354,-251.38252031876556,-190.40615406568912,-223.42019756731813,-103.46917538796484,-209.60916133864134
-248.9877355774306,-100.09965419436661,40.20425116760235,-394.9594021561827,-125.56685163938724,-82.72809677125773,-301.25986337394346,-57.96453406894352,-102.61159677865786,-151.95107438669478
-406.216997784134,-160.8042711148727,-62.82262421933957,-8.73428318089698,41.17607533535798,-369.0043523705843,-98.546013724381,-188.84776604577223,-77.78401228716248,-119.69266931191328
-323.68715973020176,-155.28194762690714,-345.82846794881135,-168.98784780225992,-61.365816422232854,-134.77083832083025,-238.0981053469028,-329.7103327590778,-81.68625392845925,-93.4756132175602
-57.2570155422271,-260.1462036658145,-102.92074315854941,-519.600693435711,-180.24548347838106,-68.32942227972785,-181.543968119728,-81.32977128669438,-98.77742326501065,-368.45070880524264
-70.01478623949846,-33.219075056157976,-81.81232224172274,-388.13560993186417,-20.121460874305797,-279.38175473318825,-127.35118088561877,-378.72951018491716,-85.25030902977613,-273.06192035973993
-346.15848878989846,-97.09561666978315,-310.67326117826525,-310.6767392087807,-148.89545852711709,14.070503581125024,-299.214712891103,-121.84491418137782,-85.73055669471327,-124.49704076437352
-111.5271355412866,-224.1054614158685,-112.45856356855099,-311.86083496323573,-699.9763755475583,-159.84866445699797,-174.41286544276574,-157.22409860678704,-89.21317719259358,-255.44580197204291
-198.12178355671017,-93.96493096561002,-228.62955154123898,-110.72749181153019,-238.47818012933627,-171.40132867562608,-173.1568326763774,-261.2129367076799,-178.63647822003264,-533.6591470017896
-334.022628619148,-49.41653305325415,-212.6442612262054,-224.29234190295796,-391.4379935781934,-64.93839283660384,-110.03484533065284,-169.27892535016906,-67.86924959895096,-254.58303659516608
-88.7131448902637,-211.8658164867748,-108.66623803654446,-198.81158929559862,-47.562124381642356,-171.52081885608786,-80.17757952274769,-249.74881116861468,-87.24375336391239,-104.64826548832396
-82.57347050483494,-74.30097614798535,-100.01833772477684,-126.77071749007237,-270.8852790818755,-92.5845202329748,-162.91028863095679,-65.81817514009293,-205.19662982286442,-378.84267173129666
-133.29343605759595,-213.5187981713184,-112.66011176465399,-575.7984477735338,1.3898045774381416,-57.61072758364082,-95.0737616222608,-127.65789543498754,-113.01701345496126,-162.07966774916696
-81.19501157387101,-83.33097648691583,-89.4293538626229,-140.70052659444434,-84.63346906419716,-155.21719729526183,-72.50098313325238,-193.5770632412839,-85.56437334360577,-326.69306211891706
-58.650634666392236,-95.16949199973953,-126.471459772475,-91.96832595358242,-108.67380702457471,-97.67256947399122,-67.78777330525998,-168.109723731759,-89.13369122062011,-64.93011528710588
-153.29613776467383,-120.22223844397868,-114.3837771791159,-59.53615294281304,-94.06959435297416,-158.11271375427017,-132.0218071704506,-76.61485078416305,-149.23122936005865,-372.81960926292834
-383.28189581734705,-92.75909176775365,-228.19819080045397,-498.42391721999115,-66.52231398028246,-244.77119576483537,-73.30424628474235,-94.62602376982866,-75.69198946683693,-179.78306972093176
-242.11647040970433,-177.27193724502294,-106.45185161841009,-360.30288537978345,-148.49441739452737,-108.99761997434,-141.5311133409637,-122.37859746809,-93.63321689021586,-184.83751631837637
1.9135908496472638,-153.6021936351991,-102.20232779181897,-146.55339233262526,-230.82642179656273,-268.0495657745404,-75.95145773135191,-120.75802632368593,-135.8753248530768,-146.2414363099698
-120.8882757919711,-187.64303843576482,-391.5545186155073,-58.83966095516516,-67.09628757670836,-251.53207506373766,-83.68050842687498,-118.50264142827982,-235.35097075630924,-396.6660453066782
-16.893100733233524,-99.17947605785727,-148.02234957466698,-108.00197026622843,-148.26728914288344,-316.5333195942826,-123.61662910414113,-105.60614023634491,-272.07795468232405,-172.99152216809233
-223.68506291713248,-165.83094947775533,-99.99582064522164,-55.328411396802856,-183.73043731328696,-70.25840144443477,-44.24777166947523,-114.19840911107633,-198.263679706895,-76.90625236538006
-143.23041437343616,-96.85087791432429,-215.02022435638344,-357.87232753334,-117.06048496465706,-155.3814071222597,-83.52833277489754,-111.28348710544347,-143.43383101312423,-229.409643852514
-249.39868834243174,-100.69361224050643,-108.80216559461586,-191.25011291785071,-92.62008227291057,-106.88847193630771,-7.036367122817708,-138.52410871765565,-81.93992049483178,-480.71730809011973
-126.77582865271901,-106.08758613114243,-308.4153389694204,-220.58570249810185,-113.96423582867412,-44.781288536763284,-259.3592248353833,-353.5229807054309,-108.45391405565606,-376.1352281431511
-554.0587666480333,-172.73597744323592,-128.35227974525162,-50.976244780125405,-101.13524933485432,-80.16692504631389,-61.87820473204485,-118.16741316596973,-61.06517891365927,-196.05738488669186
-83.57101905716718,-175.59015048515835,-96.3849987215748,-394.433343270653,-145.79833726728282,-86.5001100133928,-76.85649151110303,-133.28605127333918,-95.23499247654271,-126.69211001131428
-158.11839971044208,-133.24799605096857,-168.61489637660407,-185.09313233612772,-81.3282356243938,-130.6195911477023,-208.52752597310155,-388.11949675388354,29.439523229981717,-162.97511040677102
-126.3551612037759,-61.23276243753977,-141.96665633789084,-89.52643123436718,-113.03287478734161,-113.31143743419574,-189.68968261919645,-108.33456448368443,-83.46800479536816,-114.47118278831142
-197.8057647974276,-99.50010777953536,-301.77149531970935,-227.33183760508064,-84.86479376101651,-66.56237910162334,-111.68245863613593,-89.45661273858391,-238.44821729754312,-198.83862241773176
-207.28408758442902,-65.57192241145225,-197.10053530995972,-177.74210220417393,-87.82088064519453,-113.24169852262926,-81.07503267391668,-194.42451619528853,-327.80702674266513,-232.25938285106258
