Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-79.85922602893112,-83.8667485635907,-132.74506050724352,-167.49480839040706,-459.5144152203763,-69.04739964242874,-88.77995811358032,-106.15416754925657,-94.13234004809915,-81.42052903367166
-160.60000920657322,-226.0612091935925,-333.19778951473916,-130.04834065681473,-245.26967920697416,-105.95710623929315,-368.7196441195737,-242.91769999456486,-119.473980557529,-244.9138330567462
-403.0388129926944,-320.35670407400556,-128.0932227638365,-165.64975645926984,-93.86211372634232,-126.3335481259237,-218.97262366773361,-102.14522071063442,-404.0524079415443,-187.3476820967032
-75.71257606725624,-371.14643031798767,-42.332036437790784,-350.2984396177851,-348.8068059327113,-84.13088986016687,-128.29853128184106,-86.99481336774105,-79.99199364669417,-142.52344138117104
-104.77913288756955,-94.34313623256318,-311.5260553066675,-118.86257865287027,-334.327328921855,-316.56117114951115,-168.9934201545256,-85.10841503074765,-117.72471165040291,-351.9100279469418
-335.82991221387266,-144.13651389931616,-80.9147516429938,-50.34800529692026,-71.41865133527938,-227.8020353757301,-296.9924678517639,-51.59481115599969,-484.21158146049015,-309.03012881179285
-119.88369749955112,-112.60617466726131,-96.43698893456481,-181.66995096792698,-232.1846468849049,-99.79254945920626,-82.48301943966312,-103.55372695294258,-143.20731434414165,-65.76555247906967
-311.8148617130803,-139.15430290592298,-83.41050564955233,-461.900380817748,-413.65043551106896,-104.83633105804289,-484.8393752060743,-123.70926531289798,-92.4375590935214,-482.4526275381488
-130.9053900347191,-33.24069422429763,-354.7047917854411,-129.60866845825836,-199.08046821123543,12.843220052782755,-92.80412901313528,-224.92642217747903,-95.68490490959405,-130.83092234439323
-324.1769700890331,-501.39687749200334,-392.99718451688096,-265.6813847478676,-193.65746535320665,-183.2027662272004,-111.52398696718167,-133.81593226808184,-72.74788308200891,-408.3711331589981
-138.34950321080981,-68.64064546180938,-340.43772001080515,-292.7791625489544,-174.09652209590485,-282.14440435363053,-187.91167554622646,-401.4152820258156,-420.69681823625183,-88.94498087370528
-291.5281406263774,-205.16910212489995,-243.65403145451606,-221.9781533714314,-120.62936738667145,-95.71161989561446,-120.59675440914053,-158.5216025999652,-168.71537534501124,-95.80090488366075
-347.76408832406764,-129.26498208116828,-66.53117091886175,-61.6936510324355,-268.1893729551425,-35.54564358079227,-87.2927208539054,-155.97083628941635,-132.64266442517382,-339.30697327347656
-107.63709932808719,-139.60086791402225,-35.59045393177577,-110.58337830950187,-106.40509545994708,-156.84950644758715,-157.33994873988544,-92.21607974372918,-35.327512257264914,-112.67165375305717
-113.03867311433775,-110.59813905827707,-66.01716099385808,-14.918249949066421,-144.21804743531567,-151.42658610562174,-133.15278832176043,-237.96333809388858,-385.7483432251459,-203.04975091305636
-163.48839858912925,-3.7629816593646126,-297.6508207931395,-79.03919588004027,-118.92802374127888,-251.96028585411005,-112.79937278793813,-156.36812306050365,-419.68314410377457,-199.6328442778351
-245.12338382504706,-91.55358370977685,-288.99826144678775,-62.606551176472735,-66.14449522254745,-114.09471797696455,-255.8411719628776,-257.8798801338678,-275.25146514195853,-434.61640901422845
-3.568282302624965,-318.0680097847179,-334.30011182552767,-124.82341221649845,-105.97105376857675,-77.3734364143365,-438.66424044455425,-112.81138622507801,-275.3952182604678,-374.5700994781897
-154.23076710375193,-218.4024211679718,-53.606668218041136,-297.96151872413816,-578.7290252063068,-332.1938746513623,-197.9629525288245,-343.781057906163,-23.869672249523134,-241.1412744910929
-144.73527055988964,-107.58068130814493,-106.32005315116639,-317.285720845832,-132.46632593569637,-137.7794329393101,-454.26980770951155,-292.3510182725777,-152.7462782532373,-399.4302107426933
-87.02196700601175,-102.0981215402091,-105.01465456801886,-102.343589358104,-341.91028691593203,-116.29659762364844,-133.64526691866052,-113.07185078422754,-289.2558088639794,-111.5677663759324
-174.64525436049618,-144.1819200742809,-136.6782110743419,-76.89791853979048,-331.3960239072733,-58.76235650016167,-239.99381866846022,-241.86238527655343,-262.21454745131166,-134.8657001964276
-395.45866567015923,-156.14107010210785,-76.4020880030856,-196.3569109111533,-468.3838874290356,-257.3144572695776,-127.87961375229537,-111.34267437137893,-290.829573076784,-220.94612486326818
-182.2411992583849,-175.23019096462974,-86.04428158702777,-153.93624126647217,-97.17392487696111,-84.07984487421412,-143.77946029658028,4.2249446991242365,-10.28227032514799,-513.4186083686723
-379.1891600639846,-85.36100736241362,-336.91399841552266,-250.72471879518764,-570.4156030985389,-76.01340306331754,-99.34512077482293,-220.98338082271843,-115.66026973594056,-106.54943645051264
-176.9697280255143,-110.40884978424842,-217.7554516682306,-70.35316206443295,-474.55396477511533,-405.93649114671405,-149.05661498790306,-166.56813124982207,-214.59349442686687,-319.4914318496401
-259.88761617534215,-113.67433095029703,-270.5765890801904,-95.69730234617356,-146.25090303212238,-245.18597915587887,-328.9558692023058,-244.19543908417464,-104.2502586430426,-68.63931086627346
-86.84490028674514,-335.07529557886835,-141.72985371848975,-200.8930407871363,-720.1996814471067,-273.57842408440575,-102.76794836475551,-344.19575113401135,-227.38774243481168,-200.14127163440736
-304.26167298600717,-309.6299712128473,-279.6577936651679,-176.47107780944225,-297.9634326478275,-103.53010232114062,-92.9365632448894,-189.68155158810865,-150.49679173019274,-323.90793724349794
-49.53333977471796,-209.64324749076445,-185.88511365113126,-106.52087067778415,-584.2853461198713,-310.92597219623724,-166.28670694782096,-205.92817975976152,-119.12605222673531,-323.6067760171671
-114.11504356750807,-130.74882145361806,-192.13804260565303,-394.514333986968,-62.960366470758096,-148.42002116923177,-67.59294365825568,-4.392859537034596,-284.71354510469985,-611.3630185307582
-126.98685689689118,-160.64546140987648,-185.28608100233583,-59.840882757220406,-78.34744834170465,-263.67863786450357,-132.98501469632097,-237.36306247402814,-252.93161037013218,-306.30101102678225
-237.3297084399992,-106.52354700208738,-23.38616484022795,-216.32576014234314,-393.92280638698026,-354.38101312225285,-112.58437359869723,-168.26992358121532,-238.37155486164878,-95.55497563887506
-276.3577708714073,-104.6379494549918,-53.41896027706052,-161.96591832955312,-562.1953848436951,-521.1200738019893,-112.62297619658301,-311.08257231717687,-204.58884439575996,-398.1873363800483
-116.27146057887182,-96.21759842704068,9.07867103225982,-83.12091046995121,-45.99487009835609,-441.746781941317,-113.89253265970315,-280.7377363712533,-304.00596643749606,-113.52005403137352
-201.57466897571703,-147.14119530980605,-100.58100968425045,-61.97630245690418,-68.56059414238078,-254.94713430213068,-99.10051521031419,-101.18810426583914,-278.9201118684333,-136.9701038920082
-201.9099594622953,-129.34084117561974,-328.64158643015503,-334.32650218316587,-666.3502298826425,-190.2989556608117,-112.47573335698308,-159.92654758669894,-42.71038798003618,-365.11317054344164
-138.06425458358092,-119.67206465989638,-78.33867482556118,-143.10000738594874,-995.5953930983742,-206.1036487278372,-242.06725636368287,-189.90334176519664,-270.4516372397719,-247.77731688506984
-76.18258749923376,-94.88405134778878,-119.10545257965568,-157.7631933071914,-344.65102647573974,-58.54040422144042,-89.53759660828098,-228.18853211787723,-375.999738243187,-333.8248813653057
-107.1728202768316,-107.97658350163388,-79.35421181224122,-23.89173544088885,-2266.7069520977925,-110.17453737093993,-149.75203005444018,-335.6413043641229,-86.6450678507141,-392.8313473688069
-98.64011915151256,-150.1815316286789,-78.76634272127916,-129.44464304574598,-335.46815897510726,-382.93165818698805,-103.8447623230862,-329.1420886551895,-111.6674960713148,-344.71480889140764
-97.92956714459282,-98.68648525131283,-155.8184358643984,-90.66396021153605,-396.4163431322185,-34.918930488467666,-125.13956472406619,-307.7964996240329,-45.898567808958695,-301.5576724483668
-150.03060700327362,-68.93549848872107,-211.1137986603165,-165.77337509573834,-431.1968040965063,-259.9264603898106,-169.20773157807548,-42.59081864896595,-63.40399394943,-271.55305123218056
-141.27651149940797,-117.72260910799176,-84.93165086895732,-224.70339640512773,-929.8834743518103,-84.45575822711295,-193.87923689798845,-304.6219802624652,-72.59653510152232,-144.0841287691939
-124.19604846189252,-111.73682694667535,-91.03285111620136,-175.6205761408176,-437.45726457958943,-184.16079005155302,-144.16718128091313,-361.8327476398014,-158.80091263713587,-306.6577134294822
-290.7631471182333,-411.2682957072898,-145.56557666635945,-251.51165287851205,-207.77356497659423,-206.85975319384136,-96.09477537218568,-29.83386760120416,-221.06065359195378,-262.8295406563774
-53.09817704595814,-317.3228871198626,-94.23001263621639,-213.8875376464743,-60.52033192392467,-312.6899089974537,-177.95665784579626,-242.9967460591483,-25.93329445105377,-93.26586201620964
-50.45383645413328,-146.73434362921535,-62.16466545370071,-172.52850976090212,-84.70541392726156,-173.24856973923204,-191.95082090935307,-239.39127058942373,-165.07981840679105,-399.91911274532924
-113.68402831394663,-194.67786163168364,-193.0093381585557,-137.43503434808332,-8.331196029354771,-284.4817163487936,-103.3151044113448,-124.19668244951372,-57.08340112884139,-434.9584708769649
-178.21144436342215,-266.59335175245474,-177.5653402293658,-121.04781906798038,-240.01572165550724,-271.83560993047445,-226.73051680400704,-372.46253475116157,-121.09269893171884,-399.7372505914754
-90.86428145658586,-107.39846191246231,-281.56840403699624,-99.02645806317382,-833.1618688976109,-222.032357506239,-102.08981800789081,49.37022379436794,-75.87201767981448,-453.6626754262847
-154.44703114500794,-272.10597674671527,-207.27295071977352,-135.57235819226884,-147.2827916770462,-304.01659494655735,-89.44935625403676,-135.88548445792762,-136.61920811723422,-183.05030703618306
-232.28136458101892,-107.34456350960455,-32.510432839719314,-184.95659463355196,-313.2061170775469,-169.58732037166845,-71.30887554188328,-188.55720663347398,-100.0271426644142,-334.64172217804366
-228.20796723977668,-122.8655464140278,-227.7066946417582,-174.47318435247027,-258.8763389339565,-164.11254134960262,-93.8548498545619,-84.16952688336035,-78.26494294626579,-70.6332691506901
-83.0521288102095,-110.67612285007034,-135.3036562815205,-367.34098344409483,-219.18296782747672,-262.7214826981288,-275.25642393960084,-88.18919654320483,-25.010867423565458,-470.15780484930036
-100.07379257912807,-81.65353717855041,-201.58190878096798,-364.69148534336506,-403.7969012456694,-120.07302429849449,-104.08329936702498,-392.48753996685747,-150.97632430691783,-94.23515506116763
-122.914090818563,-172.08037784952268,-189.6235733185404,-126.71343816487045,-323.4093718358939,-354.5188335919676,-306.41538423191736,-363.0563620040577,-143.03390545540447,-82.34383128188175
-134.00832776580566,-74.51477790611447,-202.32402420320233,-33.605537818338675,-252.2257469179969,-111.39615064751166,-205.37066121353246,-94.62245277373023,-97.46006316811567,-50.402803189972005
-95.15850596565872,15.525403717735884,-123.70694611370523,-264.7298166466087,-421.9882147079762,-112.91076604316072,-418.031406537883,-279.5060101381498,-31.12569072820098,-179.01994056158287
-69.32237455165034,-126.36802603307375,4.284820706315685,-167.01445432914238,-108.19146123686838,-222.98698820014567,-109.13506418800594,-78.73028403510214,-38.338661237395016,-147.6334500889742
-111.21047030354923,-74.34072804221479,-127.26476712508874,-241.11046776265076,-70.3655143508804,-78.11685338231138,-60.918559314508386,-134.4682862297361,-42.20727829313866,-73.85877260951588
-59.77158193995646,-258.3033975832135,-136.42491111992194,-16.122572306293208,-165.00738468035496,-106.96585155035339,-67.41075135103587,-84.0740375012712,-36.4294141167579,-289.24658223478525
-164.62277002003253,-143.24817548440473,-34.475802257407224,-96.9182893301718,-335.9803476860451,-241.0442961484213,-269.6735515268084,-107.472724737068,-59.101580809049615,-271.8963829304501
-220.25966934938265,-125.98934832700107,-153.886112590126,-179.35864745832217,-210.8040200621336,-341.4132881460957,-93.97911282838498,-107.64338274385855,2.4343906712523875,-281.0040977825064
-62.252818928695476,-109.92203189525972,-69.03097018432845,-198.38220892430928,-227.5228803725133,-89.9320930762039,-70.66208140746721,-470.1038102842843,-22.95439729965814,-234.7312804103917
-105.29041424233903,-349.7973258047762,-71.33648987669478,-69.25014200985078,-117.69494732670886,-116.51568853457826,-190.63821832739532,-153.81921456792747,18.556754396112694,-210.93387820250655
-62.007663948938195,-175.9782955417291,-250.53680877008267,-253.22180806560038,-22.3374422464952,-45.25434414397638,-62.35318977976771,-358.05376191220205,-242.48468799605735,-88.75182534213339
-94.2770857266795,-111.39796627771595,-125.86784458785009,-63.709563432889865,-201.999091831746,-336.48186818033776,-41.39846248921458,-88.12287576651383,-112.05450373021017,-198.1035116265548
