Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
-149.47995030548375,-81.31928832490726,-80.85552373644776,-76.39134373530234,-84.81142868761788,-91.16300570265079,-129.8142367810582,-103.80669699957228,-222.42876656376393,-164.98406678276564
-108.30708274276012,-195.06938273286565,-301.85619016730413,-124.55598737035305,-123.32154445126746,-111.68168897420955,-137.1361259179218,-275.6109692745419,-135.796106884471,-243.82707788047006
-119.2528896339058,-162.60021954093423,-128.4315750197375,-410.15595535915367,-82.517220377005,-112.92496599709551,-107.27565534695819,-544.204010356649,-37.33752353847704,-360.1481621057037
-181.41367648881874,-183.56579907448872,-133.17104633937086,-199.90243976576286,-254.51605671275107,-113.18285000627729,-248.17119025593726,-331.62741810255545,-101.80795541871187,-189.89181670733348
-312.8301130882925,-109.746462750415,-83.58455048761425,-368.02648488122765,37.799309074498936,-140.35904845226744,-265.1659495031515,-381.45433361498044,-435.39733839480886,-48.13323876192415
-103.59858121713812,-325.52243118462155,-216.379690503735,-117.05544800116702,-53.92658144402418,-237.88028053510038,-167.93653021385614,-78.98207257737751,-496.1402168855541,-387.4079302213648
-401.20514381881054,-86.23491912183066,-73.84366197673144,-135.36597875569265,-190.08393783445376,-210.34070090453517,-359.1619841670482,-209.26784785103587,-270.92319733355873,-297.68515421167984
-125.4499708817411,-101.31019662819973,-116.16320781845685,-299.36183640820417,-88.33904485030955,-134.89454303978692,-160.8262293047189,-493.36545513435817,-551.4503845988262,-373.9243867605191
-450.48349766006464,-103.71443088673998,-67.06906832304878,-63.06351080105391,-158.5061816115429,-180.4732832923664,-80.35146273969924,-133.89415361872267,-518.9477340524436,-417.2187369214613
-118.3107012994347,-176.27253421299224,-117.62336846672034,-177.13321581209652,-278.1802699745235,-94.10205407729273,-252.90129038537015,-332.3126355926953,-558.4995279350262,-219.0790023930589
-327.6871034660153,-207.75096441528507,-95.5407851057874,-86.43857201265551,-339.4315858413189,-92.66046928448841,-250.98094469231134,-242.24596450004432,-361.28110551457416,-548.8371255924055
-250.244269516972,-127.41067755358195,-319.65494723195036,-91.07396586544,-84.04389538984232,-64.4463600093559,-381.2576846815578,-110.37209027843531,-220.2148697509833,-322.2380740803874
-100.89187786419713,-319.3568383345629,-141.87925558098826,-148.69009683109016,-74.2830770942056,-63.92613866509449,-226.34208800289312,-97.6103682876441,-299.92827658833187,-91.02508366679571
-103.90717518085967,-121.86973561989863,-69.73960652126225,-358.7632540421808,-70.4248835080743,-91.52019045892746,-128.1856451201819,-138.4266890759728,-358.8706132781013,-96.96925420517509
-96.460989167863,-116.2491230666885,-195.69695815432323,12.46463260665277,-255.4851399273393,-80.09417593395136,-147.68446708864502,-106.39170917783218,-116.79037545070322,-128.4475500428505
-88.67738022335803,-177.1970138448166,-59.30994603497483,-132.9201284265815,-80.63761130798858,-91.94212199607318,-75.93755999971486,-215.59381034129666,-81.0934755221714,-380.8518134341076
-358.75778333948,-406.82128965098286,-47.50721059514996,-437.68228482732746,-122.28714737252756,-236.86739405578368,-127.32150841912505,-117.76959163648917,-121.29689827313398,-65.39508239612111
-111.36399973933808,-313.1207794879665,-280.40192564455674,-60.84036450518103,-150.944368047484,-218.17555831361716,-130.69385722635212,-221.33294601272766,-12.361847450672727,-89.98147012102172
-86.14285889703382,-80.22568001607925,-105.81945976342213,-232.76510947458752,-111.12414029722811,-277.62618949443765,-363.8654463785029,-147.74220838655876,-95.75424128760987,-272.0172104178655
-50.355876825365456,-242.7810483383719,21.414211120763788,-89.35902149910649,-164.4422352676695,-146.53064667637574,-239.46016850662278,-123.43311345532189,-82.67403876664335,-338.78088773775505
-41.781216245480806,-234.89958614875292,-81.46595492224898,-93.63020202014297,-31.848790630300755,-328.01568417435146,-46.079069232604,-104.733916766659,-68.07053029689305,-152.32384502813653
-57.64502440416405,-185.76564127168382,-54.76781432457143,-136.11370429574362,-234.85424361983374,-52.4706968869021,-58.00734869548519,-160.482491890383,-103.32250959160311,-69.71181011649243
-24.253036593551315,-129.33935891051118,-63.5064232799375,-173.32786486714443,-96.65947746716263,-334.92132316582445,-117.89137810117747,-125.35409011929549,-80.29081097042618,66.680013501361
-560.847739126077,-63.154015112427835,-413.2203044394406,-74.28179543527864,-247.12046489703937,-181.18575314233087,-82.47193625236756,-132.55550965423242,-90.26810726540654,-405.2627074303472
-199.74749386596818,-171.35107045088375,-26.247728229819785,-155.4050124537508,-120.13188975469438,-98.73785697007146,-119.38105500008416,-201.85632380736973,-79.07089005734183,-112.40762515032227
-202.26203419390043,-134.90185729471716,-310.8454531246594,-111.82540917035648,-232.05167862565168,-88.14885221804741,-34.80408089407966,-108.93789337908245,-81.93612445270172,-348.71640103441086
-348.4860812592845,-131.6251004592155,-116.31515390451708,-168.67195013080783,-62.82359718905309,-131.08601276325942,-188.24629136765077,-135.17902269598176,-242.44024370548925,-120.7738625821194
-478.79686240361303,-208.89361743320268,-48.70241439520494,-164.80014882693456,-36.15167285590785,-108.15041104269149,-94.93985823767596,-139.5239360822321,-321.09273891450607,-128.99708931352276
-203.53320758094043,-284.9678470625638,-295.6589266480371,-106.73752983752716,-272.8390918915909,-150.82859424209647,-318.76100495340233,-128.56429203932137,-81.39775502841879,-237.55838920329205
-135.6026804610766,-11.125208973642728,-106.12386905037205,-51.190190060909124,-82.22821103425325,-102.02691225485779,-75.09076903789037,-151.5290957159047,-116.58534608402178,-101.58917980864831
-104.90061253256883,-109.1603081718935,-174.92936663868306,-355.57959341735506,-205.47594652261057,-116.30490394824338,-135.66823475310488,-134.9444140054586,-137.67032910671438,-367.7631618490156
-91.31460909392412,-129.15599153454545,-102.3374074814955,-263.0134007413903,-88.77345422997317,-228.17679630926634,-373.8717156160442,-128.5814664907598,-96.83767571966612,-132.74864211364343
-74.3082650254107,-131.7147921616042,-475.4736358358779,-293.825264953319,-219.73967186406728,-82.75165833683205,-94.51780384503081,-147.214488490414,-93.05112096766592,-115.28251912436554
-437.38648479261514,-147.25261338837083,-100.12763640599862,-321.326355308797,-90.5879661604003,-386.57729791000656,-188.6656488300877,-96.68717954767371,-53.266630451506344,-248.54304721300184
-360.45839149201845,-21.49090370256316,-384.40008555601463,-1.3312492523937465,-78.83216140559384,-182.36827538673572,-182.4457402088238,-185.62899357823062,-74.70413512424727,-321.37249757513075
-61.7493492505802,-223.19667621561393,-60.933739576505246,-67.48907511137372,-88.08040233758544,-169.73560739270698,-104.22776722868215,-113.44345356845886,0.5045547151262042,-315.56419515376433
-107.33940282329789,-286.0962143375059,-10.45704091198958,-89.94161487224513,-200.11278948784857,-257.55236163728046,-171.12168301997377,-129.98061114947762,-122.70329197803969,-527.1024789557385
-96.99309010662287,-89.14306833921326,-155.0871913752507,-294.6029165822955,-253.45240901132243,0.2628357945730926,-184.41764867718365,-224.70606034371576,-176.21062050184048,-98.46869374459196
-387.1674318432159,-331.5502017450315,-135.6312966449625,-157.7902214332575,-345.0674310503232,-374.9780874972807,-4.6892271360120645,-249.00722091882872,-92.17117407995723,-50.47392370972791
-89.5580287196274,-362.3342305751966,-103.73260908835778,-167.43071976870363,-78.75955672782048,-91.6348524001283,-187.3744019274218,-146.04907304765263,-91.3471829458553,-109.36781475566701
-91.9826362599551,-125.12316518967495,-124.78918385380136,-205.25997676558438,-189.26532936787274,-208.27604968914198,-42.37914786897177,-232.265743791463,5.253387828860127,-123.46003970653395
-175.76880018530613,-252.3015518948978,-101.37076204854093,-131.35054198189997,-31.138157348326374,-146.69793214721338,-592.2197859375565,-210.0211097184427,-25.87189467453456,-357.7485592654653
-110.63884326884065,-118.30371128412834,-87.83193468701634,-93.35324371383669,-179.3027890960081,-212.59661500167684,-113.08213264425594,-281.37801756353656,-117.71412741202178,-87.89149671651384
-222.07991342668566,-63.153024762746334,-55.70003395384777,-132.957807072271,-275.9123271854635,-551.0515190202534,-301.4843830800799,-96.87048470403434,-89.70259732333777,-182.6465433143287
-144.64521512078454,-286.6661996683588,-127.02900853551631,-97.53083275671715,-201.8011150960373,-279.36748745327134,-41.862067187490524,-155.24260492488577,-204.12962075837402,-100.7986155723942
-104.25967576719377,-403.3173283729892,-183.88471616877217,-126.15569317090775,-127.85848708389311,-237.04178620681483,-394.8693015707489,-158.4258402881096,-137.66871339259467,-183.53678584105967
-363.70854302456723,-470.8426675375801,-96.86180073305572,-99.31298408677132,-289.9143681611212,-186.9478531237247,-67.31178804788206,-120.36438224571023,-89.77906283830588,-49.514474771846636
-199.35716265840819,-90.08369772421665,-100.2244303800814,-273.6826558675144,-270.6201086976394,-260.46319559008225,-82.434766207167,-115.12043075546563,-107.94775814047408,-145.5096613866009
-135.45903793494057,-77.2562956546547,-146.34301400113645,-247.38959815806984,-296.8222003814659,-83.64282144870063,-89.48321524002343,-232.60040250179225,-176.98899216313296,-90.18327779420116
-337.87905248362665,-130.75410628095344,45.50184062561482,-155.72220545038357,-185.16779561219718,-98.17485752070063,-111.21552818525981,-218.89596487324357,-123.76775014330335,-112.533432207428
-289.4116430718515,-103.69865420097645,-212.32233274095955,-113.66034612036798,-134.66349370881775,-112.31262084749015,-105.05811422878399,-142.42636892746157,-71.00756629685738,-127.10916743900557
-384.7108987146238,-328.72523826501293,-55.412112513709744,-101.05692069434768,-90.19917698995435,-146.52079072499708,-51.770057008334945,-104.05844553646149,-38.091748356583,-108.03180482760894
-399.97073765563084,-82.38184400688992,-263.4467104979292,-107.30846679772574,-112.99679429005103,-158.0170007886398,-98.59421080012272,-89.33206483087955,-127.98363657706454,-162.97783725963768
-402.0595573292615,-40.70460337416131,-76.98217099615252,-81.89583096062972,-237.8643362755554,-42.60232353611872,-76.14538688205832,-143.0780414111032,-56.940034286267945,-176.20009717416139
-137.50649641718468,-152.304301566505,-49.58665490667332,-198.30239159471546,-69.81326476230919,-159.53284213692737,-24.140830383465186,-176.0909344692282,-48.19950103363104,-115.89179196955044
-412.7925234742878,-86.95933659782628,-66.38097983186344,-273.6441026281732,-86.62514228662471,-133.53162466325844,-98.98793703216522,-95.23554853354828,-3.8028282207143747,-62.85337274485624
-176.0459460952268,-132.37216160601372,-98.87758067677983,-58.78665731508462,-263.9434858861515,-139.40205799486768,43.43827357802277,-133.41916888412715,-51.324863683556,-186.47582621252553
-212.7696567812605,-98.58187023154349,-17.996233015261723,-163.30536132817872,-15.757557762356754,-443.2737834385784,-82.37954113761197,-125.28925841361124,-153.7749836632072,-214.1172959312781
