Episode,Agent 8
1.0,9.8
2.0,7.2
3.0,9.6
4.0,13.6
5.0,7.2
6.0,6.6
7.0,11.4
8.0,11.0
9.0,8.4
10.0,11.2
11.0,9.6
12.0,3.8
13.0,9.0
14.0,8.2
15.0,9.6
16.0,4.4
17.0,6.4
18.0,11.0
19.0,8.2
20.0,8.6
21.0,11.6
22.0,7.6
23.0,8.0
24.0,5.0
25.0,12.0
26.0,9.4
27.0,7.0
28.0,7.4
29.0,8.0
30.0,5.8
31.0,9.2
32.0,13.0
33.0,7.4
34.0,7.6
35.0,7.0
36.0,5.6
37.0,12.2
38.0,8.6
39.0,6.6
40.0,11.6
41.0,7.0
42.0,9.6
43.0,5.0
44.0,6.6
45.0,5.6
46.0,6.4
47.0,8.8
48.0,6.0
49.0,9.8
50.0,8.6
51.0,10.8
52.0,5.8
53.0,7.4
54.0,5.8
55.0,7.6
56.0,10.2
57.0,5.2
58.0,8.6
59.0,5.6
60.0,7.0
61.0,12.0
62.0,9.4
63.0,8.0
64.0,13.0
65.0,6.0
66.0,11.0
67.0,10.6
68.0,6.8
69.0,13.0
70.0,6.0
71.0,10.2
72.0,8.0
73.0,7.4
74.0,10.0
75.0,5.6
76.0,5.2
77.0,8.2
78.0,6.0
79.0,8.0
80.0,6.6
81.0,5.0
82.0,14.2
83.0,9.2
84.0,9.8
85.0,8.4
86.0,11.4
87.0,10.6
88.0,8.2
89.0,10.6
90.0,10.8
91.0,9.2
92.0,8.4
93.0,6.4
94.0,12.6
95.0,7.4
96.0,8.6
97.0,8.4
98.0,9.0
99.0,8.4
100.0,6.2
101.0,8.8
102.0,8.2
103.0,7.0
104.0,13.0
105.0,8.0
106.0,8.0
107.0,7.8
108.0,6.6
109.0,8.6
110.0,11.6
111.0,9.6
112.0,9.6
113.0,9.6
114.0,11.8
115.0,10.2
116.0,9.6
117.0,6.4
118.0,5.0
119.0,16.6
120.0,9.6
121.0,6.4
122.0,7.8
123.0,8.8
124.0,12.2
125.0,7.4
126.0,10.4
127.0,13.2
128.0,8.6
129.0,11.8
130.0,7.0
131.0,7.0
132.0,8.6
133.0,9.2
134.0,9.8
135.0,7.2
136.0,8.0
137.0,10.4
138.0,7.0
139.0,9.4
140.0,9.2
141.0,7.0
142.0,12.8
143.0,9.0
144.0,9.6
145.0,7.8
146.0,6.2
147.0,6.2
148.0,12.6
149.0,6.8
150.0,6.2
151.0,7.4
152.0,6.6
153.0,6.2
154.0,7.8
155.0,8.4
156.0,10.2
157.0,5.4
158.0,9.2
159.0,9.2
160.0,12.0
161.0,8.4
162.0,9.2
163.0,8.6
164.0,5.4
165.0,8.2
166.0,8.2
167.0,10.6
168.0,10.6
169.0,9.0
170.0,8.2
171.0,9.8
172.0,13.6
173.0,8.0
174.0,9.4
175.0,6.0
176.0,9.4
177.0,13.8
178.0,11.2
179.0,9.0
180.0,10.2
181.0,9.6
182.0,9.8
183.0,7.0
184.0,9.4
185.0,15.6
186.0,11.8
187.0,10.0
188.0,8.8
189.0,8.8
190.0,8.4
191.0,10.4
192.0,8.0
193.0,11.6
194.0,10.0
195.0,8.8
196.0,9.0
197.0,8.0
198.0,6.8
199.0,13.4
200.0,10.8
201.0,14.0
202.0,8.0
203.0,9.2
204.0,7.8
205.0,6.2
206.0,11.0
207.0,6.4
208.0,9.2
209.0,9.0
210.0,9.4
211.0,7.0
212.0,10.0
213.0,13.4
214.0,12.8
215.0,5.8
216.0,12.2
217.0,14.0
218.0,8.0
219.0,13.6
220.0,9.2
221.0,11.8
222.0,13.2
223.0,6.4
224.0,10.2
225.0,9.6
226.0,9.2
227.0,8.8
228.0,12.6
229.0,11.8
230.0,7.0
231.0,6.4
232.0,12.2
233.0,9.0
234.0,7.0
235.0,6.2
236.0,9.8
237.0,10.2
238.0,10.8
239.0,11.6
240.0,7.0
241.0,8.6
242.0,12.2
243.0,8.6
244.0,10.0
245.0,10.6
246.0,5.6
247.0,9.0
248.0,7.8
249.0,5.4
250.0,9.8
251.0,10.2
252.0,14.0
253.0,14.0
254.0,8.6
255.0,8.0
256.0,8.4
257.0,5.0
258.0,6.6
259.0,8.0
260.0,6.8
261.0,7.2
262.0,9.8
263.0,7.2
264.0,8.0
265.0,10.6
266.0,8.0
267.0,12.4
268.0,7.0
269.0,14.4
270.0,13.4
271.0,10.8
272.0,8.2
273.0,8.2
274.0,12.0
275.0,9.8
276.0,11.6
277.0,11.4
278.0,11.8
279.0,7.4
280.0,13.0
281.0,11.8
282.0,7.8
283.0,8.0
284.0,8.8
285.0,7.6
286.0,11.0
287.0,11.8
288.0,9.0
289.0,11.6
290.0,8.6
291.0,11.4
292.0,10.2
293.0,12.0
294.0,12.0
295.0,9.0
296.0,14.2
297.0,14.8
298.0,7.8
299.0,14.2
300.0,8.2
301.0,13.4
302.0,13.4
303.0,9.8
304.0,12.2
305.0,6.2
306.0,9.2
307.0,10.4
308.0,8.6
309.0,17.2
310.0,9.6
311.0,10.2
312.0,8.0
313.0,7.6
314.0,12.4
315.0,13.6
316.0,12.8
317.0,10.2
318.0,10.4
319.0,9.0
320.0,16.2
321.0,8.6
322.0,11.8
323.0,8.2
324.0,13.0
325.0,11.6
326.0,16.0
327.0,6.4
328.0,9.0
329.0,11.0
330.0,19.4
331.0,11.2
332.0,8.6
333.0,14.2
334.0,9.2
335.0,10.6
336.0,11.0
337.0,8.8
338.0,14.6
339.0,12.4
340.0,7.8
341.0,13.6
342.0,13.4
343.0,10.4
344.0,8.4
345.0,10.6
346.0,13.6
347.0,9.8
348.0,14.6
349.0,7.6
350.0,11.8
351.0,12.0
352.0,11.8
353.0,16.4
354.0,8.0
355.0,11.8
356.0,10.8
357.0,11.6
358.0,6.4
359.0,8.8
360.0,7.6
361.0,12.6
362.0,9.6
363.0,14.0
364.0,20.4
365.0,17.8
366.0,14.8
367.0,10.0
368.0,11.0
369.0,12.0
370.0,13.0
371.0,7.8
372.0,13.4
373.0,15.4
374.0,11.2
375.0,16.6
376.0,9.8
377.0,12.2
378.0,10.0
379.0,8.2
380.0,10.8
381.0,9.0
382.0,11.8
383.0,10.8
384.0,8.4
385.0,18.2
386.0,15.2
387.0,7.8
388.0,8.2
389.0,9.6
390.0,21.0
391.0,9.8
392.0,10.8
393.0,10.2
394.0,12.0
395.0,8.8
396.0,13.4
397.0,10.4
398.0,11.2
399.0,8.2
400.0,12.0
401.0,11.2
402.0,9.8
403.0,15.8
404.0,12.0
405.0,10.8
406.0,8.8
407.0,12.0
408.0,13.6
409.0,9.4
410.0,12.8
411.0,11.8
412.0,13.0
413.0,14.4
414.0,13.4
415.0,14.0
416.0,18.2
417.0,12.8
418.0,14.8
419.0,11.2
420.0,19.8
421.0,12.8
422.0,11.4
423.0,10.2
424.0,13.2
425.0,12.6
426.0,16.2
427.0,9.2
428.0,12.4
429.0,10.2
430.0,12.4
431.0,15.2
432.0,13.6
433.0,12.0
434.0,11.4
435.0,6.8
436.0,20.2
437.0,13.0
438.0,10.0
439.0,14.2
440.0,12.2
441.0,11.8
442.0,10.2
443.0,8.6
444.0,12.8
445.0,13.6
446.0,11.2
447.0,8.8
448.0,11.0
449.0,9.4
450.0,10.4
451.0,14.0
452.0,11.8
453.0,8.4
454.0,17.4
455.0,13.2
456.0,16.8
457.0,10.0
458.0,11.0
459.0,10.6
460.0,8.4
461.0,8.8
462.0,8.0
463.0,10.6
464.0,12.2
465.0,16.2
466.0,16.0
467.0,12.4
468.0,16.0
469.0,9.0
470.0,16.8
471.0,16.2
472.0,9.2
473.0,8.6
474.0,11.8
475.0,9.8
476.0,11.4
477.0,9.0
478.0,11.4
479.0,12.0
480.0,11.6
481.0,9.6
482.0,14.8
483.0,7.2
484.0,20.0
485.0,11.4
486.0,17.4
487.0,10.0
488.0,17.8
489.0,10.6
490.0,10.2
491.0,13.4
492.0,16.2
493.0,12.8
494.0,7.6
495.0,11.0
496.0,13.2
497.0,21.8
498.0,13.0
499.0,6.6
500.0,11.0
501.0,12.8
502.0,9.4
503.0,9.8
504.0,11.4
505.0,13.6
506.0,12.6
507.0,9.4
508.0,10.4
509.0,11.2
510.0,15.0
511.0,11.8
512.0,10.4
513.0,18.2
514.0,11.4
515.0,17.4
516.0,12.4
517.0,16.2
518.0,15.6
519.0,11.8
520.0,17.0
521.0,14.4
522.0,15.2
523.0,13.2
524.0,10.2
525.0,13.4
526.0,11.6
527.0,11.6
528.0,11.8
529.0,11.2
530.0,12.0
531.0,10.4
532.0,23.8
533.0,14.8
534.0,18.0
535.0,16.6
536.0,6.2
537.0,11.0
538.0,11.8
539.0,14.0
540.0,16.0
541.0,6.6
542.0,15.6
543.0,22.0
544.0,11.4
545.0,14.0
546.0,8.4
547.0,16.4
548.0,14.6
549.0,13.8
550.0,19.4
551.0,14.2
552.0,16.0
553.0,10.4
554.0,14.6
555.0,11.6
556.0,16.0
557.0,10.2
558.0,16.0
559.0,9.2
560.0,15.0
561.0,19.8
562.0,14.2
563.0,10.0
564.0,14.8
565.0,14.8
566.0,19.8
567.0,15.6
568.0,17.0
569.0,12.4
570.0,11.6
571.0,12.0
572.0,13.6
573.0,10.4
574.0,10.8
575.0,9.2
576.0,23.0
577.0,13.6
578.0,16.4
579.0,16.8
580.0,9.2
581.0,9.6
582.0,11.6
583.0,24.0
584.0,8.6
585.0,9.2
586.0,11.2
587.0,8.4
588.0,12.2
589.0,15.4
590.0,14.6
591.0,15.0
592.0,11.4
593.0,18.8
594.0,11.6
595.0,14.8
596.0,13.2
597.0,13.8
598.0,7.4
599.0,12.2
600.0,19.6
601.0,16.0
602.0,22.4
603.0,12.6
604.0,14.0
605.0,16.4
606.0,13.8
607.0,13.2
608.0,8.2
609.0,15.0
610.0,11.6
611.0,12.4
612.0,15.0
613.0,7.6
614.0,15.2
615.0,12.0
616.0,16.0
617.0,16.2
618.0,20.4
619.0,15.4
620.0,9.6
621.0,12.8
622.0,18.2
623.0,15.8
624.0,14.4
625.0,19.2
626.0,10.2
627.0,13.6
628.0,12.4
629.0,14.6
