Agent 1,Agent 2,Agent 3,Agent 4,Agent 5,Agent 6,Agent 7,Agent 8,Agent 9,Agent 10
5.8,8.0,10.4,8.6,4.2,8.8,6.2,9.8,6.2,10.0
10.2,9.2,8.2,6.0,8.4,12.8,11.4,7.2,8.0,9.2
7.4,7.4,8.6,8.8,7.6,5.4,5.8,9.6,4.8,8.6
6.2,9.2,6.2,8.6,5.8,9.4,8.0,13.6,8.2,8.4
11.0,9.0,14.4,7.4,8.8,6.2,11.0,7.2,5.6,7.8
8.6,10.8,6.6,9.2,10.0,6.0,8.6,6.6,6.0,9.8
10.0,11.4,12.6,9.6,4.8,5.0,7.8,11.4,8.4,10.0
7.8,7.0,9.4,10.2,7.0,5.8,6.6,11.0,7.4,10.0
10.0,6.0,11.8,10.6,6.4,11.2,8.2,8.4,4.6,5.8
10.4,9.4,11.2,5.2,8.8,7.6,7.0,11.2,7.0,6.0
10.0,11.2,6.6,12.8,8.2,7.6,4.6,9.6,5.6,8.6
8.4,7.0,6.2,7.0,13.2,8.6,10.0,3.8,14.4,6.4
9.2,6.6,9.2,9.0,12.2,9.4,8.4,9.0,11.2,8.8
8.8,9.6,5.6,7.8,8.0,9.6,13.4,8.2,4.8,11.8
5.4,5.6,9.2,5.8,6.0,8.6,9.2,9.6,8.4,13.2
11.4,7.0,6.8,9.4,7.2,5.8,9.2,4.4,11.2,8.0
8.4,11.2,5.6,9.2,5.6,6.0,6.4,6.4,11.8,9.6
6.8,9.2,7.0,6.8,6.8,10.4,6.0,11.0,10.0,6.6
11.0,8.2,5.2,8.8,9.4,11.0,10.4,8.2,11.6,10.4
11.4,6.0,6.8,8.0,8.8,12.0,7.4,8.6,13.4,9.2
8.2,11.0,5.6,13.2,8.4,10.2,7.4,11.6,9.6,7.6
7.6,4.4,5.4,8.8,9.2,7.0,8.4,7.6,8.2,8.4
8.6,9.0,6.4,7.8,8.4,8.8,13.2,8.0,6.8,14.2
9.0,9.0,8.4,7.4,16.6,10.0,11.0,5.0,7.6,7.4
9.6,6.2,8.2,7.0,7.4,12.2,10.6,12.0,7.4,17.8
6.2,6.8,7.0,6.6,7.8,7.0,12.6,9.4,8.6,3.6
8.6,9.0,8.8,9.6,7.4,6.2,9.4,7.0,6.0,8.4
9.0,7.4,6.8,10.2,8.2,5.0,9.2,7.4,6.8,6.8
5.6,9.6,13.2,10.4,7.6,8.8,6.4,8.0,6.0,7.8
8.2,7.0,8.4,6.0,10.0,7.8,6.0,5.8,11.4,6.0
5.6,6.2,9.0,9.2,10.8,7.0,6.8,9.2,6.0,7.6
13.4,7.6,8.6,11.2,8.0,7.2,9.2,13.0,11.8,5.6
7.2,5.2,12.0,12.8,6.6,7.6,8.0,7.4,14.4,9.0
6.4,10.2,6.6,10.2,8.0,5.6,8.8,7.6,7.4,10.0
13.6,8.2,13.8,7.0,7.0,7.4,9.0,7.0,7.6,6.2
12.2,9.2,7.8,8.6,5.8,9.2,10.8,5.6,5.6,8.2
8.4,9.2,8.0,9.0,5.6,6.8,8.2,12.2,10.8,5.6
5.8,8.8,6.8,8.6,9.4,8.0,8.6,8.6,12.0,5.6
7.4,6.6,7.2,12.4,8.2,7.8,10.0,6.6,10.8,6.6
7.8,6.0,16.6,9.6,10.4,6.6,5.6,11.6,9.4,8.6
7.2,6.6,9.2,10.6,9.4,11.2,6.4,7.0,4.4,8.4
8.2,6.2,5.0,8.2,6.6,6.2,6.2,9.6,7.0,8.4
6.0,5.2,12.0,5.6,7.6,7.4,13.6,5.0,7.8,8.4
14.2,7.8,8.8,6.2,10.2,6.6,12.2,6.6,10.0,9.4
12.6,12.4,7.2,7.2,8.8,8.2,9.4,5.6,8.2,10.6
9.2,5.8,9.2,10.8,10.6,12.0,8.0,6.4,7.6,9.4
8.6,10.4,9.0,6.8,6.2,7.4,9.8,8.8,10.0,10.0
7.2,9.4,8.6,4.4,7.0,5.4,7.6,6.0,11.0,9.4
8.4,6.2,8.4,4.6,12.4,8.0,8.2,9.8,9.6,7.0
9.2,7.2,7.6,9.4,7.6,8.0,14.6,8.6,11.0,8.2
8.6,7.2,8.8,15.4,7.2,5.6,8.6,10.8,16.4,9.4
10.8,10.0,7.4,12.0,7.8,6.2,8.6,5.8,11.2,8.6
8.2,8.0,10.4,5.8,11.8,6.2,7.8,7.4,6.8,9.2
7.0,4.4,7.8,5.0,6.0,6.2,6.8,5.8,7.4,13.0
8.2,6.4,5.8,7.4,9.6,9.4,5.0,7.6,7.6,5.2
6.2,7.6,9.8,9.6,10.0,6.2,6.0,10.2,6.4,8.8
8.2,5.2,11.0,10.0,5.8,9.2,11.6,5.2,6.8,16.2
8.6,8.0,15.4,11.8,5.6,9.8,9.0,8.6,9.0,10.4
7.8,5.4,10.4,6.8,6.8,6.2,8.4,5.6,9.8,9.6
9.2,9.0,8.8,10.0,7.6,10.0,9.0,7.0,9.0,8.4
5.4,7.2,7.0,8.0,7.6,8.4,6.0,12.0,6.8,11.4
10.6,13.0,8.6,10.2,9.8,10.8,14.0,9.4,9.2,5.4
6.4,8.2,8.6,8.4,13.2,8.2,8.0,8.0,8.2,13.2
13.8,9.4,11.4,8.8,7.8,12.2,11.6,13.0,7.6,9.4
7.6,9.0,11.6,8.4,10.6,8.2,12.8,6.0,8.0,9.0
6.6,8.4,7.6,7.8,7.8,6.0,5.6,11.0,10.0,6.6
8.8,6.4,11.8,8.0,7.8,8.0,6.4,10.6,9.6,7.8
5.2,5.4,6.2,6.2,9.4,6.6,9.6,6.8,11.2,5.2
11.0,9.4,13.2,8.0,6.2,11.2,7.4,13.0,7.2,6.8
5.8,7.2,8.2,12.2,8.8,9.2,12.4,6.0,12.2,8.4
7.4,6.8,8.2,10.4,6.6,7.2,11.6,10.2,10.2,6.8
8.4,11.4,7.2,8.4,5.2,10.6,10.8,8.0,8.6,9.2
7.0,6.4,9.4,9.0,10.8,12.8,9.2,7.4,7.6,12.0
9.6,10.2,6.0,11.4,7.4,9.6,6.0,10.0,8.0,8.0
9.6,9.4,10.6,6.2,10.8,9.0,11.2,5.6,6.2,5.8
11.2,7.0,12.0,11.2,8.0,7.2,15.6,5.2,14.4,8.2
9.0,6.2,10.6,9.0,9.8,10.4,13.2,8.2,8.2,5.8
7.8,10.2,6.8,11.6,11.8,11.4,9.6,6.0,10.8,14.0
6.2,8.0,6.4,6.6,6.4,9.2,7.4,8.0,6.4,7.6
7.4,9.2,9.6,5.0,6.6,7.8,6.4,6.6,12.4,7.8
5.4,5.8,14.4,12.0,7.4,9.6,9.0,5.0,9.8,8.2
7.0,7.0,9.8,8.0,12.4,8.0,7.8,14.2,7.8,12.6
7.2,8.8,8.6,8.8,9.8,9.6,12.0,9.2,11.2,9.8
7.0,10.0,10.0,7.8,6.6,6.8,8.4,9.8,11.2,7.6
6.6,7.0,9.4,10.2,7.8,13.0,10.2,8.4,19.2,8.6
9.6,7.4,9.6,6.2,5.4,8.4,8.4,11.4,13.6,7.0
8.2,6.6,9.2,7.2,12.2,7.6,8.0,10.6,13.2,7.8
9.6,12.0,12.2,12.0,7.6,10.2,10.0,8.2,5.8,8.0
7.4,13.6,13.0,10.0,8.0,11.0,11.2,10.6,9.8,9.4
11.4,7.0,11.6,11.8,5.8,6.6,9.0,10.8,15.4,5.6
7.4,10.2,9.2,6.6,10.2,8.2,8.2,9.2,6.8,7.4
6.4,6.4,14.8,7.0,17.0,11.6,10.4,8.4,8.6,7.2
8.8,9.8,10.8,7.8,7.6,8.0,7.8,6.4,10.0,6.4
6.8,7.2,8.2,6.8,8.6,13.4,8.0,12.6,8.2,8.4
8.8,15.2,11.0,12.2,10.0,8.0,10.2,7.4,7.0,4.6
8.6,8.0,4.6,9.8,13.2,7.6,5.0,8.6,11.6,5.6
9.4,9.6,7.2,10.0,7.2,10.6,11.0,8.4,6.4,9.8
7.0,12.0,10.0,10.0,9.4,6.2,14.8,9.0,11.6,12.8
9.8,6.8,12.0,11.0,6.6,7.6,8.0,8.4,12.4,8.0
9.4,5.2,10.6,5.6,11.2,16.4,7.8,6.2,8.4,8.2
6.8,8.6,13.6,7.0,6.0,10.0,6.6,8.8,12.2,10.4
6.4,6.4,9.8,15.8,10.2,9.2,11.4,8.2,11.2,6.0
7.4,9.0,7.4,8.6,12.6,9.2,7.4,7.0,15.8,10.0
11.4,7.4,9.2,7.6,10.4,9.4,8.0,13.0,15.0,10.0
13.6,8.0,7.4,12.0,7.4,10.8,11.6,8.0,13.2,6.4
10.2,12.2,7.8,4.6,7.4,10.2,8.0,8.0,10.4,8.0
8.0,9.8,8.0,8.8,7.8,8.0,7.6,7.8,11.4,9.0
9.6,10.6,7.2,6.4,8.2,10.6,14.8,6.6,19.6,8.4
5.2,7.6,8.2,9.0,12.4,12.2,9.8,8.6,14.2,8.0
9.2,12.8,10.2,6.4,8.8,10.0,12.0,11.6,10.2,8.8
8.4,9.6,13.6,7.6,13.8,7.6,11.2,9.6,7.4,8.0
9.0,6.6,6.6,7.2,5.6,9.6,11.2,9.6,6.6,6.8
7.4,6.4,7.4,7.6,11.4,11.2,6.0,9.6,7.6,8.6
8.6,8.0,13.8,7.8,7.8,9.8,7.6,11.8,8.4,8.6
7.2,9.6,7.0,15.0,8.6,9.6,13.6,10.2,10.6,7.6
5.8,11.4,10.2,10.0,9.8,12.6,11.4,9.6,8.4,7.4
8.2,11.0,10.8,6.4,11.4,8.6,7.0,6.4,10.4,5.8
8.0,13.0,6.6,12.2,10.4,9.8,8.8,5.0,9.6,6.4
5.4,6.0,9.6,6.2,14.4,9.0,12.6,16.6,15.6,7.8
9.2,7.6,9.4,14.6,12.2,15.6,13.8,9.6,14.8,8.0
7.0,7.0,5.8,8.2,8.8,9.6,11.8,6.4,12.2,9.2
9.4,5.8,6.4,9.6,14.0,10.2,8.4,7.8,17.8,7.8
10.4,9.2,9.0,11.2,8.4,9.4,16.2,8.8,10.0,9.0
5.0,6.2,8.2,6.4,13.0,8.2,8.2,12.2,8.8,12.0
12.4,5.6,11.2,7.4,8.4,8.4,6.4,7.4,9.4,7.6
11.6,10.0,10.8,11.8,10.4,7.8,14.0,10.4,14.6,9.8
6.8,8.4,11.6,9.6,8.8,8.0,8.0,13.2,7.8,6.4
7.0,8.8,10.2,8.0,7.6,8.8,7.6,8.6,10.4,8.6
8.2,7.4,8.4,8.0,11.0,12.4,5.8,11.8,10.6,8.8
12.4,11.0,8.8,13.6,6.8,12.4,15.6,7.0,17.6,5.2
4.8,7.6,12.4,5.2,9.8,13.6,6.2,7.0,13.4,11.0
9.2,5.8,6.4,8.6,14.2,9.0,6.6,8.6,12.6,5.0
10.0,12.6,11.4,7.6,10.8,6.6,10.6,9.2,9.4,10.0
6.8,11.8,11.8,4.2,9.6,9.6,7.6,9.8,19.2,11.4
10.4,11.0,10.0,12.2,10.2,10.8,11.0,7.2,12.0,6.6
7.6,10.2,10.2,5.8,7.4,9.8,8.6,8.0,11.0,9.2
5.0,5.2,10.0,6.0,9.8,6.4,9.8,10.4,12.0,7.4
11.0,10.6,10.0,9.4,11.4,5.8,8.8,7.0,13.0,9.2
7.0,8.4,9.8,10.4,8.8,8.0,6.4,9.4,19.2,9.2
8.6,7.8,11.6,11.8,8.8,8.6,9.0,9.2,10.6,11.2
9.2,6.8,10.2,9.0,14.2,11.6,7.4,7.0,8.2,8.0
11.0,5.4,11.8,7.4,10.8,22.2,9.4,12.8,15.2,8.8
11.4,8.6,8.8,6.6,6.4,6.6,6.4,9.0,16.4,8.0
11.2,11.4,7.4,5.2,13.2,13.4,6.4,9.6,22.0,5.8
6.6,7.8,10.2,7.6,11.4,9.0,10.2,7.8,13.2,6.8
6.0,10.8,12.4,7.6,6.4,12.0,9.0,6.2,10.0,8.4
9.4,9.2,10.4,8.0,8.4,7.2,10.2,6.2,12.2,10.8
9.6,8.4,15.8,6.4,10.0,15.2,6.8,12.6,6.8,7.6
9.2,7.6,5.4,7.4,8.0,14.8,7.6,6.8,8.6,12.4
8.2,11.2,14.6,11.8,12.4,15.2,7.2,6.2,11.2,6.2
9.0,5.8,9.0,6.4,7.6,7.4,6.6,7.4,14.2,12.6
7.4,10.2,8.6,8.4,11.2,6.4,10.4,6.6,16.0,10.2
7.2,8.0,8.2,9.6,6.2,13.0,9.4,6.2,12.8,9.2
6.8,6.0,12.4,10.0,7.6,15.0,5.8,7.8,16.0,10.4
6.8,8.2,17.2,6.0,13.6,10.0,10.2,8.4,11.8,10.0
14.4,8.4,11.0,10.2,12.2,5.0,8.2,10.2,8.4,7.2
5.2,5.8,6.8,7.6,10.0,11.2,10.4,5.4,13.6,7.2
5.4,6.6,15.2,10.0,9.4,11.8,18.0,9.2,8.8,8.2
7.0,9.8,11.8,6.8,9.0,14.0,6.0,9.2,15.6,11.0
7.8,10.6,11.2,10.6,10.4,8.0,12.6,12.0,11.0,11.4
9.0,5.6,6.8,8.4,9.0,7.8,12.8,8.4,10.6,8.0
10.0,9.0,9.4,9.2,18.6,13.0,5.6,9.2,14.0,8.0
8.6,12.0,11.4,6.0,9.4,12.6,9.2,8.6,10.4,8.8
8.2,8.8,8.8,7.8,12.2,12.4,6.4,5.4,16.0,8.8
11.8,11.4,6.4,12.8,9.2,11.0,11.2,8.2,19.4,7.4
5.8,7.0,11.2,5.4,11.2,9.2,10.6,8.2,17.8,8.6
6.6,5.0,7.6,7.2,11.6,10.8,10.0,10.6,17.8,9.8
11.4,12.6,13.8,8.6,10.8,8.8,10.0,10.6,15.0,11.4
10.2,10.4,11.6,7.8,13.8,7.4,7.4,9.0,11.2,13.4
8.6,7.6,16.6,10.8,6.4,9.0,11.6,8.2,11.8,12.2
13.6,7.4,11.8,6.2,9.6,14.8,6.0,9.8,12.4,8.0
8.0,9.6,7.4,6.0,13.2,8.0,17.6,13.6,12.0,10.6
8.6,10.2,15.4,8.4,5.4,14.2,5.0,8.0,18.4,8.6
7.2,8.8,10.6,5.8,13.4,15.8,11.2,9.4,8.8,10.2
11.2,12.4,15.8,7.2,17.0,10.0,12.8,6.0,16.2,7.0
7.6,9.6,14.2,6.6,9.6,9.2,9.6,9.4,17.8,7.4
7.4,8.0,16.2,9.2,10.0,9.8,8.8,13.8,17.4,10.0
8.8,13.2,11.2,9.6,8.0,11.6,7.8,11.2,14.2,8.2
11.8,9.2,9.8,9.4,9.0,16.0,9.2,9.0,9.0,7.0
7.8,9.0,16.2,10.0,8.8,17.4,9.8,10.2,10.8,5.4
10.8,8.6,6.4,7.8,13.2,28.6,11.0,9.6,11.6,11.8
12.0,9.2,16.6,7.0,8.6,13.8,9.8,9.8,18.8,7.8
9.8,7.2,11.0,16.4,11.8,11.0,11.2,7.0,11.0,6.0
9.6,10.0,9.4,7.4,9.0,13.0,8.6,9.4,10.8,6.8
9.4,9.8,13.4,7.0,6.8,10.8,6.6,15.6,13.8,10.4
11.2,7.4,13.2,8.8,11.4,8.0,5.4,11.8,8.8,7.2
8.0,7.6,17.8,9.8,6.0,11.8,6.0,10.0,10.6,4.8
5.8,9.8,21.2,5.2,8.8,14.0,9.0,8.8,8.8,9.8
10.6,6.8,9.4,10.2,6.0,11.6,6.6,8.8,15.8,8.2
